detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9883932114404322, 'std': 0.0}","{'mean': 0.9913219987179879, 'std': 0.0011622569186392063}","{'mean': 0.9897896889594335, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.9925974512743629, 'std': 0.0005724504889183483}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.8000687156421791, 'std': 1.1102230246251565e-16}","{'mean': 0.7833770614692653, 'std': 0.015562972474513924}","{'mean': 0.7145489755122438, 'std': 0.0}","{'mean': 0.9865379810094952, 'std': 0.0}","{'mean': 0.9814623938030984, 'std': 0.0028786512762353725}","{'mean': 0.9798225887056471, 'std': 1.1102230246251565e-16}","{'mean': 0.4862857142857143, 'std': 0.03552061775524584}","{'mean': 0.6245714285714286, 'std': 0.04980287673028784}","{'mean': 0.3459428571428572, 'std': 0.019691000741559096}","{'mean': 0.368, 'std': 0.047065737787369166}",67.80000000000001,0.04,1810,synthloop_deepseek-v3,synthloop_llama3.1
"{'mean': 0.9874622264277646, 'std': 0.0}","{'mean': 0.9762682763041421, 'std': 0.0009192024591626485}","{'mean': 0.9883932114404322, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.9936531734132933, 'std': 0.0006554459136739597}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.6266241879060469, 'std': 0.0}","{'mean': 0.6167166416791604, 'std': 0.0217387592989338}","{'mean': 0.5899862568715641, 'std': 0.0}","{'mean': 0.9355947026486756, 'std': 1.1102230246251565e-16}","{'mean': 0.9348075962018992, 'std': 0.002242850534506308}","{'mean': 0.9067028985507248, 'std': 1.1102230246251565e-16}","{'mean': 0.8102857142857143, 'std': 0.07101825002585387}","{'mean': 0.5822857142857142, 'std': 0.046857142857142854}","{'mean': 0.6683428571428571, 'std': 0.058328947551357174}","{'mean': 0.4308571428571429, 'std': 0.05172612334918107}",0.0,0.0,1810,synthloop_deepseek-v3,synthloop_gpt4o-mini
"{'mean': 0.923521870516773, 'std': 0.0}","{'mean': 0.9205602698330331, 'std': 0.0017271343892391957}","{'mean': 0.9305424132352492, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.991791604197901, 'std': 0.0021436346020020846}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.965860819590205, 'std': 0.0}","{'mean': 0.9729354072963519, 'std': 0.004629110458333066}","{'mean': 0.9700774612693653, 'std': 0.0}","{'mean': 0.9887868565717142, 'std': 0.0}","{'mean': 0.9916260619690155, 'std': 0.0008251672315747436}","{'mean': 0.9896614192903549, 'std': 0.0}","{'mean': 0.893142857142857, 'std': 0.017943221106408665}","{'mean': 0.7685714285714286, 'std': 0.037514622999245364}","{'mean': 1.2208, 'std': 0.030822414319611583}","{'mean': 0.7851428571428571, 'std': 0.029548990797366628}",15.959999999999999,27.6,1810,synthloop_deepseek-v3,synthloop_deepseek-v3
"{'mean': 0.9973176948200603, 'std': 1.1102230246251565e-16}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9994276731479503, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.991326211894053, 'std': 0.0015361665180659116}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.25580959520239877, 'std': 0.0}","{'mean': 0.28711269365317343, 'std': 0.03470310660674615}","{'mean': 0.29436844077961016, 'std': 0.0}","{'mean': 0.9885369815092453, 'std': 0.0}","{'mean': 0.984054847576212, 'std': 0.0026544080402201306}","{'mean': 0.9874125437281359, 'std': 0.0}","{'mean': 0.2988571428571428, 'std': 0.10897069443156705}","{'mean': 0.11828571428571429, 'std': 0.01662061665399884}","{'mean': 0.20262857142857144, 'std': 0.06738264779963604}","{'mean': 0.13485714285714284, 'std': 0.016}",62.68,0.0,1810,synthloop_deepseek-v3,reduced_llama3.1
"{'mean': 0.9984737950612008, 'std': 1.1102230246251565e-16}","{'mean': 0.9951626934464759, 'std': 0.00017953840541318035}","{'mean': 0.9984737950612008, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.9928285857071464, 'std': 0.002120752491033314}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.38265242378810593, 'std': 0.0}","{'mean': 0.4407608695652174, 'std': 0.01591151750220354}","{'mean': 0.5025299850074962, 'std': 0.0}","{'mean': 0.9479635182408794, 'std': 0.0}","{'mean': 0.9391835332333832, 'std': 0.0020356432403265657}","{'mean': 0.9516491754122939, 'std': 0.0}","{'mean': 0.821142857142857, 'std': 0.06976578893786303}","{'mean': 0.40800000000000003, 'std': 0.035520617755245835}","{'mean': 0.6778285714285714, 'std': 0.06924280851187542}","{'mean': 0.4268571428571429, 'std': 0.014066895571532755}",0.0,0.0,1810,synthloop_deepseek-v3,reduced_gpt4o-mini
"{'mean': 0.9979243612832331, 'std': 0.0}","{'mean': 0.998225786758646, 'std': 0.00024391839609257834}","{'mean': 0.9977030615671072, 'std': 1.1102230246251565e-16}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.9924787606196901, 'std': 0.0008795460223287503}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.9100449775112442, 'std': 1.1102230246251565e-16}","{'mean': 0.8036762868565717, 'std': 0.004404734635862385}","{'mean': 0.911544227886057, 'std': 1.1102230246251565e-16}","{'mean': 0.985632183908046, 'std': 0.0}","{'mean': 0.9856165667166417, 'std': 0.0011284217832641492}","{'mean': 0.9842578710644678, 'std': 0.0}","{'mean': 0.9451428571428572, 'std': 0.028708243856183927}","{'mean': 0.6108571428571429, 'std': 0.02954899079736661}","{'mean': 1.0016000000000003, 'std': 0.04873505213008856}","{'mean': 0.5914285714285714, 'std': 0.03747107728172572}",75.08,10.96,1810,synthloop_deepseek-v3,reduced_deepseek-v3
"{'mean': 0.9798464637831568, 'std': 0.0}","{'mean': 0.9749107170110802, 'std': 0.0008426586444724837}","{'mean': 0.974138457312048, 'std': 1.1102230246251565e-16}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.9916104447776112, 'std': 0.00121531052917468}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.9655797101449275, 'std': 1.1102230246251565e-16}","{'mean': 0.9519615192403797, 'std': 0.007068555450565804}","{'mean': 0.9566779110444777, 'std': 0.0}","{'mean': 0.9826336831584207, 'std': 1.1102230246251565e-16}","{'mean': 0.9791510494752623, 'std': 0.0012870688267139368}","{'mean': 0.9850699650174912, 'std': 0.0}","{'mean': 0.7714285714285715, 'std': 0.03729638599332737}","{'mean': 0.6639999999999999, 'std': 0.060813532328633194}","{'mean': 0.6931428571428572, 'std': 0.05542326926039465}","{'mean': 0.5371428571428571, 'std': 0.02198329607048154}",35.64,1.52,1810,synthloop_deepseek-v3,promptrefine_llama3.1
"{'mean': 0.9655382924819145, 'std': 0.0}","{'mean': 0.9546610298830928, 'std': 0.0016091647278842244}","{'mean': 0.9676978724703152, 'std': 0.0}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.992103948025987, 'std': 0.0007665225551366429}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.7357571214392803, 'std': 0.0}","{'mean': 0.787678035982009, 'std': 0.01106368663208909}","{'mean': 0.6913105947026487, 'std': 0.0}","{'mean': 0.9520864567716142, 'std': 0.0}","{'mean': 0.95287043978011, 'std': 0.0019356347973625624}","{'mean': 0.9481509245377311, 'std': 0.0}","{'mean': 0.7948571428571428, 'std': 0.06478598991908603}","{'mean': 0.6748571428571428, 'std': 0.023863557734652676}","{'mean': 0.6758857142857143, 'std': 0.06297692483143721}","{'mean': 0.6154285714285714, 'std': 0.031485662431899236}",0.0,0.12,1810,synthloop_deepseek-v3,promptrefine_gpt4o-mini
"{'mean': 0.8934708952718171, 'std': 0.0}","{'mean': 0.8807835536155795, 'std': 0.003432961641769561}","{'mean': 0.8924254448887396, 'std': 1.1102230246251565e-16}","{'mean': 0.9948775612193902, 'std': 1.1102230246251565e-16}","{'mean': 0.993128435782109, 'std': 0.0006069444178656005}","{'mean': 0.9932846076961519, 'std': 1.1102230246251565e-16}","{'mean': 0.9916604197901048, 'std': 1.1102230246251565e-16}","{'mean': 0.9869096701649175, 'std': 0.001967106613898276}","{'mean': 0.988677536231884, 'std': 0.0}","{'mean': 0.9910044977511244, 'std': 1.1102230246251565e-16}","{'mean': 0.991213768115942, 'std': 0.0005332396184391867}","{'mean': 0.9897238880559719, 'std': 1.1102230246251565e-16}","{'mean': 0.9474285714285713, 'std': 0.02142666658200305}","{'mean': 0.7462857142857142, 'std': 0.04046263078194396}","{'mean': 1.3477714285714286, 'std': 0.05106487270609606}","{'mean': 0.7685714285714285, 'std': 0.025362675452768164}",0.2,0.12,1810,synthloop_deepseek-v3,promptrefine_deepseek-v3
