detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.973284274007772, 'std': 0.0}","{'mean': 0.9726418001976354, 'std': 0.0008355566431603372}","{'mean': 0.9731285805522985, 'std': 1.1102230246251565e-16}","{'mean': 0.9983133433283358, 'std': 0.0}","{'mean': 0.9953523238380809, 'std': 0.000570880445269513}","{'mean': 0.9974387806096952, 'std': 0.0}","{'mean': 0.9347513743128436, 'std': 0.0}","{'mean': 0.8672788605697151, 'std': 0.003459926635227353}","{'mean': 0.9335957021489255, 'std': 0.0}","{'mean': 0.9807596201899053, 'std': 1.1102230246251565e-16}","{'mean': 0.9816123188405796, 'std': 0.004805697818843891}","{'mean': 0.9770739630184908, 'std': 1.1102230246251565e-16}","{'mean': 0.7360000000000001, 'std': 0.024149196124703357}","{'mean': 0.6657142857142857, 'std': 0.03909172886054185}","{'mean': 0.6184000000000001, 'std': 0.06927958146642679}","{'mean': 0.5554285714285714, 'std': 0.018569230639167888}",12.469362745098039,0.030637254901960783,2801,iter_2,iter_0
"{'mean': 0.9949955675026452, 'std': 0.0}","{'mean': 0.9935771683491093, 'std': 0.0005587146862343553}","{'mean': 0.995586567149952, 'std': 0.0}","{'mean': 0.9983133433283358, 'std': 0.0}","{'mean': 0.9954991254372814, 'std': 0.0005699226488930946}","{'mean': 0.9974387806096952, 'std': 0.0}","{'mean': 0.7241379310344828, 'std': 0.0}","{'mean': 0.7438530734632683, 'std': 0.02464213189454754}","{'mean': 0.7197338830584707, 'std': 0.0}","{'mean': 0.986413043478261, 'std': 1.1102230246251565e-16}","{'mean': 0.980694027986007, 'std': 0.0015891641438074817}","{'mean': 0.9843828085957022, 'std': 0.0}","{'mean': 0.47371428571428575, 'std': 0.03314285714285715}","{'mean': 0.5937142857142857, 'std': 0.05718284315264857}","{'mean': 0.3757714285714286, 'std': 0.03214782183880569}","{'mean': 0.39542857142857146, 'std': 0.022899959896587288}",29.603155040670448,0.04929751047572097,2801,iter_2,iter_1
"{'mean': 0.9954944220436512, 'std': 1.1102230246251565e-16}","{'mean': 0.9976102643293583, 'std': 0.00021232044592253964}","{'mean': 0.9967939857842343, 'std': 0.0}","{'mean': 0.9983133433283358, 'std': 0.0}","{'mean': 0.9957208895552224, 'std': 0.0007344398338394167}","{'mean': 0.9974387806096952, 'std': 0.0}","{'mean': 0.7703648175912043, 'std': 0.0}","{'mean': 0.7731040729635182, 'std': 0.01512039212427024}","{'mean': 0.7729572713643179, 'std': 0.0}","{'mean': 0.9897238880559719, 'std': 1.1102230246251565e-16}","{'mean': 0.9897613693153422, 'std': 0.0018206350000120701}","{'mean': 0.9835707146426786, 'std': 0.0}","{'mean': 0.4742857142857143, 'std': 0.019877173863915527}","{'mean': 0.612, 'std': 0.08965056882025857}","{'mean': 0.3290285714285715, 'std': 0.040127795852750246}","{'mean': 0.34285714285714286, 'std': 0.045607017003965515}",68.87937187723054,0.03568879371877231,2801,iter_2,iter_2
