detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.862977395562722, 'std': 0.0}","{'mean': 0.8450162740004181, 'std': 0.002212701350415159}","{'mean': 0.8599838753023379, 'std': 0.0}","{'mean': 0.9924412793603198, 'std': 0.0}","{'mean': 0.9926911544227887, 'std': 0.0004460068630610861}","{'mean': 0.9938780609695153, 'std': 0.0}","{'mean': 0.9955334832583705, 'std': 1.1102230246251565e-16}","{'mean': 0.9906515492253873, 'std': 0.0011985866284676572}","{'mean': 0.9934095452273863, 'std': 0.0}","{'mean': 0.9945652173913044, 'std': 0.0}","{'mean': 0.9911575462268866, 'std': 0.0008860000325582821}","{'mean': 0.9929722638680658, 'std': 1.1102230246251565e-16}","{'mean': 0.9462857142857143, 'std': 0.026704734732680934}","{'mean': 0.7782857142857142, 'std': 0.020089595235710824}","{'mean': 1.3498285714285716, 'std': 0.03572118790446539}","{'mean': 0.8474285714285713, 'std': 0.02224905409592204}",3.088235294117647,0.11029411764705882,1826,iter_2,iter_0
"{'mean': 0.8999148974290065, 'std': 0.0}","{'mean': 0.9031682044850549, 'std': 0.001473502855669584}","{'mean': 0.8986532891397175, 'std': 0.0}","{'mean': 0.9924412793603198, 'std': 0.0}","{'mean': 0.9923319590204898, 'std': 0.0010004270908828509}","{'mean': 0.9938780609695153, 'std': 0.0}","{'mean': 0.9830397301349325, 'std': 0.0}","{'mean': 0.9809876311844079, 'std': 0.000663875766829504}","{'mean': 0.9857258870564717, 'std': 1.1102230246251565e-16}","{'mean': 0.993971764117941, 'std': 0.0}","{'mean': 0.991838455772114, 'std': 0.0011924254891745303}","{'mean': 0.9946276861569215, 'std': 0.0}","{'mean': 0.8988571428571429, 'std': 0.015183234577813046}","{'mean': 0.7765714285714285, 'std': 0.03116251018156795}","{'mean': 1.2552, 'std': 0.023091936926563965}","{'mean': 0.7765714285714285, 'std': 0.04327038861175442}",8.717748240813135,12.001563721657545,1826,iter_2,iter_1
"{'mean': 0.905707844366807, 'std': 1.1102230246251565e-16}","{'mean': 0.8932313595508973, 'std': 0.0010905403837360094}","{'mean': 0.8961300725611394, 'std': 1.1102230246251565e-16}","{'mean': 0.9924412793603198, 'std': 0.0}","{'mean': 0.9890054972513743, 'std': 0.00508651708264643}","{'mean': 0.9938780609695153, 'std': 0.0}","{'mean': 0.9709207896051975, 'std': 0.0}","{'mean': 0.9724387806096952, 'std': 0.000854498734271223}","{'mean': 0.972576211894053, 'std': 0.0}","{'mean': 0.9923788105947027, 'std': 0.0}","{'mean': 0.9919102948525736, 'std': 0.0005340988130884507}","{'mean': 0.9926911544227884, 'std': 1.1102230246251565e-16}","{'mean': 0.8920000000000001, 'std': 0.021487537916529333}","{'mean': 0.7548571428571429, 'std': 0.053768969125475415}","{'mean': 1.220914285714286, 'std': 0.03033548471102883}","{'mean': 0.7411428571428573, 'std': 0.025593366487495644}",16.0650535501785,27.56842522808409,1826,iter_2,iter_2
