detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9304812834224598, 'std': 1.1102230246251565e-16}","{'mean': 0.9262032085561497, 'std': 0.002840887246080067}","{'mean': 0.9322638146167558, 'std': 0.0}","{'mean': 0.9878706199460916, 'std': 0.0}","{'mean': 0.9851752021563343, 'std': 0.0008523659461370092}","{'mean': 0.9865229110512128, 'std': 1.1102230246251565e-16}","{'mean': 0.9420485175202156, 'std': 1.1102230246251565e-16}","{'mean': 0.9380053908355797, 'std': 1.1102230246251565e-16}","{'mean': 0.9460916442048518, 'std': 1.1102230246251565e-16}","{'mean': 0.9690026954177897, 'std': 0.0}","{'mean': 0.9649595687331536, 'std': 0.001205427481131983}","{'mean': 0.9690026954177897, 'std': 0.0}","{'mean': 0.7360000000000001, 'std': 0.024149196124703357}","{'mean': 0.6657142857142857, 'std': 0.03909172886054185}","{'mean': 0.6184000000000001, 'std': 0.06927958146642679}","{'mean': 0.5554285714285714, 'std': 0.018569230639167888}",12.469362745098039,0.030637254901960783,2801,iter_2,iter_0
"{'mean': 0.9750445632798573, 'std': 1.1102230246251565e-16}","{'mean': 0.9732620320855615, 'std': 0.00112737171485503}","{'mean': 0.966131907308378, 'std': 0.0}","{'mean': 0.9878706199460916, 'std': 0.0}","{'mean': 0.98544474393531, 'std': 0.0005390835579514697}","{'mean': 0.9865229110512128, 'std': 1.1102230246251565e-16}","{'mean': 0.9353099730458221, 'std': 0.0}","{'mean': 0.9388140161725067, 'std': 0.0006602398228525929}","{'mean': 0.9393530997304582, 'std': 0.0}","{'mean': 0.9676549865229112, 'std': 1.1102230246251565e-16}","{'mean': 0.9544474393530997, 'std': 0.001980719468557806}","{'mean': 0.9703504043126685, 'std': 0.0}","{'mean': 0.47371428571428575, 'std': 0.03314285714285715}","{'mean': 0.5937142857142857, 'std': 0.05718284315264857}","{'mean': 0.3757714285714286, 'std': 0.03214782183880569}","{'mean': 0.39542857142857146, 'std': 0.022899959896587288}",29.603155040670448,0.04929751047572097,2801,iter_2,iter_1
"{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9891265597147949, 'std': 0.0008732583753237656}","{'mean': 0.9893048128342246, 'std': 0.0}","{'mean': 0.9878706199460916, 'std': 0.0}","{'mean': 0.98544474393531, 'std': 0.0010085329883487474}","{'mean': 0.9865229110512128, 'std': 1.1102230246251565e-16}","{'mean': 0.925876010781671, 'std': 1.1102230246251565e-16}","{'mean': 0.9390835579514825, 'std': 0.0015716851468585685}","{'mean': 0.925876010781671, 'std': 1.1102230246251565e-16}","{'mean': 0.9757412398921833, 'std': 0.0}","{'mean': 0.973854447439353, 'std': 0.0010781671159029893}","{'mean': 0.9757412398921833, 'std': 0.0}","{'mean': 0.4742857142857143, 'std': 0.019877173863915527}","{'mean': 0.612, 'std': 0.08965056882025857}","{'mean': 0.3290285714285715, 'std': 0.040127795852750246}","{'mean': 0.34285714285714286, 'std': 0.045607017003965515}",68.87937187723054,0.03568879371877231,2801,iter_2,iter_2
