detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8608349900596421, 'std': 0.0}","{'mean': 0.8037773359840955, 'std': 0.0016151169790528735}","{'mean': 0.8727634194831013, 'std': 1.1102230246251565e-16}","{'mean': 0.9851752021563343, 'std': 0.0}","{'mean': 0.9862533692722373, 'std': 0.001571685146858534}","{'mean': 0.9838274932614557, 'std': 1.1102230246251565e-16}","{'mean': 0.8706199460916441, 'std': 1.1102230246251565e-16}","{'mean': 0.9, 'std': 0.0033449255110487475}","{'mean': 0.8773584905660379, 'std': 1.1102230246251565e-16}","{'mean': 0.9690026954177897, 'std': 0.0}","{'mean': 0.9719676549865228, 'std': 0.003344925511048751}","{'mean': 0.9582210242587601, 'std': 0.0}","{'mean': 0.8737142857142857, 'std': 0.029878666199774574}","{'mean': 0.8474285714285715, 'std': 0.030323426654677944}","{'mean': 0.8109714285714287, 'std': 0.04856053659388157}","{'mean': 0.7817142857142858, 'std': 0.017199905078048486}",0.0,0.0,2512,iter_2,iter_0
"{'mean': 0.9393638170974155, 'std': 0.0}","{'mean': 0.9053677932405566, 'std': 0.0014609282760138153}","{'mean': 0.9403578528827039, 'std': 1.1102230246251565e-16}","{'mean': 0.9851752021563343, 'std': 0.0}","{'mean': 0.9865229110512128, 'std': 0.0008523659461370092}","{'mean': 0.9838274932614557, 'std': 1.1102230246251565e-16}","{'mean': 0.5377358490566038, 'std': 0.0}","{'mean': 0.546900269541779, 'std': 0.009582958940502002}","{'mean': 0.5040431266846361, 'std': 0.0}","{'mean': 0.9514824797843666, 'std': 0.0}","{'mean': 0.9671159029649596, 'std': 0.005363813677124665}","{'mean': 0.9433962264150944, 'std': 0.0}","{'mean': 0.8045714285714286, 'std': 0.05356209442491653}","{'mean': 0.688, 'std': 0.04102363679039442}","{'mean': 0.6762285714285715, 'std': 0.06962486067842286}","{'mean': 0.5051428571428571, 'std': 0.03533628533426355}",0.0,0.0,2512,iter_2,iter_1
"{'mean': 0.9423459244532804, 'std': 0.0}","{'mean': 0.9176938369781313, 'std': 0.0017102038304259604}","{'mean': 0.9463220675944333, 'std': 1.1102230246251565e-16}","{'mean': 0.9851752021563343, 'std': 0.0}","{'mean': 0.9862533692722373, 'std': 0.0010085329883487472}","{'mean': 0.9838274932614557, 'std': 1.1102230246251565e-16}","{'mean': 0.3584905660377358, 'std': 0.0}","{'mean': 0.3981132075471698, 'std': 0.021874440501642556}","{'mean': 0.3584905660377358, 'std': 0.0}","{'mean': 0.9528301886792454, 'std': 1.1102230246251565e-16}","{'mean': 0.9566037735849058, 'std': 0.0034518189959206677}","{'mean': 0.9433962264150944, 'std': 0.0}","{'mean': 0.8097142857142856, 'std': 0.05226619463899025}","{'mean': 0.6, 'std': 0.041047508562441076}","{'mean': 0.6523428571428571, 'std': 0.049162255307692894}","{'mean': 0.4508571428571428, 'std': 0.026520688881993812}",0.0,0.0,2512,iter_2,iter_2
