detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9965825110000427, 'std': 0.0}","{'mean': 0.9960528002050493, 'std': 0.0010541547980355516}","{'mean': 0.9927378358750907, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9766059602649007, 'std': 0.0016436653835749109}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.39966887417218544, 'std': 0.0}","{'mean': 0.40746688741721854, 'std': 0.010356009893952607}","{'mean': 0.4725165562913908, 'std': 0.0}","{'mean': 0.954139072847682, 'std': 1.1102230246251565e-16}","{'mean': 0.9375331125827815, 'std': 0.0018932175309831565}","{'mean': 0.9455298013245033, 'std': 0.0}","{'mean': 0.7251748251748251, 'std': 0.04714967225465056}","{'mean': 0.6755244755244755, 'std': 0.02043585901566778}","{'mean': 0.4405594405594406, 'std': 0.031192260463410674}","{'mean': 0.22937062937062938, 'std': 0.015095827374071965}",86.76,2.52,763,real,info-full
"{'mean': 0.9947456106625656, 'std': 1.1102230246251565e-16}","{'mean': 0.9963988209662951, 'std': 0.0014225746949662224}","{'mean': 0.9932931778375839, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9751324503311258, 'std': 0.0007132668618721227}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.6788079470198677, 'std': 0.0}","{'mean': 0.6583278145695364, 'std': 0.007776276985210346}","{'mean': 0.6345198675496688, 'std': 0.0}","{'mean': 0.9334437086092715, 'std': 0.0}","{'mean': 0.922251655629139, 'std': 0.001569270941863912}","{'mean': 0.9319536423841059, 'std': 0.0}","{'mean': 0.8203125, 'std': 0.06679573281187204}","{'mean': 0.9953125, 'std': 0.002923169833417142}","{'mean': 0.5096875000000001, 'std': 0.0657747547268327}","{'mean': 0.440625, 'std': 0.01142870221744359}",88.48,4.32,763,real,info-weakness
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.97591059602649, 'std': 0.001057531087594098}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5447847682119206, 'std': 0.0}","{'mean': 0.5905298013245033, 'std': 0.013549238371388906}","{'mean': 0.5062086092715232, 'std': 0.0}","{'mean': 0.9624172185430464, 'std': 0.0}","{'mean': 0.9429635761589404, 'std': 0.004319574181412218}","{'mean': 0.9607615894039736, 'std': 0.0}","{'mean': 0.4155038759689923, 'std': 0.053729375042367314}","{'mean': 0.9589147286821704, 'std': 0.007981108636424018}","{'mean': 0.19844961240310077, 'std': 0.03172427937793317}","{'mean': 0.33178294573643413, 'std': 0.005257620141957555}",86.8,3.4000000000000004,763,real,noInfo-full
"{'mean': 0.9993165022000084, 'std': 1.1102230246251565e-16}","{'mean': 0.9953906617113077, 'std': 0.0018627666384603235}","{'mean': 0.9987611602375155, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9752317880794701, 'std': 0.0007825365760328174}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.4920529801324503, 'std': 0.0}","{'mean': 0.562185430463576, 'std': 0.01597312347835149}","{'mean': 0.4653973509933776, 'std': 5.551115123125783e-17}","{'mean': 0.955794701986755, 'std': 0.0}","{'mean': 0.9463079470198675, 'std': 0.0006818298106613761}","{'mean': 0.9473509933774833, 'std': 1.1102230246251565e-16}","{'mean': 0.26144578313253014, 'std': 0.022410934021371426}","{'mean': 0.7512048192771084, 'std': 0.010364247309689914}","{'mean': 0.14289156626506025, 'std': 0.01998475249819206}","{'mean': 0.1710843373493976, 'std': 0.021075729740404704}",86.24000000000001,7.08,763,real,noInfo-weakness
