detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9974796018625314, 'std': 1.1102230246251565e-16}","{'mean': 0.9962962962962963, 'std': 1.0463880314325536e-05}","{'mean': 0.9962407621000471, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9756622516556293, 'std': 0.0005440952557997671}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5562913907284769, 'std': 0.0}","{'mean': 0.6095033112582782, 'std': 0.00727279268523401}","{'mean': 0.5562086092715232, 'std': 0.0}","{'mean': 0.95, 'std': 0.0}","{'mean': 0.933162251655629, 'std': 0.0038734645869906745}","{'mean': 0.9625827814569536, 'std': 0.0}","{'mean': 0.9103448275862069, 'std': 0.08333135154203154}","{'mean': 0.993103448275862, 'std': 0.013793103448275846}","{'mean': 0.5572413793103448, 'std': 0.08280458493684763}","{'mean': 0.7586206896551724, 'std': 0.0844651635442475}",97.88,22.0,763,real,synthloop_llama3.1
"{'mean': 0.9577512922380281, 'std': 0.0}","{'mean': 0.95199709513435, 'std': 0.0014792981192369924}","{'mean': 0.9571959502755352, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.976092715231788, 'std': 0.0013885586984279546}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.39718543046357613, 'std': 0.0}","{'mean': 0.3816887417218543, 'std': 0.006107768260285775}","{'mean': 0.40827814569536425, 'std': 0.0}","{'mean': 0.8981788079470199, 'std': 0.0}","{'mean': 0.8735927152317882, 'std': 0.00829666801990085}","{'mean': 0.888907284768212, 'std': 0.0}","{'mean': 0.6005714285714286, 'std': 0.028878351470841748}","{'mean': 0.9988571428571429, 'std': 0.001399708424447547}","{'mean': 0.3730285714285715, 'std': 0.017333793819105645}","{'mean': 0.5045714285714287, 'std': 0.032254093238103076}",28.599999999999998,16.72,763,real,synthloop_gpt4o-mini
"{'mean': 0.9738134905378273, 'std': 0.0}","{'mean': 0.9736383442265796, 'std': 0.0012696414336835398}","{'mean': 0.9731299927378358, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9767218543046358, 'std': 0.0020327188608565967}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.6198675496688741, 'std': 0.0}","{'mean': 0.5463576158940397, 'std': 0.007935801961064148}","{'mean': 0.609271523178808, 'std': 0.0}","{'mean': 0.9091059602649008, 'std': 0.0}","{'mean': 0.8893377483443707, 'std': 0.005777979655672349}","{'mean': 0.9082781456953641, 'std': 1.1102230246251565e-16}","{'mean': 0.7491428571428572, 'std': 0.026335356849835255}","{'mean': 0.9874285714285713, 'std': 0.002913725436338721}","{'mean': 0.5518857142857143, 'std': 0.02235564120926868}","{'mean': 0.6194285714285714, 'std': 0.02813379114306555}",64.52,44.36,763,real,synthloop_deepseek-v3
"{'mean': 0.9964543551625443, 'std': 0.0}","{'mean': 0.9955658080225553, 'std': 0.001489011761964784}","{'mean': 0.9931650220000854, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.976158940397351, 'std': 0.0006390814260138471}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.48799668874172186, 'std': 0.0}","{'mean': 0.4634271523178808, 'std': 0.01814084565636399}","{'mean': 0.44221854304635755, 'std': 0.0}","{'mean': 0.9508278145695364, 'std': 1.1102230246251565e-16}","{'mean': 0.9240066225165563, 'std': 0.009762598005169279}","{'mean': 0.9443708609271523, 'std': 0.0}","{'mean': 0.6317991631799164, 'std': 0.0559481661939641}","{'mean': 0.8694560669456066, 'std': 0.02431102769260911}","{'mean': 0.3184937238493724, 'std': 0.06235876358130217}","{'mean': 0.3238493723849373, 'std': 0.023609599965968016}",89.8,1.16,763,real,reduced_llama3.1
"{'mean': 0.9698833781878765, 'std': 0.0}","{'mean': 0.976483403819044, 'std': 0.0005151092415731611}","{'mean': 0.9647144260754411, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9763245033112582, 'std': 0.0003775415314897564}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5006622516556292, 'std': 0.0}","{'mean': 0.48529801324503313, 'std': 0.009131001090412684}","{'mean': 0.4669701986754967, 'std': 0.0}","{'mean': 0.9317880794701987, 'std': 1.1102230246251565e-16}","{'mean': 0.9122682119205298, 'std': 0.002521996559513865}","{'mean': 0.9248344370860927, 'std': 0.0}","{'mean': 0.6285714285714284, 'std': 0.03946582091390173}","{'mean': 0.9428571428571428, 'std': 0.012121830534626513}","{'mean': 0.4144, 'std': 0.02931467557524103}","{'mean': 0.4788571428571428, 'std': 0.04286095221165526}",37.519999999999996,19.919999999999998,763,real,reduced_gpt4o-mini
"{'mean': 0.996155324875048, 'std': 1.1102230246251565e-16}","{'mean': 0.9963176556025461, 'std': 0.0010971783102167827}","{'mean': 0.9945320176000683, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9754966887417218, 'std': 0.000858695528469496}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.7256622516556291, 'std': 0.0}","{'mean': 0.7146854304635761, 'std': 0.005519133541697829}","{'mean': 0.7572019867549669, 'std': 0.0}","{'mean': 0.9589403973509935, 'std': 0.0}","{'mean': 0.9471854304635763, 'std': 0.0013172400186037658}","{'mean': 0.9572847682119205, 'std': 1.1102230246251565e-16}","{'mean': 0.885148514851485, 'std': 0.09912864166957486}","{'mean': 0.700990099009901, 'std': 0.023762376237623742}","{'mean': 0.6974257425742574, 'std': 0.12620807264289904}","{'mean': 0.7029702970297029, 'std': 0.07084571809900325}",93.47999999999999,63.12,763,real,reduced_deepseek-v3
"{'mean': 0.9965825110000427, 'std': 0.0}","{'mean': 0.9955786236063053, 'std': 0.00015695820471503714}","{'mean': 0.9927378358750907, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9765562913907285, 'std': 0.0009104455023091062}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.39966887417218544, 'std': 0.0}","{'mean': 0.3979470198675497, 'std': 0.014342507966086259}","{'mean': 0.4725165562913908, 'std': 0.0}","{'mean': 0.954139072847682, 'std': 1.1102230246251565e-16}","{'mean': 0.9386258278145696, 'std': 0.0026893655688365404}","{'mean': 0.9455298013245033, 'std': 0.0}","{'mean': 0.7251748251748251, 'std': 0.04714967225465056}","{'mean': 0.6755244755244755, 'std': 0.02043585901566778}","{'mean': 0.4405594405594406, 'std': 0.031192260463410674}","{'mean': 0.22937062937062938, 'std': 0.015095827374071965}",86.76,2.52,763,real,promptrefine_llama3.1
"{'mean': 0.9786406937502669, 'std': 1.1102230246251565e-16}","{'mean': 0.9774872912127813, 'std': 0.0009090135300624815}","{'mean': 0.9777436028877782, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9772019867549668, 'std': 0.0012968977501699077}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5115894039735099, 'std': 0.0}","{'mean': 0.44880794701986754, 'std': 0.009102889307570895}","{'mean': 0.4460264900662252, 'std': 0.0}","{'mean': 0.9278145695364237, 'std': 1.1102230246251565e-16}","{'mean': 0.9018543046357616, 'std': 0.001927652924215643}","{'mean': 0.9072847682119205, 'std': 0.0}","{'mean': 0.6171428571428572, 'std': 0.032875771116897205}","{'mean': 0.9805714285714286, 'std': 0.010751364412701038}","{'mean': 0.4369142857142857, 'std': 0.02941297783812653}","{'mean': 0.5137142857142857, 'std': 0.02965928976539652}",37.32,21.36,763,real,promptrefine_gpt4o-mini
"{'mean': 0.9657823913879277, 'std': 1.1102230246251565e-16}","{'mean': 0.9714169763766073, 'std': 0.0008339872346191389}","{'mean': 0.9668076380879149, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9759271523178807, 'std': 0.0012732207900483853}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.6178807947019868, 'std': 0.0}","{'mean': 0.6049834437086095, 'std': 0.006052315308309857}","{'mean': 0.6288079470198675, 'std': 0.0}","{'mean': 0.9235099337748345, 'std': 0.0}","{'mean': 0.9079304635761589, 'std': 0.0028830774239788203}","{'mean': 0.920860927152318, 'std': 1.1102230246251565e-16}","{'mean': 0.7302857142857142, 'std': 0.017199905078048493}","{'mean': 0.9800000000000001, 'std': 0.00921400885519835}","{'mean': 0.5488000000000001, 'std': 0.040215907097484085}","{'mean': 0.5605714285714286, 'std': 0.023098723350180265}",62.760000000000005,26.16,763,real,promptrefine_deepseek-v3
