detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9964543551625443, 'std': 0.0}","{'mean': 0.9963603742150455, 'std': 0.002583632137575326}","{'mean': 0.9931650220000854, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9754139072847682, 'std': 0.0015645476364142376}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.48799668874172186, 'std': 0.0}","{'mean': 0.465, 'std': 0.022745620975049976}","{'mean': 0.44221854304635755, 'std': 0.0}","{'mean': 0.9508278145695364, 'std': 1.1102230246251565e-16}","{'mean': 0.923344370860927, 'std': 0.0029398491524059494}","{'mean': 0.9443708609271523, 'std': 0.0}","{'mean': 0.6317991631799164, 'std': 0.0559481661939641}","{'mean': 0.8694560669456066, 'std': 0.02431102769260911}","{'mean': 0.3184937238493724, 'std': 0.06235876358130217}","{'mean': 0.3238493723849373, 'std': 0.023609599965968016}",89.8,1.16,763,real,baseline
"{'mean': 0.9797513776752531, 'std': 0.0}","{'mean': 0.974155239437823, 'std': 0.0015407745461007234}","{'mean': 0.9768037934127898, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9751986754966888, 'std': 0.0008403031483741282}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.26970198675496687, 'std': 0.0}","{'mean': 0.20521523178807946, 'std': 0.014316645528742018}","{'mean': 0.24197019867549668, 'std': 0.0}","{'mean': 0.9201986754966889, 'std': 0.0}","{'mean': 0.8795695364238411, 'std': 0.0076418360357610555}","{'mean': 0.8870860927152318, 'std': 0.0}","{'mean': 0.7628571428571429, 'std': 0.027523644751525227}","{'mean': 0.9508571428571428, 'std': 0.005540205551332936}","{'mean': 0.4993142857142857, 'std': 0.03149064000879094}","{'mean': 0.47771428571428576, 'std': 0.038815103309123855}",44.76,16.16,763,real,temp. 0.9
"{'mean': 0.9756503908753045, 'std': 0.0}","{'mean': 0.9811012858302363, 'std': 0.0015053932369124396}","{'mean': 0.9751377675253108, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9758112582781457, 'std': 0.0014226855005921386}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.3867549668874173, 'std': 0.0}","{'mean': 0.34769867549668876, 'std': 0.0040035426836191575}","{'mean': 0.39768211920529806, 'std': 0.0}","{'mean': 0.9248344370860927, 'std': 0.0}","{'mean': 0.8738245033112584, 'std': 0.0039932594185923065}","{'mean': 0.8996688741721854, 'std': 0.0}","{'mean': 0.5811428571428572, 'std': 0.030644771834952983}","{'mean': 0.9771428571428572, 'std': 0.022785602328430726}","{'mean': 0.34320000000000006, 'std': 0.03334441176446764}","{'mean': 0.44057142857142856, 'std': 0.036067963058421706}",43.96,15.120000000000001,763,real,30 shots
"{'mean': 0.9998291255500023, 'std': 0.0}","{'mean': 0.9996924259900037, 'std': 8.283446294015813e-05}","{'mean': 0.9998718441625016, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9762748344370861, 'std': 0.0013446318214733349}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5565397350993377, 'std': 0.0}","{'mean': 0.506887417218543, 'std': 0.01851074824352232}","{'mean': 0.6123344370860927, 'std': 0.0}","{'mean': 0.9201986754966887, 'std': 1.1102230246251565e-16}","{'mean': 0.9202649006622515, 'std': 0.004919587138853339}","{'mean': 0.9221854304635763, 'std': 1.1102230246251565e-16}","{'mean': 0.9315789473684211, 'std': 0.033700653881225534}","{'mean': 0.8078947368421053, 'std': 0.03588995183417333}","{'mean': 0.7305263157894738, 'std': 0.07140458639645464}","{'mean': 0.6973684210526315, 'std': 0.04707511531578505}",95.8,37.0,763,real,cat first
"{'mean': 0.9910718099876117, 'std': 0.0}","{'mean': 0.9965696954162929, 'std': 0.0004044981182883668}","{'mean': 0.9897902516126276, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9767880794701987, 'std': 0.0008847939878070952}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.42069536423841064, 'std': 0.0}","{'mean': 0.3266390728476821, 'std': 0.014528973486350655}","{'mean': 0.4562913907284768, 'std': 5.551115123125783e-17}","{'mean': 0.9198675496688742, 'std': 1.1102230246251565e-16}","{'mean': 0.9159271523178807, 'std': 0.003006049920678071}","{'mean': 0.9273178807947019, 'std': 1.1102230246251565e-16}","{'mean': 0.7194285714285715, 'std': 0.04189004070425427}","{'mean': 0.9948571428571429, 'std': 0.004915614438310046}","{'mean': 0.4684571428571428, 'std': 0.029516705750597342}","{'mean': 0.5314285714285715, 'std': 0.03618546331197157}",77.68,5.4,763,real,num first
"{'mean': 0.985347515912683, 'std': 1.1102230246251565e-16}","{'mean': 0.9800632235464992, 'std': 0.0009015145543604724}","{'mean': 0.9867145115126661, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9758609271523179, 'std': 0.0018156145779807769}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.45413907284768207, 'std': 0.0}","{'mean': 0.3016887417218543, 'std': 0.013722818722660924}","{'mean': 0.44006622516556293, 'std': 0.0}","{'mean': 0.9069536423841059, 'std': 0.0}","{'mean': 0.8889735099337749, 'std': 0.003905109395555371}","{'mean': 0.8713576158940397, 'std': 0.0}","{'mean': 0.5765714285714286, 'std': 0.03219329376229322}","{'mean': 0.9737142857142856, 'std': 0.009458825918426762}","{'mean': 0.3273142857142858, 'std': 0.04019609078362864}","{'mean': 0.4062857142857143, 'std': 0.04050296033524423}",26.36,9.28,763,real,EPIC prompting
"{'mean': 0.9847921739501901, 'std': 1.1102230246251565e-16}","{'mean': 0.9881498568926481, 'std': 0.0007260153558944705}","{'mean': 0.9810756546627365, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.975844370860927, 'std': 0.0008983218520695314}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.3773178807947019, 'std': 0.0}","{'mean': 0.43253311258278143, 'std': 0.028118266728572223}","{'mean': 0.3798841059602649, 'std': 0.0}","{'mean': 0.9518211920529801, 'std': 0.0}","{'mean': 0.9242549668874173, 'std': 0.0052985306038785965}","{'mean': 0.9430463576158938, 'std': 1.1102230246251565e-16}","{'mean': 0.6462857142857142, 'std': 0.02960419165025968}","{'mean': 0.9480000000000001, 'std': 0.012571428571428574}","{'mean': 0.39748571428571433, 'std': 0.018287857017313832}","{'mean': 0.4188571428571429, 'std': 0.03714725248718859}",68.16,6.32,763,real,fshots feedback
"{'mean': 0.9704387201503695, 'std': 0.0}","{'mean': 0.9657439446366782, 'std': 0.0017055054952397023}","{'mean': 0.9636037421504549, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9768046357615894, 'std': 0.0004809880478918529}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.30927152317880796, 'std': 0.0}","{'mean': 0.23082781456953644, 'std': 0.00849236080821097}","{'mean': 0.2985099337748345, 'std': 0.0}","{'mean': 0.9008278145695364, 'std': 1.1102230246251565e-16}","{'mean': 0.8851821192052981, 'std': 0.0055370832808578066}","{'mean': 0.8894039735099339, 'std': 1.1102230246251565e-16}","{'mean': 0.5725714285714285, 'std': 0.022899959896587278}","{'mean': 0.9868571428571429, 'std': 0.011794152823171589}","{'mean': 0.3137142857142857, 'std': 0.004585692033768891}","{'mean': 0.35828571428571426, 'std': 0.016422980415085622}",41.760000000000005,9.32,763,real,sentence
