detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9964543551625443, 'std': 0.0}","{'mean': 0.9960357127600495, 'std': 0.001501035029701481}","{'mean': 0.9931650220000854, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9755794701986755, 'std': 0.0010043543634505752}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.48799668874172186, 'std': 0.0}","{'mean': 0.45902317880794696, 'std': 0.023754499318745976}","{'mean': 0.44221854304635755, 'std': 0.0}","{'mean': 0.9508278145695364, 'std': 1.1102230246251565e-16}","{'mean': 0.9282284768211919, 'std': 0.0027738582739813516}","{'mean': 0.9443708609271523, 'std': 0.0}","{'mean': 0.6317991631799164, 'std': 0.0559481661939641}","{'mean': 0.8694560669456066, 'std': 0.02431102769260911}","{'mean': 0.3184937238493724, 'std': 0.06235876358130217}","{'mean': 0.3238493723849373, 'std': 0.023609599965968016}",89.8,1.16,763,real,info-full
"{'mean': 0.9819300269127258, 'std': 0.0}","{'mean': 0.9855525652526806, 'std': 0.00044365700832902673}","{'mean': 0.9795377846127558, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9753311258278146, 'std': 0.0005992371215514493}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5082781456953642, 'std': 0.0}","{'mean': 0.4668543046357616, 'std': 0.013077227572009803}","{'mean': 0.4745860927152317, 'std': 0.0}","{'mean': 0.9389072847682118, 'std': 0.0}","{'mean': 0.9196192052980132, 'std': 0.003175615808937703}","{'mean': 0.9317880794701987, 'std': 0.0}","{'mean': 0.847588424437299, 'std': 0.06709710334802568}","{'mean': 0.9581993569131833, 'std': 0.0061008572221898085}","{'mean': 0.6078456591639873, 'std': 0.033498342282890024}","{'mean': 0.4861736334405144, 'std': 0.023222469563045394}",83.39999999999999,54.96,763,real,info-weakness
"{'mean': 0.9985902857875176, 'std': 0.0}","{'mean': 0.9962749369900467, 'std': 1.7087444999752678e-05}","{'mean': 0.9978640693750268, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9751655629139073, 'std': 0.002307806869099726}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5973509933774834, 'std': 0.0}","{'mean': 0.505794701986755, 'std': 0.011279926595614722}","{'mean': 0.541887417218543, 'std': 0.0}","{'mean': 0.9622516556291391, 'std': 1.1102230246251565e-16}","{'mean': 0.9433774834437086, 'std': 0.0031321597949913816}","{'mean': 0.9577814569536424, 'std': 0.0}","{'mean': 0.3902857142857143, 'std': 0.06995275373494628}","{'mean': 0.21142857142857147, 'std': 0.039133471241746126}","{'mean': 0.16960000000000003, 'std': 0.060486625271498604}","{'mean': 0.07257142857142858, 'std': 0.013594716860994654}",80.47999999999999,0.2,763,real,noInfo-full
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9999572813875005, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9747350993377484, 'std': 0.0007594268172966905}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.4265728476821192, 'std': 0.0}","{'mean': 0.5527980132450331, 'std': 0.010096541790806567}","{'mean': 0.37400662251655625, 'std': 0.0}","{'mean': 0.9509933774834438, 'std': 0.0}","{'mean': 0.9404304635761591, 'std': 0.004671574063191653}","{'mean': 0.9523178807947021, 'std': 1.1102230246251565e-16}","{'mean': 0.3225563909774436, 'std': 0.08109851254883506}","{'mean': 0.5631578947368421, 'std': 0.017046291802638544}","{'mean': 0.15503759398496242, 'std': 0.030786329215985776}","{'mean': 0.13458646616541353, 'std': 0.011253104922628395}",89.08,0.36,763,real,noInfo-weakness
