detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9984194113375198, 'std': 0.0}","{'mean': 0.9992780554487591, 'std': 5.126233499936535e-05}","{'mean': 0.9987184416250161, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9764403973509934, 'std': 0.0011772442936841866}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0, 'std': 0}","{'mean': 0, 'std': 0}","{'mean': 0, 'std': 0}","{'mean': 0, 'std': 0}","{'mean': 0, 'std': 0}","{'mean': 0, 'std': 0}","{'mean': 0.9358490566037736, 'std': 0.03123197237216386}","{'mean': 0.27358490566037735, 'std': 0.015786038236491988}","{'mean': 0.6332075471698113, 'std': 0.09437433323706668}","{'mean': 0.3452830188679245, 'std': 0.02430962023910402}",95.6043956043956,2.307692307692308,763,real,iter_0
"{'mean': 0.9998291255500021, 'std': 0.0}","{'mean': 0.999765047631253, 'std': 3.3089694956724655e-05}","{'mean': 0.9987184416250161, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9762417218543046, 'std': 0.0011155550018492066}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5113410596026491, 'std': 0.0}","{'mean': 0.6962086092715232, 'std': 0.003045367676759869}","{'mean': 0.6107615894039735, 'std': 0.0}","{'mean': 0.9293046357615895, 'std': 1.1102230246251565e-16}","{'mean': 0.9203476821192054, 'std': 0.00417415595219553}","{'mean': 0.9162251655629138, 'std': 1.1102230246251565e-16}","{'mean': 0.8988764044943821, 'std': 0.0517342221717813}","{'mean': 0.9910112359550561, 'std': 0.008408218846683035}","{'mean': 0.6058426966292135, 'std': 0.05826425051885742}","{'mean': 0.6719101123595506, 'std': 0.04460546795793081}",95.85168869309838,27.53303964757709,763,real,iter_1
"{'mean': 0.9993592208125082, 'std': 1.1102230246251565e-16}","{'mean': 0.9999359220812508, 'std': 1.9104344290692407e-05}","{'mean': 0.9989320346875135, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9760596026490067, 'std': 0.0013393210871626812}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.559023178807947, 'std': 0.0}","{'mean': 0.6454470198675496, 'std': 0.015237725591955527}","{'mean': 0.5847682119205297, 'std': 0.0}","{'mean': 0.9451986754966886, 'std': 0.0}","{'mean': 0.937185430463576, 'std': 0.003980195810010155}","{'mean': 0.9514900662251655, 'std': 0.0}","{'mean': 0.9290322580645162, 'std': 0.06255070783763005}","{'mean': 0.9806451612903226, 'std': 0.02580645161290324}","{'mean': 0.5845161290322581, 'std': 0.10846387449634844}","{'mean': 0.7290322580645161, 'std': 0.10118959446037497}",97.9067205288285,21.777451340433345,763,real,iter_2
