detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.5161290322580645, 'std': 0.0}","{'mean': 0.4967741935483871, 'std': 0.009677419354838701}","{'mean': 0.5564516129032258, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9558441558441558, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9758169934640524, 'std': 0.0064038947523743376}","{'mean': 0.9503267973856209, 'std': 0.011014574866897211}","{'mean': 0.9850980392156863, 'std': 0.025053746319106684}","{'mean': 0.9294117647058823, 'std': 0.01215756551486162}",58.41936632253471,8.899964400142398,306,real,iter_0
"{'mean': 0.6209677419354839, 'std': 0.0}","{'mean': 0.6370967741935484, 'std': 0.018389926211276404}","{'mean': 0.6129032258064516, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9324675324675324, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9398692810457516, 'std': 0.01233200147981251}","{'mean': 0.9470588235294117, 'std': 0.01658637586986868}","{'mean': 0.9803921568627452, 'std': 0.03538357097770581}","{'mean': 0.9098039215686274, 'std': 0.017489004131058368}",50.350804787453576,40.899711101939744,306,real,iter_1
"{'mean': 0.6612903225806451, 'std': 0.0}","{'mean': 0.6870967741935484, 'std': 0.01644845004384772}","{'mean': 0.6532258064516129, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9428571428571428, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.016427416416459117}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.92987012987013, 'std': 0.017616441514611093}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.8816993464052288, 'std': 0.015244318679334132}","{'mean': 0.9209150326797385, 'std': 0.02466400295962513}","{'mean': 0.9045751633986928, 'std': 0.01683688547643108}","{'mean': 0.8941176470588236, 'std': 0.011244869630121083}",52.41679873217115,42.35340729001585,306,real,iter_2
