detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8548387096774194, 'std': 0.0}","{'mean': 0.8693548387096774, 'std': 0.00940476112071822}","{'mean': 0.8145161290322582, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6363636363636364, 'std': 0.0}","{'mean': 0.6129870129870131, 'std': 0.009718590614997254}","{'mean': 0.6493506493506493, 'std': 0.0}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.903896103896104, 'std': 0.010389610389610393}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.5084967320261439, 'std': 0.03387361704535931}","{'mean': 0.857516339869281, 'std': 0.01622179561567431}","{'mean': 0.2503267973856209, 'std': 0.02795980344602279}","{'mean': 0.41830065359477125, 'std': 0.03691508822599462}",0.44,0.5599999999999999,306,real,statgen
"{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9177419354838708, 'std': 0.006034931268990223}","{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.5844155844155844, 'std': 0.0}","{'mean': 0.5688311688311688, 'std': 0.02234370199231852}","{'mean': 0.5714285714285714, 'std': 0.0}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.015145329597000785}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.5633986928104575, 'std': 0.019344638675750002}","{'mean': 0.8509803921568627, 'std': 0.01999615495526583}","{'mean': 0.24078431372549022, 'std': 0.015208407395815941}","{'mean': 0.3568627450980393, 'std': 0.017707473443325572}",0.32,0.12,306,real,ctgan
"{'mean': 0.5080645161290323, 'std': 0.0}","{'mean': 0.5596774193548387, 'std': 0.021397579292615515}","{'mean': 0.5241935483870968, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.012724622040432098}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.9454545454545455, 'std': 0.0051948051948051965}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9444444444444444, 'std': 0.010334240719504513}","{'mean': 0.9692810457516339, 'std': 0.009380849734906757}","{'mean': 0.889281045751634, 'std': 0.017026614222045898}","{'mean': 0.9065359477124183, 'std': 0.011053290539403727}",5.800000000000001,4.72,306,real,tabddpm
"{'mean': 0.7661290322580645, 'std': 0.0}","{'mean': 0.7919354838709676, 'std': 0.0079015798154296}","{'mean': 0.8064516129032258, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597401, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8571428571428571, 'std': 0.0}","{'mean': 0.8727272727272727, 'std': 0.020779220779220786}","{'mean': 0.8441558441558442, 'std': 1.1102230246251565e-16}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.75359477124183, 'std': 0.014408763192842254}","{'mean': 0.7124183006535948, 'std': 0.042609166047076145}","{'mean': 0.5402614379084968, 'std': 0.04319781844777205}","{'mean': 0.5908496732026144, 'std': 0.023328847447810122}",20.76,8.28,306,real,great
"{'mean': 0.7258064516129032, 'std': 0.0}","{'mean': 0.7483870967741936, 'std': 0.006034931268990223}","{'mean': 0.7338709677419355, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9428571428571427, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7869281045751634, 'std': 0.012807789504748633}","{'mean': 0.8725490196078433, 'std': 0.02480217772681081}","{'mean': 0.5937254901960786, 'std': 0.027240399897224783}","{'mean': 0.6967320261437908, 'std': 0.01194488031535756}",40.927750410509034,23.973727422003286,306,real,tabula
"{'mean': 0.8709677419354838, 'std': 1.1102230246251565e-16}","{'mean': 0.8983870967741936, 'std': 0.00822422502192384}","{'mean': 0.8548387096774194, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.012724622040432098}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.0051948051948051965}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9324675324675324, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9954248366013072, 'std': 0.0016009736880935748}","{'mean': 0.5496732026143791, 'std': 0.04120239872542348}","{'mean': 1.1979084967320264, 'std': 0.013378112681830876}","{'mean': 0.7261437908496733, 'std': 0.02543147249456696}",71.55926809864758,73.50835322195705,306,real,epic
"{'mean': 0.9032258064516128, 'std': 1.1102230246251565e-16}","{'mean': 0.9258064516129032, 'std': 0.006034931268990223}","{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.8363636363636363, 'std': 0.0063623110202159945}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9272727272727271, 'std': 0.01558441558441559}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop
"{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9774193548387096, 'std': 0.0032258064516129}","{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545455, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7662337662337663, 'std': 0.0}","{'mean': 0.8207792207792208, 'std': 0.012724622040432098}","{'mean': 0.7792207792207793, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,reduced
"{'mean': 0.7983870967741935, 'std': 0.0}","{'mean': 0.7467741935483871, 'std': 0.019488783828378323}","{'mean': 0.7903225806451613, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9506493506493505, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.008213708208229559}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9428571428571428, 'std': 0.013244206528812433}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine
