detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.7983870967741935, 'std': 0.0}","{'mean': 0.7645161290322581, 'std': 0.006034931268990223}","{'mean': 0.7903225806451613, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9142857142857143, 'std': 0.013244206528812433}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,baseline
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9324675324675326, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6623376623376623, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 0.00821370820822956}","{'mean': 0.6753246753246753, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9428571428571428, 'std': 0.013244206528812433}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.5764705882352941, 'std': 0.13898074624838705}","{'mean': 0.06666666666666667, 'std': 0.023529411764705882}","{'mean': 0.156078431372549, 'std': 0.03275390277305271}","{'mean': 0.1215686274509804, 'std': 0.007843137254901966}",97.92,0.24,306,real,temp. 0.9
"{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9324675324675324, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9272727272727274, 'std': 0.006362311020216049}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9324675324675326, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.781045751633987, 'std': 0.017899429983828992}","{'mean': 0.6777777777777777, 'std': 0.027929229567609785}","{'mean': 0.6126797385620916, 'std': 0.02707365953673121}","{'mean': 0.3189542483660131, 'std': 0.02868380164378}",77.88000000000001,0.5599999999999999,306,real,30 shots
"{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9129032258064516, 'std': 0.0032258064516129}","{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7402597402597403, 'std': 0.0}","{'mean': 0.7740259740259741, 'std': 0.006362311020216049}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.9194805194805195, 'std': 0.0051948051948051965}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.784967320261438, 'std': 0.013616121997385402}","{'mean': 0.7849673202614378, 'std': 0.025178248737592435}","{'mean': 0.5633986928104575, 'std': 0.015143101132104132}","{'mean': 0.6359477124183006, 'std': 0.013330769970177216}",33.68,4.16,306,real,cat first
"{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.967741935483871, 'std': 0.005100447838981253}","{'mean': 0.9596774193548387, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6623376623376623, 'std': 0.0}","{'mean': 0.9168831168831169, 'std': 0.006362311020216049}","{'mean': 0.6623376623376623, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9454545454545453, 'std': 0.009718590614997254}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9300653594771242, 'std': 0.005697907115739455}","{'mean': 0.6058823529411764, 'std': 0.03769378001384629}","{'mean': 0.7860130718954249, 'std': 0.009005388052104506}","{'mean': 0.4784313725490196, 'std': 0.01595628185063229}",83.39999999999999,1.6400000000000001,306,real,num first
"{'mean': 0.8951612903225806, 'std': 0.0}","{'mean': 0.9032258064516128, 'std': 0.005100447838981253}","{'mean': 0.9274193548387096, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9142857142857143, 'std': 0.006362311020216049}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9588235294117646, 'std': 0.010040713395906684}","{'mean': 0.6640522875816993, 'std': 0.03423738785283346}","{'mean': 0.8383006535947715, 'std': 0.015743902856880883}","{'mean': 0.5862745098039216, 'std': 0.03881054337072818}",67.47999999999999,2.8000000000000003,306,real,fshots feedback
"{'mean': 0.8951612903225806, 'std': 0.0}","{'mean': 0.896774193548387, 'std': 0.010698789646307732}","{'mean': 0.9112903225806452, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9298701298701297, 'std': 0.013244206528812433}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.8961038961038961, 'std': 0.023231875090906913}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9220779220779219, 'std': 0.00821370820822956}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.8490196078431372, 'std': 0.00811089780783716}","{'mean': 0.7725490196078432, 'std': 0.020935447553002536}","{'mean': 0.7379084967320262, 'std': 0.014349345359542529}","{'mean': 0.7294117647058824, 'std': 0.025598896768060306}",68.08,6.800000000000001,306,real,sentence
