detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9774193548387096, 'std': 0.0032258064516129}","{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7662337662337663, 'std': 0.0}","{'mean': 0.8467532467532468, 'std': 0.022343701992318474}","{'mean': 0.7792207792207793, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9532467532467532, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,baseline
"{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.985483870967742, 'std': 0.0032258064516129}","{'mean': 0.9838709677419356, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.8987012987012987, 'std': 0.009718590614997254}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.9532467532467532, 'std': 0.006362311020216049}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.330718954248366, 'std': 0.01721822205531961}","{'mean': 0.42483660130718953, 'std': 0.1433147197246091}","{'mean': 0.10300653594771243, 'std': 0.0025682199613579807}","{'mean': 0.0803921568627451, 'std': 0.023620014378552486}",62.88,0.0,306,real,temp. 0.9
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.8467532467532468, 'std': 0.009718590614997219}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9506493506493505, 'std': 0.012724622040432098}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6745098039215686, 'std': 0.013956965035335044}","{'mean': 0.3764705882352941, 'std': 0.16048912804432594}","{'mean': 0.2941176470588236, 'std': 0.01061160980005354}","{'mean': 0.09607843137254901, 'std': 0.0026143790849673222}",81.56,0.0,306,real,30 shots
"{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9596774193548387, 'std': 0.0}","{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597401, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.35064935064935066, 'std': 0.0}","{'mean': 0.38181818181818183, 'std': 0.010389610389610393}","{'mean': 0.36363636363636365, 'std': 0.0}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.9012987012987013, 'std': 0.006362311020216049}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.7941176470588235, 'std': 0.0}","{'mean': 0.6830065359477124, 'std': 0.0}","{'mean': 0.6228758169934641, 'std': 0.0}","{'mean': 0.4542483660130719, 'std': 0.0}",87.64,0.64,306,real,cat first
"{'mean': 0.9919354838709677, 'std': 0.0}","{'mean': 0.9774193548387096, 'std': 0.0032258064516129}","{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.8987012987012987, 'std': 0.020779220779220786}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9558441558441558, 'std': 0.006362311020216049}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.7967320261437909, 'std': 0.01853261029902982}","{'mean': 0.4385620915032679, 'std': 0.0308922935897947}","{'mean': 0.5415686274509804, 'std': 0.023121371158807164}","{'mean': 0.34444444444444444, 'std': 0.011053290539403765}",78.92,0.48,306,real,num first
"{'mean': 0.9838709677419356, 'std': 1.1102230246251565e-16}","{'mean': 0.9838709677419356, 'std': 1.1102230246251565e-16}","{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7792207792207793, 'std': 0.0}","{'mean': 0.7844155844155845, 'std': 0.010389610389610393}","{'mean': 0.7792207792207793, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.41045751633986927, 'std': 0.0342498627622847}","{'mean': 0.6856209150326796, 'std': 0.10898386586716188}","{'mean': 0.14078431372549022, 'std': 0.013626157835856707}","{'mean': 0.15098039215686276, 'std': 0.01671465601639794}",62.2,0.12,306,real,fshots feedback
"{'mean': 0.9435483870967742, 'std': 0.0}","{'mean': 0.9419354838709678, 'std': 0.0060349312689902705}","{'mean': 0.9435483870967742, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9142857142857143, 'std': 0.015584415584415591}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8732394366197184, 'std': 0.046760186283525754}","{'mean': 0.5220657276995305, 'std': 0.02065727699530515}","{'mean': 0.8048826291079813, 'std': 0.04940930365446673}","{'mean': 0.6009389671361502, 'std': 0.028480283357940117}",90.8,25.080000000000002,306,real,sentence
