detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9032258064516128, 'std': 1.1102230246251565e-16}","{'mean': 0.9209677419354838, 'std': 0.006034931268990223}","{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.8285714285714286, 'std': 0.009718590614997219}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9324675324675324, 'std': 0.012724622040432098}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop_llama3.1
"{'mean': 0.7419354838709677, 'std': 0.0}","{'mean': 0.7725806451612902, 'std': 0.017960530202677474}","{'mean': 0.7419354838709677, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9428571428571428, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7705882352941176, 'std': 0.02277287763422791}","{'mean': 0.9287581699346404, 'std': 0.02267889094496404}","{'mean': 0.4801307189542484, 'std': 0.011188504013872218}","{'mean': 0.6712418300653594, 'std': 0.023255486110663002}",6.279999999999999,2.76,306,real,synthloop_gpt4o-mini
"{'mean': 0.6854838709677419, 'std': 0.0}","{'mean': 0.7048387096774194, 'std': 0.0064516129032258}","{'mean': 0.6774193548387096, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.030732881990127886}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.8790849673202615, 'std': 0.009694377107314557}","{'mean': 0.9241830065359476, 'std': 0.023052538677841048}","{'mean': 0.91281045751634, 'std': 0.017226159463626572}","{'mean': 0.8790849673202615, 'std': 0.020460752735292183}",52.480000000000004,42.44,306,real,synthloop_deepseek-v3
"{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.7662337662337663, 'std': 0.0}","{'mean': 0.8701298701298701, 'std': 0.03181155510108022}","{'mean': 0.7792207792207793, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9480519480519481, 'std': 0.014226559935199124}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,reduced_llama3.1
"{'mean': 0.8467741935483872, 'std': 1.1102230246251565e-16}","{'mean': 0.8612903225806452, 'std': 0.006034931268990223}","{'mean': 0.8870967741935484, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 0.018366409900949295}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.6803921568627451, 'std': 0.02768342298633642}","{'mean': 0.7934640522875818, 'std': 0.022866478019001147}","{'mean': 0.3949019607843137, 'std': 0.028604461476660813}","{'mean': 0.534640522875817, 'std': 0.03517287332568289}",5.08,3.04,306,real,reduced_gpt4o-mini
"{'mean': 0.8629032258064516, 'std': 0.0}","{'mean': 0.9258064516129032, 'std': 0.006034931268990223}","{'mean': 0.8790322580645162, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9350649350649352, 'std': 0.011615937545453458}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9142857142857143, 'std': 0.017616441514611093}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9272727272727274, 'std': 0.010389610389610393}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9836601307189543, 'std': 0.0041336962878018415}","{'mean': 0.44640522875816996, 'std': 0.02920040248848194}","{'mean': 1.4380392156862747, 'std': 0.01705569299900666}","{'mean': 0.6816993464052287, 'std': 0.03205947312008031}",78.2,19.28,306,real,reduced_deepseek-v3
"{'mean': 0.7983870967741935, 'std': 0.0}","{'mean': 0.7661290322580646, 'std': 0.013494516557001205}","{'mean': 0.7903225806451613, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9116883116883117, 'std': 0.0051948051948051965}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9454545454545453, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine_llama3.1
"{'mean': 0.8629032258064516, 'std': 0.0}","{'mean': 0.8564516129032258, 'std': 0.013874718172649386}","{'mean': 0.8467741935483872, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.8987012987012987, 'std': 0.0051948051948051965}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6477124183006535, 'std': 0.016586375869868678}","{'mean': 0.9091503267973856, 'std': 0.02220299052478827}","{'mean': 0.34705882352941175, 'std': 0.01089760261472751}","{'mean': 0.4973856209150327, 'std': 0.03540288252013291}",3.44,0.9199999999999999,306,real,promptrefine_gpt4o-mini
"{'mean': 0.6209677419354839, 'std': 0.0}","{'mean': 0.5290322580645161, 'std': 0.01495744918628338}","{'mean': 0.6370967741935484, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 0.00821370820822956}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.9506493506493505, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9666666666666666, 'std': 0.0069784825176674985}","{'mean': 0.9666666666666666, 'std': 0.006665384985088584}","{'mean': 0.9186928104575165, 'std': 0.028141334829039313}","{'mean': 0.9222222222222223, 'std': 0.012122377118295035}",52.28,10.6,306,real,promptrefine_deepseek-v3
