detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9888888888888889, 'std': 0.0}","{'mean': 0.9855555555555556, 'std': 0.0014163943093313588}","{'mean': 0.9847222222222223, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8444717444717444, 'std': 0.0009285145244367977}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.5420761670761671, 'std': 0.0}","{'mean': 0.5493857493857494, 'std': 0.0069810061980103534}","{'mean': 0.5503685503685504, 'std': 0.0}","{'mean': 0.8290847665847666, 'std': 0.0}","{'mean': 0.8326167076167076, 'std': 0.0019302526243821494}","{'mean': 0.8273955773955773, 'std': 0.0}","{'mean': 0.6411428571428571, 'std': 0.06263858105620444}","{'mean': 0.7062857142857142, 'std': 0.05649345275411683}","{'mean': 0.39428571428571435, 'std': 0.02025792865693301}","{'mean': 0.4137142857142857, 'std': 0.030366469155626113}",76.52,12.280000000000001,1797,30 shots,baseline
"{'mean': 0.9388888888888889, 'std': 0.0}","{'mean': 0.9419444444444445, 'std': 0.001039349274103869}","{'mean': 0.9375, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8449324324324324, 'std': 0.0010387920470078373}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6953316953316954, 'std': 0.0}","{'mean': 0.7348894348894348, 'std': 0.0022159894358166655}","{'mean': 0.7172911547911548, 'std': 0.0}","{'mean': 0.8316953316953317, 'std': 0.0}","{'mean': 0.8347972972972972, 'std': 0.0010250810361350437}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.862857142857143, 'std': 0.033709442751434594}","{'mean': 0.8474285714285715, 'std': 0.02533691345988041}","{'mean': 0.7580571428571429, 'std': 0.08388337871408016}","{'mean': 0.5571428571428572, 'std': 0.0317644391078567}",56.99999999999999,4.3999999999999995,1797,30 shots,temp. 0.9
"{'mean': 0.9805555555555555, 'std': 0.0}","{'mean': 0.9777777777777776, 'std': 0.0017568209223157599}","{'mean': 0.976388888888889, 'std': 1.1102230246251565e-16}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8438267813267813, 'std': 0.0011326221692005752}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.581541769041769, 'std': 0.0}","{'mean': 0.6146191646191645, 'std': 0.004888601413039692}","{'mean': 0.6111793611793612, 'std': 0.0}","{'mean': 0.8335380835380836, 'std': 0.0}","{'mean': 0.8422604422604423, 'std': 0.0008654178626293317}","{'mean': 0.8309275184275184, 'std': 0.0}","{'mean': 0.930944625407166, 'std': 0.011726384364820852}","{'mean': 0.796742671009772, 'std': 0.015770317181641968}","{'mean': 1.0213680781758958, 'std': 0.11872087920016443}","{'mean': 0.6358306188925082, 'std': 0.0399683691209849}",84.92,28.12,1797,30 shots,30 shots
"{'mean': 0.986111111111111, 'std': 1.1102230246251565e-16}","{'mean': 0.9944444444444445, 'std': 0.0}","{'mean': 0.9875, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8440110565110566, 'std': 0.0015911343792369284}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6271498771498771, 'std': 0.0}","{'mean': 0.6379606879606879, 'std': 0.010063498599833172}","{'mean': 0.6598587223587223, 'std': 0.0}","{'mean': 0.8321560196560197, 'std': 0.0}","{'mean': 0.8318488943488942, 'std': 0.001255087023446134}","{'mean': 0.8326167076167076, 'std': 0.0}","{'mean': 0.33885714285714286, 'std': 0.043988866866097674}","{'mean': 0.7645714285714286, 'std': 0.047590086431216025}","{'mean': 0.3056, 'std': 0.04562620085084482}","{'mean': 0.43257142857142855, 'std': 0.02268506656146195}",82.76,0.48,1797,30 shots,cat first
"{'mean': 0.9722222222222221, 'std': 1.1102230246251565e-16}","{'mean': 0.9805555555555555, 'std': 0.00087841046115788}","{'mean': 0.9736111111111111, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8443181818181819, 'std': 0.0019842291529745754}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6116400491400491, 'std': 0.0}","{'mean': 0.6170761670761672, 'std': 0.008155666123489733}","{'mean': 0.5956695331695332, 'std': 0.0}","{'mean': 0.8230958230958232, 'std': 1.1102230246251565e-16}","{'mean': 0.8269348894348895, 'std': 0.0016793885890039777}","{'mean': 0.8209459459459459, 'std': 0.0}","{'mean': 0.7771428571428571, 'std': 0.03140258666064934}","{'mean': 0.7022857142857142, 'std': 0.019072364878032728}","{'mean': 0.695657142857143, 'std': 0.035107485102241084}","{'mean': 0.49657142857142855, 'std': 0.023098723350180286}",63.75999999999999,2.0,1797,30 shots,num first
"{'mean': 0.9722222222222221, 'std': 1.1102230246251565e-16}","{'mean': 0.9705555555555556, 'std': 0.001039349274103869}","{'mean': 0.9680555555555556, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8445331695331696, 'std': 0.0006486090934257475}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.5942874692874693, 'std': 0.0}","{'mean': 0.539527027027027, 'std': 0.006525672020398418}","{'mean': 0.566953316953317, 'std': 0.0}","{'mean': 0.8303132678132679, 'std': 0.0}","{'mean': 0.8250921375921376, 'std': 0.0007070555548661769}","{'mean': 0.8255528255528255, 'std': 0.0}","{'mean': 0.6226027397260274, 'std': 0.026027397260273963}","{'mean': 0.8863013698630138, 'std': 0.02743148547191889}","{'mean': 0.6504109589041096, 'std': 0.0467173499892373}","{'mean': 0.7171232876712328, 'std': 0.02407999428937938}",84.88,19.919999999999998,1797,30 shots,fshots feedback
"{'mean': 0.9527777777777777, 'std': 0.0}","{'mean': 0.9594444444444445, 'std': 0.0018425693279752156}","{'mean': 0.9527777777777777, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8447481572481573, 'std': 0.0010901866922173624}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.7189803439803439, 'std': 0.0}","{'mean': 0.7323710073710074, 'std': 0.0010744997349223383}","{'mean': 0.7043918918918919, 'std': 0.0}","{'mean': 0.8241707616707616, 'std': 0.0}","{'mean': 0.822972972972973, 'std': 0.0009234211534627319}","{'mean': 0.8158783783783784, 'std': 0.0}","{'mean': 0.8331428571428571, 'std': 0.044432016402957145}","{'mean': 0.8079999999999998, 'std': 0.02330980349070989}","{'mean': 0.8222857142857143, 'std': 0.04557120465686146}","{'mean': 0.7748571428571428, 'std': 0.010125740083811053}",77.84,12.0,1797,30 shots,sentence
