detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9684684684684685, 'std': 0.0}","{'mean': 0.9608108108108107, 'std': 0.002296855636753514}","{'mean': 0.9819819819819819, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8393427518427519, 'std': 0.0008762495465410003}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.7275798525798526, 'std': 0.0}","{'mean': 0.7594594594594594, 'std': 0.001503346222422669}","{'mean': 0.7185196560196561, 'std': 0.0}","{'mean': 0.827088452088452, 'std': 0.0}","{'mean': 0.832862407862408, 'std': 0.0011267774157152652}","{'mean': 0.818642506142506, 'std': 1.1102230246251565e-16}","{'mean': 0.5977142857142856, 'std': 0.03329031237401029}","{'mean': 0.8879999999999999, 'std': 0.034161680406023145}","{'mean': 0.28217142857142863, 'std': 0.03579059276698621}","{'mean': 0.5788571428571428, 'std': 0.05270170194362893}",0.0,0.0,1108,epic,statgen
"{'mean': 0.9932432432432432, 'std': 0.0}","{'mean': 0.9896396396396397, 'std': 0.0033708625106071586}","{'mean': 0.990990990990991, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8401412776412777, 'std': 0.0014306897664437353}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.8249385749385748, 'std': 1.1102230246251565e-16}","{'mean': 0.8252457002457003, 'std': 0.0024006906935949567}","{'mean': 0.8243243243243243, 'std': 0.0}","{'mean': 0.8333845208845208, 'std': 1.1102230246251565e-16}","{'mean': 0.8423525798525798, 'std': 0.0010621386035497922}","{'mean': 0.8281633906633907, 'std': 1.1102230246251565e-16}","{'mean': 0.7645714285714286, 'std': 0.0450885749590374}","{'mean': 0.8948571428571428, 'std': 0.0221608222053318}","{'mean': 0.6156571428571429, 'std': 0.036219016315426664}","{'mean': 0.8245714285714285, 'std': 0.025720634136975784}",0.0,0.0,1108,epic,ctgan
"{'mean': 0.6531531531531531, 'std': 0.0}","{'mean': 0.6414414414414414, 'std': 0.013240485096125286}","{'mean': 0.6666666666666666, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8402027027027028, 'std': 0.001795041670295116}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.8277027027027029, 'std': 1.1102230246251565e-16}","{'mean': 0.8286855036855038, 'std': 0.0014970586740729722}","{'mean': 0.8178746928746928, 'std': 0.0}","{'mean': 0.8335380835380836, 'std': 0.0}","{'mean': 0.8441339066339066, 'std': 0.0009808795714171402}","{'mean': 0.8356879606879607, 'std': 0.0}","{'mean': 0.917142857142857, 'std': 0.007228063223241992}","{'mean': 0.8988571428571429, 'std': 0.007793246683991934}","{'mean': 0.9198857142857143, 'std': 0.03690455422368599}","{'mean': 0.9560000000000001, 'std': 0.013105537075633968}",0.0,0.0,1108,epic,tabddpm
"{'mean': 0.7252252252252253, 'std': 0.0}","{'mean': 0.722072072072072, 'std': 0.015772199459469907}","{'mean': 0.7117117117117117, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8399570024570024, 'std': 0.0016464895766191894}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.8180282555282556, 'std': 1.1102230246251565e-16}","{'mean': 0.8262285012285012, 'std': 0.0008275303185078059}","{'mean': 0.8120393120393119, 'std': 1.1102230246251565e-16}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8392199017199017, 'std': 0.0013030223240538354}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.9874285714285715, 'std': 0.006154474065296565}","{'mean': 0.6931428571428572, 'std': 0.016718558672374623}","{'mean': 1.6208000000000002, 'std': 0.09490986486651216}","{'mean': 0.9628571428571429, 'std': 0.018952141659173725}",0.0,0.0,1108,epic,great
"{'mean': 0.6779279279279279, 'std': 0.0}","{'mean': 0.6752252252252252, 'std': 0.009807000476160923}","{'mean': 0.6666666666666666, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8406633906633907, 'std': 0.0013123993009349964}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.8266277641277642, 'std': 0.0}","{'mean': 0.8326781326781326, 'std': 0.0016268946729912886}","{'mean': 0.8287776412776413, 'std': 0.0}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.8409090909090908, 'std': 0.0007460047789613906}","{'mean': 0.8339987714987716, 'std': 0.0}","{'mean': 0.9868571428571429, 'std': 0.004642307659791989}","{'mean': 0.7748571428571428, 'std': 0.012700634726224487}","{'mean': 1.5722285714285715, 'std': 0.11046800626499634}","{'mean': 0.9822857142857142, 'std': 0.007091242083423369}",0.0,0.40096230954290296,1108,epic,tabula
"{'mean': 0.9707207207207207, 'std': 0.0}","{'mean': 0.977027027027027, 'std': 0.0026265549075879463}","{'mean': 0.9774774774774775, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8399877149877151, 'std': 0.0018350576469643447}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.7609029484029484, 'std': 0.0}","{'mean': 0.7626535626535627, 'std': 0.0012460357969963514}","{'mean': 0.7635135135135135, 'std': 0.0}","{'mean': 0.8344594594594594, 'std': 0.0}","{'mean': 0.830497542997543, 'std': 0.0009079696252515031}","{'mean': 0.8257063882063882, 'std': 0.0}","{'mean': 0.9131428571428571, 'std': 0.054468863976194166}","{'mean': 0.37257142857142855, 'std': 0.0378439330052536}","{'mean': 1.6541714285714288, 'std': 0.16803785773644297}","{'mean': 0.5091428571428571, 'std': 0.05147299668520477}",24.725274725274726,56.514913657770805,1108,epic,epic
"{'mean': 0.9864864864864865, 'std': 0.0}","{'mean': 0.9801801801801803, 'std': 0.0022067475160208994}","{'mean': 0.9864864864864865, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8397420147420147, 'std': 0.0013478567725731952}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.4768120393120393, 'std': 0.0}","{'mean': 0.44742014742014735, 'std': 0.014976445293749288}","{'mean': 0.47159090909090906, 'std': 5.551115123125783e-17}","{'mean': 0.828470515970516, 'std': 0.0}","{'mean': 0.8339373464373464, 'std': 0.0006976545879361579}","{'mean': 0.8278562653562653, 'std': 0.0}","{'mean': 0.6411428571428571, 'std': 0.06263858105620444}","{'mean': 0.7062857142857142, 'std': 0.05649345275411683}","{'mean': 0.39428571428571435, 'std': 0.02025792865693301}","{'mean': 0.4137142857142857, 'std': 0.030366469155626113}",76.52,12.280000000000001,1108,epic,synthloop
"{'mean': 0.990990990990991, 'std': 0.0}","{'mean': 0.9968468468468469, 'std': 0.0011033737580104293}","{'mean': 0.9954954954954955, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8403562653562654, 'std': 0.0008555521054781417}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.7312653562653563, 'std': 0.0}","{'mean': 0.7329238329238329, 'std': 0.005952528997370982}","{'mean': 0.7214373464373465, 'std': 0.0}","{'mean': 0.8313882063882063, 'std': 1.1102230246251565e-16}","{'mean': 0.8266584766584766, 'std': 0.0007485293370364601}","{'mean': 0.8224815724815725, 'std': 0.0}","{'mean': 0.8368715083798882, 'std': 0.12185432036208403}","{'mean': 0.5284916201117318, 'std': 0.028398357602544888}","{'mean': 0.8531843575418996, 'std': 0.06123312794805949}","{'mean': 0.6849162011173184, 'std': 0.018895569301997494}",91.64,44.080000000000005,1108,epic,reduced
"{'mean': 0.7657657657657657, 'std': 0.0}","{'mean': 0.7594594594594595, 'std': 0.005768580394083668}","{'mean': 0.7680180180180181, 'std': 0.0}","{'mean': 0.8370700245700246, 'std': 0.0}","{'mean': 0.8416154791154792, 'std': 0.0007110464928003842}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.7566031941031941, 'std': 0.0}","{'mean': 0.7925061425061426, 'std': 0.0015089826162823282}","{'mean': 0.7636670761670762, 'std': 0.0}","{'mean': 0.8200245700245701, 'std': 0.0}","{'mean': 0.8359336609336608, 'std': 0.0027617379786690735}","{'mean': 0.8209459459459459, 'std': 0.0}","{'mean': 0.9394285714285713, 'std': 0.0033319725113401624}","{'mean': 0.8565714285714285, 'std': 0.023518989288293327}","{'mean': 1.2452571428571428, 'std': 0.09880156984624096}","{'mean': 0.8085714285714285, 'std': 0.032726448144631645}",0.0,3.16,1108,epic,promptrefine
