detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.994047619047619, 'std': 1.1102230246251565e-16}","{'mean': 0.9897619047619048, 'std': 0.0005832118435198022}","{'mean': 0.9904761904761905, 'std': 0.0}","{'mean': 0.8518120393120393, 'std': 0.0}","{'mean': 0.8444717444717444, 'std': 0.0007228871189152038}","{'mean': 0.8565724815724816, 'std': 0.0}","{'mean': 0.46452702702702703, 'std': 0.0}","{'mean': 0.4569717444717445, 'std': 0.023352916526314233}","{'mean': 0.46867321867321865, 'std': 0.0}","{'mean': 0.8318488943488942, 'std': 1.1102230246251565e-16}","{'mean': 0.8336609336609337, 'std': 0.0009285145244368059}","{'mean': 0.8287776412776413, 'std': 0.0}","{'mean': 0.6411428571428571, 'std': 0.06263858105620444}","{'mean': 0.7062857142857142, 'std': 0.05649345275411683}","{'mean': 0.39428571428571435, 'std': 0.02025792865693301}","{'mean': 0.4137142857142857, 'std': 0.030366469155626113}",76.52,12.280000000000001,2098,info-weakness,info-full
"{'mean': 0.9464285714285714, 'std': 0.0}","{'mean': 0.959047619047619, 'std': 0.001214052265141135}","{'mean': 0.9535714285714286, 'std': 0.0}","{'mean': 0.8518120393120393, 'std': 0.0}","{'mean': 0.8437653562653562, 'std': 0.002142405408672654}","{'mean': 0.8565724815724816, 'std': 0.0}","{'mean': 0.6156326781326781, 'std': 0.0}","{'mean': 0.6220208845208844, 'std': 0.011567498679443077}","{'mean': 0.5796990171990172, 'std': 0.0}","{'mean': 0.8389127764127764, 'std': 0.0}","{'mean': 0.831418918918919, 'std': 0.0012300358964680979}","{'mean': 0.832463144963145, 'std': 0.0}","{'mean': 0.8822857142857142, 'std': 0.034636302767295395}","{'mean': 0.8114285714285714, 'std': 0.0164626974753005}","{'mean': 0.8939428571428572, 'std': 0.09132179479227086}","{'mean': 0.7028571428571428, 'std': 0.04052713880342204}",78.4,16.08,2098,info-weakness,info-weakness
"{'mean': 0.9726190476190476, 'std': 0.0}","{'mean': 0.9757142857142856, 'std': 0.000952380952380949}","{'mean': 0.9678571428571429, 'std': 0.0}","{'mean': 0.8518120393120393, 'std': 0.0}","{'mean': 0.8458845208845208, 'std': 0.001337318246749234}","{'mean': 0.8565724815724816, 'std': 0.0}","{'mean': 0.47512285012285005, 'std': 5.551115123125783e-17}","{'mean': 0.4105651105651106, 'std': 0.014808281651311428}","{'mean': 0.4745085995085995, 'std': 0.0}","{'mean': 0.832463144963145, 'std': 0.0}","{'mean': 0.8322174447174447, 'std': 0.0021903009004515584}","{'mean': 0.8244778869778869, 'std': 0.0}","{'mean': 0.808, 'std': 0.03229456263073094}","{'mean': 0.7102857142857143, 'std': 0.05500575109078344}","{'mean': 0.6596571428571429, 'std': 0.068531988657763}","{'mean': 0.4754285714285714, 'std': 0.03010729113673026}",57.56,6.32,2098,info-weakness,noInfo-full
"{'mean': 0.976190476190476, 'std': 1.1102230246251565e-16}","{'mean': 0.976190476190476, 'std': 0.001064794274999896}","{'mean': 0.9714285714285713, 'std': 1.1102230246251565e-16}","{'mean': 0.8518120393120393, 'std': 0.0}","{'mean': 0.8458845208845208, 'std': 0.0016326822923835556}","{'mean': 0.8565724815724816, 'std': 0.0}","{'mean': 0.5816953316953317, 'std': 0.0}","{'mean': 0.5960380835380834, 'std': 0.01414031063441744}","{'mean': 0.6359029484029484, 'std': 0.0}","{'mean': 0.8336916461916462, 'std': 0.0}","{'mean': 0.8357186732186733, 'std': 0.002028887538687213}","{'mean': 0.8296990171990173, 'std': 1.1102230246251565e-16}","{'mean': 0.86, 'std': 0.029911433893262618}","{'mean': 0.5102857142857142, 'std': 0.05009704867269414}","{'mean': 0.7337142857142858, 'std': 0.05669769458654006}","{'mean': 0.5005714285714287, 'std': 0.033777181042586646}",71.04,9.56,2098,info-weakness,noInfo-weakness
