detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.7341269841269841, 'std': 0.0}","{'mean': 0.6646825396825398, 'std': 0.007070845111589471}","{'mean': 0.7261904761904762, 'std': 0.0}","{'mean': 0.8548832923832924, 'std': 0.0}","{'mean': 0.8481879606879605, 'std': 0.0015678438597174753}","{'mean': 0.8545761670761671, 'std': 0.0}","{'mean': 0.7745700245700246, 'std': 0.0}","{'mean': 0.7816339066339066, 'std': 0.0017017070242254394}","{'mean': 0.7782555282555282, 'std': 0.0}","{'mean': 0.8349201474201473, 'std': 1.1102230246251565e-16}","{'mean': 0.8297297297297298, 'std': 0.0010962265539050896}","{'mean': 0.8323095823095823, 'std': 0.0}","{'mean': 0.9125714285714286, 'std': 0.010317411477295894}","{'mean': 0.9234285714285715, 'std': 0.016202796432866092}","{'mean': 0.938857142857143, 'std': 0.026091205805944696}","{'mean': 0.9405714285714286, 'std': 0.01924280941769458}",0.0,0.02693965517241379,2520,iter_2,iter_0
"{'mean': 0.8452380952380952, 'std': 0.0}","{'mean': 0.8146825396825397, 'std': 0.0032238247637444172}","{'mean': 0.861111111111111, 'std': 1.1102230246251565e-16}","{'mean': 0.8548832923832924, 'std': 0.0}","{'mean': 0.8492628992628992, 'std': 0.0017605541336568197}","{'mean': 0.8545761670761671, 'std': 0.0}","{'mean': 0.7814803439803439, 'std': 0.0}","{'mean': 0.7676597051597053, 'std': 0.0009614542900797687}","{'mean': 0.773495085995086, 'std': 0.0}","{'mean': 0.8361486486486488, 'std': 1.1102230246251565e-16}","{'mean': 0.8310196560196561, 'std': 0.002140202873486992}","{'mean': 0.8304668304668305, 'std': 0.0}","{'mean': 0.8268571428571428, 'std': 0.023463388763026064}","{'mean': 0.8445714285714285, 'std': 0.026716959377282207}","{'mean': 0.7214857142857144, 'std': 0.03869647455333811}","{'mean': 0.8222857142857143, 'std': 0.030527338032441304}",0.0,0.0,2520,iter_2,iter_1
"{'mean': 0.8819444444444444, 'std': 0.0}","{'mean': 0.8394841269841271, 'std': 0.0035714285714285587}","{'mean': 0.8898809523809523, 'std': 0.0}","{'mean': 0.8548832923832924, 'std': 0.0}","{'mean': 0.8491707616707617, 'std': 0.0021529462123245427}","{'mean': 0.8545761670761671, 'std': 0.0}","{'mean': 0.8037469287469288, 'std': 0.0}","{'mean': 0.7917997542997542, 'std': 0.0021747421335504068}","{'mean': 0.7928439803439803, 'std': 0.0}","{'mean': 0.8429054054054055, 'std': 1.1102230246251565e-16}","{'mean': 0.8396191646191646, 'std': 0.0011267774157152446}","{'mean': 0.8424447174447176, 'std': 1.1102230246251565e-16}","{'mean': 0.8017142857142858, 'std': 0.013229527888903095}","{'mean': 0.86, 'std': 0.03471164011082844}","{'mean': 0.6204571428571428, 'std': 0.04969313178839482}","{'mean': 0.7697142857142858, 'std': 0.025272393585709683}",0.0,0.0,2520,iter_2,iter_2
