detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.6581685744016651, 'std': 0.0}","{'mean': 0.6288501560874089, 'std': 0.007168229168816906}","{'mean': 0.6607700312174818, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9731523378582203, 'std': 0.0058191679408326966}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9509803921568627, 'std': 1.1102230246251565e-16}","{'mean': 0.9779788838612369, 'std': 0.002087232655067605}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.9758672699849169, 'std': 1.1102230246251565e-16}","{'mean': 0.971266968325792, 'std': 0.007051987769267537}","{'mean': 0.9728506787330315, 'std': 1.1102230246251565e-16}","{'mean': 0.9065359477124183, 'std': 0.01284109980678986}","{'mean': 0.9790849673202615, 'std': 0.007336583111321461}","{'mean': 0.7867973856209151, 'std': 0.01815723447625982}","{'mean': 0.8483660130718954, 'std': 0.019889051051899267}",27.56473287446739,6.424123238282531,306,real,iter_0
"{'mean': 0.8896982310093653, 'std': 0.0}","{'mean': 0.8891519250780437, 'std': 0.0053853297851816735}","{'mean': 0.8969823100936525, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9704374057315233, 'std': 0.005706661964522672}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9826546003016592, 'std': 0.0}","{'mean': 0.9860482654600302, 'std': 0.002051503847471394}","{'mean': 0.9841628959276016, 'std': 1.1102230246251565e-16}","{'mean': 0.9758672699849169, 'std': 1.1102230246251565e-16}","{'mean': 0.9742835595776773, 'std': 0.007550522480110907}","{'mean': 0.9570135746606334, 'std': 0.0}","{'mean': 0.7784313725490197, 'std': 0.01758643666284147}","{'mean': 0.9366013071895425, 'std': 0.02010268823428718}","{'mean': 0.5129411764705882, 'std': 0.017573800981180485}","{'mean': 0.662091503267974, 'std': 0.014556246700209198}",6.130841121495327,3.551401869158879,306,real,iter_1
"{'mean': 0.8415712799167533, 'std': 0.0}","{'mean': 0.8606659729448491, 'std': 0.007687469956023474}","{'mean': 0.8459937565036422, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9758672699849171, 'std': 0.005541831997246971}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9577677224736048, 'std': 1.1102230246251565e-16}","{'mean': 0.9762443438914028, 'std': 0.0018005032256883332}","{'mean': 0.9615384615384615, 'std': 1.1102230246251565e-16}","{'mean': 0.9630467571644041, 'std': 1.1102230246251565e-16}","{'mean': 0.9644042232277528, 'std': 0.0058591024433047}","{'mean': 0.9796380090497738, 'std': 0.0}","{'mean': 0.7705882352941176, 'std': 0.02277287763422791}","{'mean': 0.9287581699346404, 'std': 0.02267889094496404}","{'mean': 0.4801307189542484, 'std': 0.011188504013872218}","{'mean': 0.6712418300653594, 'std': 0.023255486110663002}",6.279999999999999,2.76,306,real,iter_2
