detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9963579604578564, 'std': 0.0}","{'mean': 0.9972684703433924, 'std': 0.000631891665009952}","{'mean': 0.9958376690946931, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9664404223227754, 'std': 0.0050307933876795686}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8800904977375567, 'std': 1.1102230246251565e-16}","{'mean': 0.9512820512820512, 'std': 0.008338024109252088}","{'mean': 0.9049773755656109, 'std': 0.0}","{'mean': 0.982654600301659, 'std': 0.0}","{'mean': 0.972398190045249, 'std': 0.006114646093702678}","{'mean': 0.9796380090497736, 'std': 1.1102230246251565e-16}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,baseline
"{'mean': 0.9994797086368367, 'std': 0.0}","{'mean': 0.9996097814776276, 'std': 0.00011634068561397522}","{'mean': 0.9994797086368367, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.972398190045249, 'std': 0.0056856943665070025}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9423076923076923, 'std': 1.1102230246251565e-16}","{'mean': 0.9570135746606334, 'std': 0.004568667037967094}","{'mean': 0.9223227752639518, 'std': 0.0}","{'mean': 0.9871794871794872, 'std': 0.0}","{'mean': 0.9696078431372548, 'std': 0.006624492083257215}","{'mean': 0.9720965309200604, 'std': 0.0}","{'mean': 0.330718954248366, 'std': 0.01721822205531961}","{'mean': 0.42483660130718953, 'std': 0.1433147197246091}","{'mean': 0.10300653594771243, 'std': 0.0025682199613579807}","{'mean': 0.0803921568627451, 'std': 0.023620014378552486}",62.88,0.0,306,real,temp. 0.9
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9680241327300152, 'std': 0.004495884935381223}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8506787330316742, 'std': 0.0}","{'mean': 0.9644042232277528, 'std': 0.0032049063892723804}","{'mean': 0.8533182503770739, 'std': 1.1102230246251565e-16}","{'mean': 0.9781297134238309, 'std': 1.1102230246251565e-16}","{'mean': 0.9714177978883862, 'std': 0.005533615785171659}","{'mean': 0.984917043740573, 'std': 1.1102230246251565e-16}","{'mean': 0.6745098039215686, 'std': 0.013956965035335044}","{'mean': 0.3764705882352941, 'std': 0.16048912804432594}","{'mean': 0.2941176470588236, 'std': 0.01061160980005354}","{'mean': 0.09607843137254901, 'std': 0.0026143790849673222}",81.56,0.0,306,real,30 shots
"{'mean': 0.9875130072840792, 'std': 1.1102230246251565e-16}","{'mean': 0.9871227887617066, 'std': 0.0022043413282325716}","{'mean': 0.9937565036420397, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.966817496229261, 'std': 0.005427768994101549}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.5098039215686274, 'std': 0.0}","{'mean': 0.6871794871794872, 'std': 0.027695404618543945}","{'mean': 0.4558823529411765, 'std': 0.0}","{'mean': 0.9562594268476621, 'std': 0.0}","{'mean': 0.9466063348416289, 'std': 0.005303755949477295}","{'mean': 0.9570135746606334, 'std': 1.1102230246251565e-16}","{'mean': 0.7941176470588235, 'std': 0.0}","{'mean': 0.6830065359477124, 'std': 0.0}","{'mean': 0.6228758169934641, 'std': 0.0}","{'mean': 0.4542483660130719, 'std': 0.0}",87.64,0.64,306,real,cat first
"{'mean': 0.9994797086368367, 'std': 0.0}","{'mean': 0.9972424557752341, 'std': 0.000902671777986338}","{'mean': 0.9992195629552549, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9764705882352942, 'std': 0.005696687019010958}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9328808446455504, 'std': 0.0}","{'mean': 0.979185520361991, 'std': 0.003001470398511698}","{'mean': 0.9223227752639518, 'std': 0.0}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.9652337858220212, 'std': 0.000805209521269333}","{'mean': 0.9864253393665157, 'std': 1.1102230246251565e-16}","{'mean': 0.7967320261437909, 'std': 0.01853261029902982}","{'mean': 0.4385620915032679, 'std': 0.0308922935897947}","{'mean': 0.5415686274509804, 'std': 0.023121371158807164}","{'mean': 0.34444444444444444, 'std': 0.011053290539403765}",78.92,0.48,306,real,num first
"{'mean': 0.9994797086368367, 'std': 0.0}","{'mean': 0.9992715920915713, 'std': 0.0004080225583079585}","{'mean': 0.9986992715920915, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9713423831070889, 'std': 0.006626208940117285}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.88763197586727, 'std': 1.1102230246251565e-16}","{'mean': 0.9587481146304675, 'std': 0.010116830369673622}","{'mean': 0.8891402714932127, 'std': 0.0}","{'mean': 0.9653092006033182, 'std': 1.1102230246251565e-16}","{'mean': 0.9685520361990949, 'std': 0.006971687631324025}","{'mean': 0.9668174962292608, 'std': 1.1102230246251565e-16}","{'mean': 0.41045751633986927, 'std': 0.0342498627622847}","{'mean': 0.6856209150326796, 'std': 0.10898386586716188}","{'mean': 0.14078431372549022, 'std': 0.013626157835856707}","{'mean': 0.15098039215686276, 'std': 0.01671465601639794}",62.2,0.12,306,real,fshots feedback
"{'mean': 0.9856919875130072, 'std': 0.0}","{'mean': 0.9794745057232049, 'std': 0.000935801547794239}","{'mean': 0.9799687825182101, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9713423831070891, 'std': 0.0056586218649484245}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.941553544494721, 'std': 1.1102230246251565e-16}","{'mean': 0.9570889894419305, 'std': 0.0043935178472487455}","{'mean': 0.9223227752639518, 'std': 0.0}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.9738310708898945, 'std': 0.005780925459045823}","{'mean': 0.9788838612368025, 'std': 0.0}","{'mean': 0.8732394366197184, 'std': 0.046760186283525754}","{'mean': 0.5220657276995305, 'std': 0.02065727699530515}","{'mean': 0.8048826291079813, 'std': 0.04940930365446673}","{'mean': 0.6009389671361502, 'std': 0.028480283357940117}",90.8,25.080000000000002,306,real,sentence
