detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9674817898022893, 'std': 0.0}","{'mean': 0.9673517169614986, 'std': 0.0022990167632971096}","{'mean': 0.9654006243496358, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9702111613876321, 'std': 0.008143399690312532}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9562594268476621, 'std': 0.0}","{'mean': 0.9610859728506786, 'std': 0.004275426178901452}","{'mean': 0.9392911010558069, 'std': 0.0}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.968627450980392, 'std': 0.005650575473583435}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop_llama3.1
"{'mean': 0.821279916753382, 'std': 0.0}","{'mean': 0.8376170655567117, 'std': 0.006069037621639353}","{'mean': 0.7934443288241414, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9657616892911012, 'std': 0.006216117959274461}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9683257918552035, 'std': 1.1102230246251565e-16}","{'mean': 0.9724736048265461, 'std': 0.004951024905631944}","{'mean': 0.9607843137254901, 'std': 1.1102230246251565e-16}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.9730769230769232, 'std': 0.0060218596614410435}","{'mean': 0.9675716440422324, 'std': 0.0}","{'mean': 0.7, 'std': 0.027059139273835874}","{'mean': 0.9542483660130718, 'std': 0.008521833209415247}","{'mean': 0.4337254901960785, 'std': 0.03096577245295222}","{'mean': 0.6281045751633987, 'std': 0.039562734510906035}",2.68,2.8000000000000003,306,real,synthloop_gpt4o
"{'mean': 0.7239854318418314, 'std': 0.0}","{'mean': 0.6918054110301769, 'std': 0.006189936763773338}","{'mean': 0.7034339229968782, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9667420814479639, 'std': 0.005680690674288494}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9716440422322776, 'std': 0.005408875136362318}","{'mean': 0.9607843137254901, 'std': 1.1102230246251565e-16}","{'mean': 0.9781297134238309, 'std': 1.1102230246251565e-16}","{'mean': 0.9745098039215687, 'std': 0.006343813226187901}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8790849673202615, 'std': 0.009694377107314557}","{'mean': 0.9241830065359476, 'std': 0.023052538677841048}","{'mean': 0.91281045751634, 'std': 0.017226159463626572}","{'mean': 0.8790849673202615, 'std': 0.020460752735292183}",52.480000000000004,42.44,306,real,synthloop_deepseek-v3
"{'mean': 0.9963579604578564, 'std': 0.0}","{'mean': 0.9961758584807491, 'std': 0.003131056189214995}","{'mean': 0.9958376690946931, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9677224736048267, 'std': 0.004547455032181417}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8800904977375567, 'std': 1.1102230246251565e-16}","{'mean': 0.9481146304675716, 'std': 0.012943250650331794}","{'mean': 0.9049773755656109, 'std': 0.0}","{'mean': 0.982654600301659, 'std': 0.0}","{'mean': 0.96342383107089, 'std': 0.0020094890791062152}","{'mean': 0.9796380090497736, 'std': 1.1102230246251565e-16}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,reduced_llama3.1
"{'mean': 0.875910509885536, 'std': 0.0}","{'mean': 0.8588189386056191, 'std': 0.003749709208476047}","{'mean': 0.8681061394380853, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9751131221719458, 'std': 0.005552085164194887}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9758672699849169, 'std': 1.1102230246251565e-16}","{'mean': 0.9743589743589745, 'std': 0.005990611495696994}","{'mean': 0.9705882352941178, 'std': 0.0}","{'mean': 0.989441930618401, 'std': 1.1102230246251565e-16}","{'mean': 0.9795625942684767, 'std': 0.005010402787895334}","{'mean': 0.9871794871794872, 'std': 0.0}","{'mean': 0.6869281045751634, 'std': 0.02070977714739198}","{'mean': 0.8392156862745098, 'std': 0.016714656016397926}","{'mean': 0.4177777777777777, 'std': 0.01572109425189324}","{'mean': 0.5712418300653594, 'std': 0.06184678296566596}",11.799999999999999,5.52,306,real,reduced_gpt4o
"{'mean': 0.9667013527575442, 'std': 1.1102230246251565e-16}","{'mean': 0.9786420395421436, 'std': 0.0018548952622243606}","{'mean': 0.9732049947970864, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9714932126696834, 'std': 0.007633674746379804}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9622926093514328, 'std': 0.0}","{'mean': 0.9645550527903468, 'std': 0.0033131044700586607}","{'mean': 0.9389140271493213, 'std': 0.0}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.9724736048265461, 'std': 0.008693986598464284}","{'mean': 0.9570135746606334, 'std': 1.1102230246251565e-16}","{'mean': 0.9836601307189543, 'std': 0.0041336962878018415}","{'mean': 0.44640522875816996, 'std': 0.02920040248848194}","{'mean': 1.4380392156862747, 'std': 0.01705569299900666}","{'mean': 0.6816993464052287, 'std': 0.03205947312008031}",78.2,19.28,306,real,reduced_deepseek-v3
"{'mean': 0.8465140478668054, 'std': 0.0}","{'mean': 0.8460978147762749, 'std': 0.003978102987224821}","{'mean': 0.8709677419354838, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9782805429864252, 'std': 0.004977375565610888}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9879336349924583, 'std': 1.1102230246251565e-16}","{'mean': 0.9825037707390649, 'std': 0.0016795669269472123}","{'mean': 0.9834087481146303, 'std': 1.1102230246251565e-16}","{'mean': 0.9653092006033182, 'std': 1.1102230246251565e-16}","{'mean': 0.9698340874811464, 'std': 0.0055572046536773905}","{'mean': 0.9683257918552035, 'std': 1.1102230246251565e-16}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine_llama3.1
"{'mean': 0.8303850156087409, 'std': 0.0}","{'mean': 0.7779136316337149, 'std': 0.006986062006923519}","{'mean': 0.8231009365244537, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9702111613876321, 'std': 0.008488770325945852}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9811463046757165, 'std': 0.0}","{'mean': 0.9772247360482655, 'std': 0.002073563662875911}","{'mean': 0.9728506787330315, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9711915535444948, 'std': 0.008673027733325806}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.7967320261437909, 'std': 0.014526869784897294}","{'mean': 0.9398692810457516, 'std': 0.023071062215323936}","{'mean': 0.5448366013071896, 'std': 0.008597690798643339}","{'mean': 0.677124183006536, 'std': 0.047555476506094756}",52.76,63.44,306,real,promptrefine_gpt4o
"{'mean': 0.6553069719042663, 'std': 0.0}","{'mean': 0.5750780437044745, 'std': 0.0076193823489716615}","{'mean': 0.6662330905306972, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9722473604826547, 'std': 0.006459310137364646}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9773755656108598, 'std': 0.0}","{'mean': 0.965761689291101, 'std': 0.00682243310883782}","{'mean': 0.9687028657616892, 'std': 1.1102230246251565e-16}","{'mean': 0.9773755656108596, 'std': 1.1102230246251565e-16}","{'mean': 0.9674208144796381, 'std': 0.005362409904866124}","{'mean': 0.9811463046757163, 'std': 1.1102230246251565e-16}","{'mean': 0.9666666666666666, 'std': 0.0069784825176674985}","{'mean': 0.9666666666666666, 'std': 0.006665384985088584}","{'mean': 0.9186928104575165, 'std': 0.028141334829039313}","{'mean': 0.9222222222222223, 'std': 0.012122377118295035}",52.28,10.6,306,real,promptrefine_deepseek-v3
