detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.86420395421436, 'std': 1.1102230246251565e-16}","{'mean': 0.8493496357960458, 'std': 0.00651268881708034}","{'mean': 0.8789021852237253, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.972398190045249, 'std': 0.008320954066966335}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9864253393665157, 'std': 1.1102230246251565e-16}","{'mean': 0.9841628959276019, 'std': 0.002590582811058443}","{'mean': 0.9815233785822022, 'std': 0.0}","{'mean': 0.9841628959276019, 'std': 0.0}","{'mean': 0.9661387631975868, 'std': 0.005685694366507053}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.9411764705882353, 'std': 0.01257214644553684}","{'mean': 0.8836601307189543, 'std': 0.028081766090118736}","{'mean': 0.8504575163398694, 'std': 0.029944057656216078}","{'mean': 0.7490196078431373, 'std': 0.023328847447810126}",58.159126365054604,4.399375975039002,306,real,iter_0
"{'mean': 0.9690426638917794, 'std': 0.0}","{'mean': 0.979006243496358, 'std': 0.002064186724753111}","{'mean': 0.9784079084287199, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9708144796380092, 'std': 0.007670836268447301}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9272247360482654, 'std': 0.0}","{'mean': 0.9576168929110107, 'std': 0.007498368489731855}","{'mean': 0.9223227752639517, 'std': 0.0}","{'mean': 0.9381598793363499, 'std': 1.1102230246251565e-16}","{'mean': 0.9579939668174962, 'std': 0.004908337886960148}","{'mean': 0.9547511312217194, 'std': 1.1102230246251565e-16}","{'mean': 0.777124183006536, 'std': 0.01392632402134804}","{'mean': 0.8176470588235295, 'std': 0.0255988967680603}","{'mean': 0.5049673202614379, 'std': 0.009248770170618951}","{'mean': 0.43006535947712415, 'std': 0.032126028045606554}",58.57684586214589,1.182244033013607,306,real,iter_1
"{'mean': 0.9713839750260146, 'std': 1.1102230246251565e-16}","{'mean': 0.9534599375650364, 'std': 0.0013848940326957606}","{'mean': 0.9721644120707597, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9678733031674209, 'std': 0.005440328445511772}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9276018099547512, 'std': 0.0}","{'mean': 0.9527903469079939, 'std': 0.006950444891399061}","{'mean': 0.8902714932126697, 'std': 0.0}","{'mean': 0.9562594268476621, 'std': 1.1102230246251565e-16}","{'mean': 0.965082956259427, 'std': 0.006938979556801476}","{'mean': 0.9547511312217194, 'std': 0.0}","{'mean': 0.6568627450980392, 'std': 0.014467937007306324}","{'mean': 0.7411764705882353, 'std': 0.08082935478938534}","{'mean': 0.4562091503267974, 'std': 0.021431531013771696}","{'mean': 0.34705882352941175, 'std': 0.016968307170911325}",43.20598660890114,0.4332414336352895,306,real,iter_2
