detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9674817898022893, 'std': 0.0}","{'mean': 0.9675078043704476, 'std': 0.0012486992715920779}","{'mean': 0.9654006243496358, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9674208144796381, 'std': 0.007648561021724371}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9562594268476621, 'std': 0.0}","{'mean': 0.9570889894419305, 'std': 0.00952557651297604}","{'mean': 0.9392911010558069, 'std': 0.0}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.9704374057315235, 'std': 0.0038201885797629074}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,info-full
"{'mean': 0.9971383975026014, 'std': 0.0}","{'mean': 0.9934443288241415, 'std': 0.0015900839531671248}","{'mean': 0.9932362122788762, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9675716440422324, 'std': 0.005305900180795738}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8917797888386124, 'std': 0.0}","{'mean': 0.8969079939668176, 'std': 0.006794030545734705}","{'mean': 0.8861236802413274, 'std': 0.0}","{'mean': 0.9592760180995474, 'std': 1.1102230246251565e-16}","{'mean': 0.9609351432880844, 'std': 0.005897802351739693}","{'mean': 0.951734539969834, 'std': 0.0}","{'mean': 0.5392156862745099, 'std': 0.023383717411762504}","{'mean': 0.6888888888888889, 'std': 0.05064410621649811}","{'mean': 0.28915032679738567, 'std': 0.019636580248739332}","{'mean': 0.26862745098039215, 'std': 0.006336836414923299}",68.08,0.52,306,real,info-weakness
"{'mean': 0.9799687825182101, 'std': 1.1102230246251565e-16}","{'mean': 0.9747138397502603, 'std': 0.0019197975783032963}","{'mean': 0.9799687825182101, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9732277526395174, 'std': 0.007927524902574902}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.921945701357466, 'std': 0.0}","{'mean': 0.9181749622926094, 'std': 0.007977586450442156}","{'mean': 0.8733031674208146, 'std': 0.0}","{'mean': 0.9645550527903468, 'std': 1.1102230246251565e-16}","{'mean': 0.9633484162895929, 'std': 0.005963969508225512}","{'mean': 0.9622926093514328, 'std': 1.1102230246251565e-16}","{'mean': 0.6444444444444445, 'std': 0.028218343980291355}","{'mean': 0.5300653594771242, 'std': 0.05106411760686172}","{'mean': 0.334640522875817, 'std': 0.021299569590588673}","{'mean': 0.28888888888888886, 'std': 0.01595628185063229}",50.080000000000005,0.16,306,real,noInfo-full
"{'mean': 0.9934963579604579, 'std': 0.0}","{'mean': 0.9952913631633715, 'std': 0.0007690814515657615}","{'mean': 0.9942767950052029, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9758672699849171, 'std': 0.006487424786608337}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9615384615384615, 'std': 1.1102230246251565e-16}","{'mean': 0.9708144796380089, 'std': 0.0010285204899687637}","{'mean': 0.9834087481146305, 'std': 0.0}","{'mean': 0.9811463046757165, 'std': 0.0}","{'mean': 0.9665158371040725, 'std': 0.0052811889592795334}","{'mean': 0.9852941176470587, 'std': 1.1102230246251565e-16}","{'mean': 0.7209150326797387, 'std': 0.013330769970177198}","{'mean': 0.7830065359477123, 'std': 0.021138511933066987}","{'mean': 0.43398692810457523, 'std': 0.007159771993531584}","{'mean': 0.3803921568627451, 'std': 0.03310830102461162}",72.84,0.24,306,real,noInfo-weakness
