detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9674817898022893, 'std': 0.0}","{'mean': 0.9701352757544225, 'std': 0.0009292700884230782}","{'mean': 0.9654006243496358, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9759426847662143, 'std': 0.00645842958250574}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9562594268476621, 'std': 0.0}","{'mean': 0.9562594268476621, 'std': 0.004109932607372152}","{'mean': 0.9392911010558069, 'std': 0.0}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.9733031674208146, 'std': 0.0011536243243422085}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop_llama3.1
"{'mean': 0.8415712799167533, 'std': 0.0}","{'mean': 0.8553850156087408, 'std': 0.007606492465680182}","{'mean': 0.8459937565036422, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9708144796380089, 'std': 0.007235890085255523}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9577677224736048, 'std': 1.1102230246251565e-16}","{'mean': 0.9762443438914026, 'std': 0.0027295567226023635}","{'mean': 0.9615384615384615, 'std': 1.1102230246251565e-16}","{'mean': 0.9630467571644041, 'std': 1.1102230246251565e-16}","{'mean': 0.9699095022624435, 'std': 0.0074710131831405525}","{'mean': 0.9796380090497738, 'std': 0.0}","{'mean': 0.7705882352941176, 'std': 0.02277287763422791}","{'mean': 0.9287581699346404, 'std': 0.02267889094496404}","{'mean': 0.4801307189542484, 'std': 0.011188504013872218}","{'mean': 0.6712418300653594, 'std': 0.023255486110663002}",6.279999999999999,2.76,306,real,synthloop_gpt4o-mini
"{'mean': 0.7239854318418314, 'std': 0.0}","{'mean': 0.6941987513007284, 'std': 0.004316380548009371}","{'mean': 0.7034339229968782, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9726998491704375, 'std': 0.00654242244171837}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9661387631975868, 'std': 0.002279972316414952}","{'mean': 0.9607843137254901, 'std': 1.1102230246251565e-16}","{'mean': 0.9781297134238309, 'std': 1.1102230246251565e-16}","{'mean': 0.9699095022624433, 'std': 0.005144813846398354}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8790849673202615, 'std': 0.009694377107314557}","{'mean': 0.9241830065359476, 'std': 0.023052538677841048}","{'mean': 0.91281045751634, 'std': 0.017226159463626572}","{'mean': 0.8790849673202615, 'std': 0.020460752735292183}",52.480000000000004,42.44,306,real,synthloop_deepseek-v3
"{'mean': 0.9963579604578564, 'std': 0.0}","{'mean': 0.9949791883454735, 'std': 0.004040724889454582}","{'mean': 0.9958376690946931, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9660633484162897, 'std': 0.0011924123907120754}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8800904977375567, 'std': 1.1102230246251565e-16}","{'mean': 0.943288084464555, 'std': 0.006092282180579425}","{'mean': 0.9049773755656109, 'std': 0.0}","{'mean': 0.982654600301659, 'std': 0.0}","{'mean': 0.9725490196078432, 'std': 0.006809917168910534}","{'mean': 0.9796380090497736, 'std': 1.1102230246251565e-16}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,reduced_llama3.1
"{'mean': 0.9122008324661811, 'std': 0.0}","{'mean': 0.9379552549427681, 'std': 0.0025127972197800867}","{'mean': 0.9549947970863684, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9722473604826547, 'std': 0.007314067484889487}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9638009049773755, 'std': 0.0}","{'mean': 0.9469079939668175, 'std': 0.0030577880743157316}","{'mean': 0.9524886877828054, 'std': 1.1102230246251565e-16}","{'mean': 0.9743589743589745, 'std': 0.0}","{'mean': 0.984238310708899, 'std': 0.0032559627669566504}","{'mean': 0.9720965309200602, 'std': 1.1102230246251565e-16}","{'mean': 0.6803921568627451, 'std': 0.02768342298633642}","{'mean': 0.7934640522875818, 'std': 0.022866478019001147}","{'mean': 0.3949019607843137, 'std': 0.028604461476660813}","{'mean': 0.534640522875817, 'std': 0.03517287332568289}",5.08,3.04,306,real,reduced_gpt4o-mini
"{'mean': 0.9667013527575442, 'std': 1.1102230246251565e-16}","{'mean': 0.9787460978147763, 'std': 0.002168123468888109}","{'mean': 0.9732049947970864, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.969607843137255, 'std': 0.006856526776881234}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9622926093514328, 'std': 0.0}","{'mean': 0.967345399698341, 'std': 0.004713272999094892}","{'mean': 0.9389140271493213, 'std': 0.0}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.9682503770739066, 'std': 0.005710647064145553}","{'mean': 0.9570135746606334, 'std': 1.1102230246251565e-16}","{'mean': 0.9836601307189543, 'std': 0.0041336962878018415}","{'mean': 0.44640522875816996, 'std': 0.02920040248848194}","{'mean': 1.4380392156862747, 'std': 0.01705569299900666}","{'mean': 0.6816993464052287, 'std': 0.03205947312008031}",78.2,19.28,306,real,reduced_deepseek-v3
"{'mean': 0.8465140478668054, 'std': 0.0}","{'mean': 0.844276795005203, 'std': 0.004481306691700002}","{'mean': 0.8709677419354838, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9679487179487181, 'std': 0.003054065871993397}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9879336349924583, 'std': 1.1102230246251565e-16}","{'mean': 0.9836349924585217, 'std': 0.0024737887581986395}","{'mean': 0.9834087481146303, 'std': 1.1102230246251565e-16}","{'mean': 0.9653092006033182, 'std': 1.1102230246251565e-16}","{'mean': 0.9729260935143289, 'std': 0.006789005993922713}","{'mean': 0.9683257918552035, 'std': 1.1102230246251565e-16}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine_llama3.1
"{'mean': 0.941207075962539, 'std': 0.0}","{'mean': 0.9247658688865765, 'std': 0.0026319749989472756}","{'mean': 0.9367845993756504, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9726244343891404, 'std': 0.005462237997656605}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9607843137254901, 'std': 1.1102230246251565e-16}","{'mean': 0.9490950226244343, 'std': 0.007461872462120067}","{'mean': 0.9630467571644041, 'std': 1.1102230246251565e-16}","{'mean': 0.9728506787330315, 'std': 1.1102230246251565e-16}","{'mean': 0.9645550527903468, 'std': 0.005114879323623854}","{'mean': 0.9743589743589742, 'std': 1.1102230246251565e-16}","{'mean': 0.6477124183006535, 'std': 0.016586375869868678}","{'mean': 0.9091503267973856, 'std': 0.02220299052478827}","{'mean': 0.34705882352941175, 'std': 0.01089760261472751}","{'mean': 0.4973856209150327, 'std': 0.03540288252013291}",3.44,0.9199999999999999,306,real,promptrefine_gpt4o-mini
"{'mean': 0.6553069719042663, 'std': 0.0}","{'mean': 0.5720343392299687, 'std': 0.007209086984444165}","{'mean': 0.6662330905306972, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9699095022624435, 'std': 0.006151738615243807}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9773755656108598, 'std': 0.0}","{'mean': 0.966817496229261, 'std': 0.004130637688575929}","{'mean': 0.9687028657616892, 'std': 1.1102230246251565e-16}","{'mean': 0.9773755656108596, 'std': 1.1102230246251565e-16}","{'mean': 0.9662895927601809, 'std': 0.004683008958147763}","{'mean': 0.9811463046757163, 'std': 1.1102230246251565e-16}","{'mean': 0.9666666666666666, 'std': 0.0069784825176674985}","{'mean': 0.9666666666666666, 'std': 0.006665384985088584}","{'mean': 0.9186928104575165, 'std': 0.028141334829039313}","{'mean': 0.9222222222222223, 'std': 0.012122377118295035}",52.28,10.6,306,real,promptrefine_deepseek-v3
