detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9963579604578564, 'std': 0.0}","{'mean': 0.99630593132154, 'std': 0.0033864933103290276}","{'mean': 0.9958376690946931, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9755656108597286, 'std': 0.00478987767969845}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8800904977375567, 'std': 1.1102230246251565e-16}","{'mean': 0.9457767722473605, 'std': 0.006537204504606142}","{'mean': 0.9049773755656109, 'std': 0.0}","{'mean': 0.982654600301659, 'std': 0.0}","{'mean': 0.9706636500754149, 'std': 0.005216173896166079}","{'mean': 0.9796380090497736, 'std': 1.1102230246251565e-16}","{'mean': 0.9130718954248366, 'std': 0.007622159339667032}","{'mean': 0.2954248366013072, 'std': 0.08696986563836612}","{'mean': 0.5500653594771242, 'std': 0.007673547775915879}","{'mean': 0.1934640522875817, 'std': 0.0195423743630406}",77.0,0.32,306,real,info-full
"{'mean': 0.9989594172736733, 'std': 0.0}","{'mean': 0.9990374609781478, 'std': 0.00028018547383634144}","{'mean': 0.9968782518210197, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9711915535444948, 'std': 0.007521088575604474}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9683257918552035, 'std': 1.1102230246251565e-16}","{'mean': 0.9708898944193063, 'std': 0.012219521965156212}","{'mean': 0.7745098039215687, 'std': 0.0}","{'mean': 0.984917043740573, 'std': 1.1102230246251565e-16}","{'mean': 0.9720211161387633, 'std': 0.009104285296276191}","{'mean': 0.9886877828054299, 'std': 0.0}","{'mean': 0.3359477124183006, 'std': 0.01943276960433792}","{'mean': 0.5928104575163398, 'std': 0.059924340352690654}","{'mean': 0.27254901960784317, 'std': 0.019953382382318627}","{'mean': 0.3026143790849673, 'std': 0.030906118738658537}",76.44,2.12,306,real,info-weakness
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9997398543184184, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9738310708898945, 'std': 0.00695535282061468}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.942684766214178, 'std': 0.0}","{'mean': 0.9347662141779789, 'std': 0.005990611495697006}","{'mean': 0.9200603318250378, 'std': 0.0}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9738310708898945, 'std': 0.0036214803027278886}","{'mean': 0.9668174962292608, 'std': 1.1102230246251565e-16}","{'mean': 0.557258064516129, 'std': 0.027749436345298816}","{'mean': 0.2169354838709677, 'std': 0.011797370030909509}","{'mean': 0.34112903225806457, 'std': 0.022906633095028595}","{'mean': 0.15161290322580645, 'std': 0.006034931268990223}",90.08,0.0,306,real,noInfo-full
"{'mean': 0.9927159209157125, 'std': 1.1102230246251565e-16}","{'mean': 0.9938865764828304, 'std': 0.001203437409596304}","{'mean': 0.9934963579604579, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9702865761689292, 'std': 0.006784816025003036}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.6138763197586727, 'std': 0.0}","{'mean': 0.9594268476621417, 'std': 0.00425007626051447}","{'mean': 0.7794117647058824, 'std': 0.0}","{'mean': 0.987179487179487, 'std': 1.1102230246251565e-16}","{'mean': 0.9644042232277525, 'std': 0.0013192198857115637}","{'mean': 0.982654600301659, 'std': 1.1102230246251565e-16}","{'mean': 0.9431372549019608, 'std': 0.009380849734906748}","{'mean': 0.1549019607843137, 'std': 0.011244869630121085}","{'mean': 0.7065359477124185, 'std': 0.01707872027250149}","{'mean': 0.26993464052287586, 'std': 0.020833173137920557}",74.4,4.279999999999999,306,real,noInfo-weakness
