detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.5574921956295524, 'std': 0.0}","{'mean': 0.4879032258064516, 'std': 0.011708578851649372}","{'mean': 0.595213319458897, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9693815987933636, 'std': 0.007051987769267526}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9676470588235295, 'std': 0.004444996086965691}","{'mean': 0.9683257918552035, 'std': 0.0}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9742081447963802, 'std': 0.00412098826314149}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9758169934640524, 'std': 0.0064038947523743376}","{'mean': 0.9503267973856209, 'std': 0.011014574866897211}","{'mean': 0.9850980392156863, 'std': 0.025053746319106684}","{'mean': 0.9294117647058823, 'std': 0.01215756551486162}",58.41936632253471,8.899964400142398,306,real,iter_0
"{'mean': 0.6728668054110303, 'std': 0.0}","{'mean': 0.6611342351716961, 'std': 0.008313435458359702}","{'mean': 0.6491935483870969, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9732277526395174, 'std': 0.0063231595222487695}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9826546003016592, 'std': 0.0}","{'mean': 0.9788084464555051, 'std': 0.002459955721010563}","{'mean': 0.9751131221719456, 'std': 1.1102230246251565e-16}","{'mean': 0.9773755656108596, 'std': 1.1102230246251565e-16}","{'mean': 0.9675716440422322, 'std': 0.006399156390828462}","{'mean': 0.9675716440422322, 'std': 0.0}","{'mean': 0.9398692810457516, 'std': 0.01233200147981251}","{'mean': 0.9470588235294117, 'std': 0.01658637586986868}","{'mean': 0.9803921568627452, 'std': 0.03538357097770581}","{'mean': 0.9098039215686274, 'std': 0.017489004131058368}",50.350804787453576,40.899711101939744,306,real,iter_1
"{'mean': 0.7208636836628511, 'std': 0.0}","{'mean': 0.7143340270551508, 'std': 0.002517371571988124}","{'mean': 0.6670135275754422, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9749622926093515, 'std': 0.005134855062005751}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9668174962292608, 'std': 1.1102230246251565e-16}","{'mean': 0.9688536953242834, 'std': 0.008480726637791359}","{'mean': 0.9622926093514328, 'std': 1.1102230246251565e-16}","{'mean': 0.9638009049773755, 'std': 1.1102230246251565e-16}","{'mean': 0.9677978883861238, 'std': 0.007337358279912695}","{'mean': 0.9600301659125188, 'std': 1.1102230246251565e-16}","{'mean': 0.8816993464052288, 'std': 0.015244318679334132}","{'mean': 0.9209150326797385, 'std': 0.02466400295962513}","{'mean': 0.9045751633986928, 'std': 0.01683688547643108}","{'mean': 0.8941176470588236, 'std': 0.011244869630121083}",52.41679873217115,42.35340729001585,306,real,iter_2
