detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9914779663085938, 'std': 0.0}","{'mean': 0.9906330108642578, 'std': 0.0009909369120446473}","{'mean': 0.9902191162109375, 'std': 0.0}","{'mean': 0.9060429912622233, 'std': 1.1102230246251565e-16}","{'mean': 0.9113912967918962, 'std': 0.001015310617449438}","{'mean': 0.8972091250350609, 'std': 0.0}","{'mean': 0.4692988190896682, 'std': 0.0}","{'mean': 0.583937858043875, 'std': 0.01098675863155745}","{'mean': 0.5607791949634489, 'std': 0.0}","{'mean': 0.8965991041630093, 'std': 0.0}","{'mean': 0.9014403755295092, 'std': 0.001080376384848545}","{'mean': 0.8902364473440807, 'std': 0.0}","{'mean': 0.6799999999999999, 'std': 0.13845798006939852}","{'mean': 0.7828571428571427, 'std': 0.06467501173449558}","{'mean': 0.3310857142857143, 'std': 0.08113529139778869}","{'mean': 0.26685714285714285, 'std': 0.035529809272479576}",25.617283950617285,1.3117283950617282,2558,iter_0,iter_0
"{'mean': 0.9972877502441406, 'std': 0.0}","{'mean': 0.9961498260498047, 'std': 0.0010523806063358222}","{'mean': 0.9965476989746094, 'std': 0.0}","{'mean': 0.9060429912622233, 'std': 1.1102230246251565e-16}","{'mean': 0.9128685046601044, 'std': 0.0007239747026300011}","{'mean': 0.8972091250350609, 'std': 0.0}","{'mean': 0.7107675168483779, 'std': 0.0}","{'mean': 0.6959716928621545, 'std': 0.01228105133840239}","{'mean': 0.6597041481301398, 'std': 0.0}","{'mean': 0.8957047055670712, 'std': 0.0}","{'mean': 0.8945249742474278, 'std': 0.0024937693517830413}","{'mean': 0.8898970097540854, 'std': 0.0}","{'mean': 0.5045714285714287, 'std': 0.16163046792998312}","{'mean': 0.7485714285714286, 'std': 0.05296128736335317}","{'mean': 0.20834285714285716, 'std': 0.07301828677859837}","{'mean': 0.22685714285714287, 'std': 0.03069800232814467}",75.6832515767344,1.4365802382620882,2558,iter_0,iter_1
"{'mean': 0.9996261596679688, 'std': 0.0}","{'mean': 0.9993206024169922, 'std': 0.00043983211334666693}","{'mean': 0.9994354248046875, 'std': 0.0}","{'mean': 0.9060429912622233, 'std': 1.1102230246251565e-16}","{'mean': 0.9110822305541699, 'std': 0.0005280843500845159}","{'mean': 0.8972091250350609, 'std': 0.0}","{'mean': 0.6848307828746603, 'std': 0.0}","{'mean': 0.735302428988984, 'std': 0.015314173309749024}","{'mean': 0.7380301678547769, 'std': 0.0}","{'mean': 0.8934895775917898, 'std': 0.0}","{'mean': 0.8998197644168717, 'std': 0.0020659084935605817}","{'mean': 0.8916140051077164, 'std': 0.0}","{'mean': 0.516, 'std': 0.029944165729311772}","{'mean': 0.6114285714285714, 'std': 0.1452935101153271}","{'mean': 0.2221714285714286, 'std': 0.04965105995950178}","{'mean': 0.12514285714285714, 'std': 0.011766434446842283}",66.1682892906815,0.06954102920723226,2558,iter_0,iter_2
