detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9357014513886399, 'std': 0.0}","{'mean': 0.8476950291034697, 'std': 0.0034692384748144195}","{'mean': 0.916060095378106, 'std': 1.1102230246251565e-16}","{'mean': 0.9052199228996815, 'std': 0.0}","{'mean': 0.909470332341116, 'std': 0.0018812888500333946}","{'mean': 0.8988648117583351, 'std': 1.1102230246251565e-16}","{'mean': 0.8901138300833671, 'std': 1.1102230246251565e-16}","{'mean': 0.8889395693799707, 'std': 0.002520941139861462}","{'mean': 0.881268173734982, 'std': 0.0}","{'mean': 0.8980330187060884, 'std': 0.0}","{'mean': 0.9067500684121784, 'std': 0.0012085334424799476}","{'mean': 0.8897181536151401, 'std': 0.0}","{'mean': 0.8748571428571429, 'std': 0.01204074714611741}","{'mean': 0.9588571428571429, 'std': 0.008398250546685198}","{'mean': 0.6728, 'std': 0.03644908106117469}","{'mean': 0.8354285714285714, 'std': 0.011080411102665878}",0.0,0.0,2505,iter_2,iter_0
"{'mean': 0.9864064286596468, 'std': 0.0}","{'mean': 0.9618786379337134, 'std': 0.0010009463391643001}","{'mean': 0.9803108354149984, 'std': 1.1102230246251565e-16}","{'mean': 0.9052199228996815, 'std': 0.0}","{'mean': 0.9109975656936712, 'std': 0.0012420233363535033}","{'mean': 0.8988648117583351, 'std': 1.1102230246251565e-16}","{'mean': 0.7570441553008916, 'std': 0.0}","{'mean': 0.7462561236415866, 'std': 0.008169230632133134}","{'mean': 0.7181365194642522, 'std': 0.0}","{'mean': 0.8815037403570072, 'std': 0.0}","{'mean': 0.8841022830744439, 'std': 0.001792884304377394}","{'mean': 0.8657800809910586, 'std': 1.1102230246251565e-16}","{'mean': 0.8182857142857143, 'std': 0.030269537458626358}","{'mean': 0.9199999999999999, 'std': 0.01833920746957852}","{'mean': 0.5197714285714287, 'std': 0.010736776394567346}","{'mean': 0.6537142857142857, 'std': 0.02118143199182929}",0.0,0.0,2505,iter_2,iter_1
"{'mean': 0.9919442552021704, 'std': 1.1102230246251565e-16}","{'mean': 0.9804717909490399, 'std': 0.0005978998039222978}","{'mean': 0.9887211604734641, 'std': 0.0}","{'mean': 0.9052199228996815, 'std': 0.0}","{'mean': 0.9090506158157166, 'std': 0.0005279219064095724}","{'mean': 0.8988648117583351, 'std': 1.1102230246251565e-16}","{'mean': 0.7380435496423644, 'std': 0.0}","{'mean': 0.7203635318817257, 'std': 0.013145695229303537}","{'mean': 0.6637662575455302, 'std': 0.0}","{'mean': 0.8707365300517809, 'std': 1.1102230246251565e-16}","{'mean': 0.8788986659124134, 'std': 0.0032837200043124666}","{'mean': 0.8602827011686486, 'std': 0.0}","{'mean': 0.8068571428571429, 'std': 0.04138815762795844}","{'mean': 0.9045714285714286, 'std': 0.0228999598965873}","{'mean': 0.4684571428571428, 'std': 0.0360759289978959}","{'mean': 0.5765714285714286, 'std': 0.04050296033524422}",0.0,0.0,2505,iter_2,iter_2
