detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.828421052631579, 'std': 0.0}","{'mean': 0.7926315789473685, 'std': 0.0013314853305972376}","{'mean': 0.8242105263157896, 'std': 1.1102230246251565e-16}","{'mean': 0.9000221190002213, 'std': 1.1102230246251565e-16}","{'mean': 0.8976996239769962, 'std': 0.00042546746431475533}","{'mean': 0.8947135589471354, 'std': 1.1102230246251565e-16}","{'mean': 0.8504755585047554, 'std': 1.1102230246251565e-16}","{'mean': 0.8610263216102633, 'std': 0.0009215955167440702}","{'mean': 0.8476000884760009, 'std': 0.0}","{'mean': 0.8961512939615129, 'std': 0.0}","{'mean': 0.8997124529971245, 'std': 0.0009368643479118431}","{'mean': 0.8901791639017917, 'std': 1.1102230246251565e-16}","{'mean': 0.9480000000000001, 'std': 0.013449831195359793}","{'mean': 0.8965714285714286, 'std': 0.025771365220067836}","{'mean': 0.9467428571428572, 'std': 0.07902871604159889}","{'mean': 0.8925714285714286, 'std': 0.015396792668922852}",1.1714589989350372,0.0,2373,iter_2,iter_0
"{'mean': 0.8442105263157895, 'std': 0.0}","{'mean': 0.8303157894736841, 'std': 0.006188184613346982}","{'mean': 0.8578947368421053, 'std': 0.0}","{'mean': 0.9000221190002213, 'std': 1.1102230246251565e-16}","{'mean': 0.8976775049767749, 'std': 0.0008803250936577169}","{'mean': 0.8947135589471354, 'std': 1.1102230246251565e-16}","{'mean': 0.8463835434638355, 'std': 0.0}","{'mean': 0.8685910196859103, 'std': 0.0009076878800567771}","{'mean': 0.8291307232913072, 'std': 0.0}","{'mean': 0.8923910639239108, 'std': 1.1102230246251565e-16}","{'mean': 0.8996239769962399, 'std': 0.001486423146773842}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.9302857142857143, 'std': 0.01581526000354061}","{'mean': 0.9102857142857141, 'std': 0.01738871320537479}","{'mean': 0.8517714285714287, 'std': 0.02901732065438135}","{'mean': 0.8560000000000001, 'std': 0.021729318104950338}",10.845588235294118,9.742647058823529,2373,iter_2,iter_1
"{'mean': 0.8642105263157894, 'std': 0.0}","{'mean': 0.8541052631578946, 'std': 0.00559382326551006}","{'mean': 0.8694736842105263, 'std': 0.0}","{'mean': 0.9000221190002213, 'std': 1.1102230246251565e-16}","{'mean': 0.8983189559831896, 'std': 0.0005168467792766194}","{'mean': 0.8947135589471354, 'std': 1.1102230246251565e-16}","{'mean': 0.8318955983189561, 'std': 1.1102230246251565e-16}","{'mean': 0.8531519575315197, 'std': 0.0004764578462406018}","{'mean': 0.8188453881884538, 'std': 1.1102230246251565e-16}","{'mean': 0.8902897589028976, 'std': 0.0}","{'mean': 0.896505197965052, 'std': 0.0015724726907477295}","{'mean': 0.8901791639017917, 'std': 1.1102230246251565e-16}","{'mean': 0.9119999999999999, 'std': 0.025960723866515507}","{'mean': 0.916, 'std': 0.023183386028686616}","{'mean': 0.8488000000000001, 'std': 0.04099911397748463}","{'mean': 0.8451428571428572, 'std': 0.01863943592034297}",22.56169212690952,7.050528789659224,2373,iter_2,iter_2
