detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9417989417989417, 'std': 0.0}","{'mean': 0.9375661375661375, 'std': 0.0035885343826059734}","{'mean': 0.9312169312169312, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8950232249502322, 'std': 0.0007214999526786183}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.876244193762442, 'std': 1.1102230246251565e-16}","{'mean': 0.8824375138243752, 'std': 0.0}","{'mean': 0.8711568237115681, 'std': 1.1102230246251565e-16}","{'mean': 0.8898473788984738, 'std': 0.0}","{'mean': 0.889272284892723, 'std': 0.0010501285087785137}","{'mean': 0.8860871488608716, 'std': 1.1102230246251565e-16}","{'mean': 0.8017142857142858, 'std': 0.024551486924503815}","{'mean': 0.9262857142857144, 'std': 0.0181962095178179}","{'mean': 0.4936, 'std': 0.04798285408053889}","{'mean': 0.7542857142857142, 'std': 0.0141132446116897}",0.0,0.0,941,epic,statgen
"{'mean': 0.7592592592592593, 'std': 0.0}","{'mean': 0.752910052910053, 'std': 0.013024903306974813}","{'mean': 0.7698412698412699, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8951338199513381, 'std': 0.0007513951670631625}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.8489272284892723, 'std': 0.0}","{'mean': 0.8724397257243973, 'std': 0.0019073710362583437}","{'mean': 0.8336651183366511, 'std': 0.0}","{'mean': 0.8885202388852024, 'std': 0.0}","{'mean': 0.8920813979208141, 'std': 0.0010594054425859967}","{'mean': 0.8868613138686131, 'std': 0.0}","{'mean': 0.876, 'std': 0.016718558672374595}","{'mean': 0.9074285714285715, 'std': 0.03589554005609008}","{'mean': 0.7572571428571429, 'std': 0.02759804784577996}","{'mean': 0.8577142857142859, 'std': 0.008359279336187301}",0.0,0.0,941,epic,ctgan
"{'mean': 0.582010582010582, 'std': 0.0}","{'mean': 0.5777777777777777, 'std': 0.011783628281121743}","{'mean': 0.5978835978835979, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8954877239548773, 'std': 0.0010948346534628932}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.8976996239769962, 'std': 0.0}","{'mean': 0.8931431099314311, 'std': 0.0015662376436275478}","{'mean': 0.8943817739438178, 'std': 0.0}","{'mean': 0.8963724839637248, 'std': 0.0}","{'mean': 0.8943375359433755, 'std': 0.0014615287358267467}","{'mean': 0.8929440389294404, 'std': 0.0}","{'mean': 0.9285714285714285, 'std': 0.016561573424216484}","{'mean': 0.9434285714285714, 'std': 0.013449831195359772}","{'mean': 0.9345142857142857, 'std': 0.037019752036127}","{'mean': 0.9588571428571429, 'std': 0.006663945022680311}",0.0,0.0,941,epic,tabddpm
"{'mean': 0.7724867724867724, 'std': 0.0}","{'mean': 0.7661375661375661, 'std': 0.015925838035230046}","{'mean': 0.7645502645502645, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8944038929440389, 'std': 0.0010384158013099208}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.8880778588807786, 'std': 0.0}","{'mean': 0.8956646759566468, 'std': 0.0013059579225061285}","{'mean': 0.8816633488166336, 'std': 1.1102230246251565e-16}","{'mean': 0.8965936739659368, 'std': 1.1102230246251565e-16}","{'mean': 0.89535500995355, 'std': 0.0006867584470807398}","{'mean': 0.8904003539040035, 'std': 0.0}","{'mean': 0.9862857142857143, 'std': 0.0055402055513329735}","{'mean': 0.8525714285714286, 'std': 0.014297138289367758}","{'mean': 1.3347428571428572, 'std': 0.032402368268195425}","{'mean': 0.9742857142857142, 'std': 0.012121830534626532}",0.0,0.0,941,epic,great
"{'mean': 0.7645502645502645, 'std': 0.0}","{'mean': 0.7523809523809524, 'std': 0.00358853438260596}","{'mean': 0.7671957671957672, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8958637469586375, 'std': 0.001360992706296405}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.869608493696085, 'std': 0.0}","{'mean': 0.8984959079849592, 'std': 0.00048156472145711966}","{'mean': 0.8701614687016146, 'std': 1.1102230246251565e-16}","{'mean': 0.8971466489714665, 'std': 0.0}","{'mean': 0.89907100199071, 'std': 0.0006121810441538798}","{'mean': 0.8929440389294404, 'std': 0.0}","{'mean': 0.9845714285714285, 'std': 0.0069045976991969045}","{'mean': 0.8559999999999999, 'std': 0.005598833697790145}","{'mean': 1.3353142857142857, 'std': 0.04327551978018176}","{'mean': 0.9662857142857144, 'std': 0.01044323821856975}",0.0,0.0,941,epic,tabula
"{'mean': 0.9603174603174602, 'std': 1.1102230246251565e-16}","{'mean': 0.9603174603174602, 'std': 0.0028980029497627734}","{'mean': 0.9603174603174602, 'std': 1.1102230246251565e-16}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8952886529528865, 'std': 0.0018231746104839487}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.807454103074541, 'std': 0.0}","{'mean': 0.8325370493253704, 'std': 0.002527186524463011}","{'mean': 0.7866622428666225, 'std': 0.0}","{'mean': 0.8737005087370051, 'std': 0.0}","{'mean': 0.8925901349259014, 'std': 0.001028949643849882}","{'mean': 0.8730369387303692, 'std': 1.1102230246251565e-16}","{'mean': 0.8994285714285715, 'std': 0.019745317192195404}","{'mean': 0.5154285714285715, 'std': 0.04675948010395151}","{'mean': 0.8125714285714285, 'std': 0.08586272860365723}","{'mean': 0.6034285714285714, 'std': 0.03964742573417519}",4.5784051888592145,64.09767264402899,941,epic,epic
"{'mean': 0.9920634920634921, 'std': 0.0}","{'mean': 0.9920634920634921, 'std': 0.0}","{'mean': 0.9920634920634921, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8945587259455872, 'std': 0.0008469006732615346}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.7944038929440389, 'std': 0.0}","{'mean': 0.8156381331563812, 'std': 0.0061984527030337615}","{'mean': 0.7363415173634151, 'std': 0.0}","{'mean': 0.8912851139128511, 'std': 0.0}","{'mean': 0.8902897589028976, 'std': 0.0011386452268289185}","{'mean': 0.8838752488387523, 'std': 1.1102230246251565e-16}","{'mean': 0.536, 'std': 0.0328061716443596}","{'mean': 0.5514285714285714, 'std': 0.10609198934925121}","{'mean': 0.23108571428571428, 'std': 0.05736368758248746}","{'mean': 0.12057142857142858, 'std': 0.02330980349070987}",65.60000000000001,0.08,941,epic,synthloop
"{'mean': 0.9920634920634921, 'std': 0.0}","{'mean': 0.9968253968253968, 'std': 0.0010582010582010693}","{'mean': 0.9947089947089947, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8949568679495687, 'std': 0.0014256034544854893}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.12508294625082947, 'std': 0.0}","{'mean': 0.11756248617562486, 'std': 0.0}","{'mean': 0.11756248617562486, 'std': 0.0}","{'mean': 0.8912851139128511, 'std': 0.0}","{'mean': 0.8915284229152842, 'std': 0.0005206194335739951}","{'mean': 0.8848706038487061, 'std': 0.0}","{'mean': 0.19542857142857142, 'std': 0.01165490174535493}","{'mean': 0.4274285714285715, 'std': 0.07769327447056908}","{'mean': 0.07817142857142859, 'std': 0.0075584254920166615}","{'mean': 0.11600000000000002, 'std': 0.015607428895711619}",79.4,32.519999999999996,941,epic,reduced
"{'mean': 0.9920634920634921, 'std': 0.0}","{'mean': 0.9973544973544973, 'std': 0.0}","{'mean': 0.9973544973544973, 'std': 0.0}","{'mean': 0.8915063039150631, 'std': 1.1102230246251565e-16}","{'mean': 0.8960185799601857, 'std': 0.0008995664413918425}","{'mean': 0.8881884538818845, 'std': 0.0}","{'mean': 0.2733908427339084, 'std': 0.0}","{'mean': 0.15136031851360318, 'std': 0.012785203070749183}","{'mean': 0.2060384870603849, 'std': 2.7755575615628914e-17}","{'mean': 0.8856447688564477, 'std': 0.0}","{'mean': 0.8954434859544348, 'std': 0.0011632996056009342}","{'mean': 0.874032293740323, 'std': 0.0}","{'mean': 0.99, 'std': 0.020000000000000018}","{'mean': 0.8299999999999998, 'std': 0.06782329983125265}","{'mean': 0.7600000000000001, 'std': 0.13682105101189654}","{'mean': 0.9199999999999999, 'std': 0.03999999999999998}",94.16,19.08,941,epic,promptrefine
