detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9985207100591718, 'std': 1.1102230246251565e-16}","{'mean': 0.9994082840236687, 'std': 0.0007247011073322777}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.898584383985844, 'std': 0.0003634522611182394}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.780800707808007, 'std': 0.0}","{'mean': 0.8329794293297942, 'std': 0.004945167392163561}","{'mean': 0.7790311877903119, 'std': 0.0}","{'mean': 0.8919486839194868, 'std': 0.0}","{'mean': 0.8942711789427118, 'std': 0.0005280838923385607}","{'mean': 0.8870825038708251, 'std': 1.1102230246251565e-16}","{'mean': 0.536, 'std': 0.0328061716443596}","{'mean': 0.5514285714285714, 'std': 0.10609198934925121}","{'mean': 0.23108571428571428, 'std': 0.05736368758248746}","{'mean': 0.12057142857142858, 'std': 0.02330980349070987}",65.60000000000001,0.08,1687,reduced_llama3.1,synthloop_llama3.1
"{'mean': 0.9334319526627219, 'std': 0.0}","{'mean': 0.9020710059171597, 'std': 0.001725133696699779}","{'mean': 0.9289940828402367, 'std': 0.0}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8978765759787658, 'std': 0.0005120918780265237}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.6779473567794736, 'std': 0.0}","{'mean': 0.7297279362972793, 'std': 0.005647669929639783}","{'mean': 0.6251935412519354, 'std': 0.0}","{'mean': 0.887193098871931, 'std': 0.0}","{'mean': 0.8948241539482416, 'std': 0.0006959580943398477}","{'mean': 0.8796726387967265, 'std': 1.1102230246251565e-16}","{'mean': 0.8160000000000001, 'std': 0.013229527888903135}","{'mean': 0.8845714285714286, 'std': 0.025142857142857158}","{'mean': 0.47314285714285714, 'std': 0.028692315688905914}","{'mean': 0.5714285714285714, 'std': 0.01903809285595163}",0.0,0.0,1687,reduced_llama3.1,synthloop_gpt4o-mini
"{'mean': 0.8328402366863905, 'std': 0.0}","{'mean': 0.82396449704142, 'std': 0.003857516216096228}","{'mean': 0.8328402366863905, 'std': 0.0}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8978102189781021, 'std': 0.0004018115931118283}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.8236009732360097, 'std': 1.1102230246251565e-16}","{'mean': 0.8451448794514489, 'std': 0.0027147862849044285}","{'mean': 0.8197301481973016, 'std': 1.1102230246251565e-16}","{'mean': 0.8844282238442822, 'std': 0.0}","{'mean': 0.8996239769962399, 'std': 0.001180002536460875}","{'mean': 0.8836540588365406, 'std': 0.0}","{'mean': 0.9228571428571428, 'std': 0.012388276222102172}","{'mean': 0.9, 'std': 0.018249965054481492}","{'mean': 0.8744, 'std': 0.04927212234942112}","{'mean': 0.8685714285714285, 'std': 0.018691916838624142}",22.28,7.12,1687,reduced_llama3.1,synthloop_deepseek-v3
"{'mean': 0.9970414201183433, 'std': 1.1102230246251565e-16}","{'mean': 0.9970414201183433, 'std': 1.1102230246251565e-16}","{'mean': 0.9970414201183433, 'std': 1.1102230246251565e-16}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8978102189781021, 'std': 0.0003956767047113105}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.1302809113028091, 'std': 0.0}","{'mean': 0.11756248617562486, 'std': 0.0}","{'mean': 0.11778367617783676, 'std': 0.0}","{'mean': 0.8930546339305463, 'std': 0.0}","{'mean': 0.8933421809334219, 'std': 0.001045927044241264}","{'mean': 0.8888520238885202, 'std': 0.0}","{'mean': 0.19542857142857142, 'std': 0.01165490174535493}","{'mean': 0.4274285714285715, 'std': 0.07769327447056908}","{'mean': 0.07817142857142859, 'std': 0.0075584254920166615}","{'mean': 0.11600000000000002, 'std': 0.015607428895711619}",79.4,32.519999999999996,1687,reduced_llama3.1,reduced_llama3.1
"{'mean': 0.9571005917159763, 'std': 0.0}","{'mean': 0.9384615384615385, 'std': 0.0007247011073322777}","{'mean': 0.955621301775148, 'std': 1.1102230246251565e-16}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.898717097987171, 'std': 0.0008858652685025797}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.6581508515815085, 'std': 0.0}","{'mean': 0.6619110816191107, 'std': 0.00830273142186396}","{'mean': 0.635036496350365, 'std': 0.0}","{'mean': 0.8798938287989383, 'std': 0.0}","{'mean': 0.8847157708471578, 'std': 0.0013752967535244401}","{'mean': 0.8785666887856669, 'std': 0.0}","{'mean': 0.9291428571428572, 'std': 0.02621107415126794}","{'mean': 0.6411428571428571, 'std': 0.03953195555754966}","{'mean': 0.6614857142857142, 'std': 0.051403930604892976}","{'mean': 0.5622857142857143, 'std': 0.016989792854078305}",0.0,0.0,1687,reduced_llama3.1,reduced_gpt4o-mini
"{'mean': 0.992603550295858, 'std': 0.0}","{'mean': 0.9946745562130177, 'std': 0.0015085856549091068}","{'mean': 0.9911242603550295, 'std': 0.0}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.898495907984959, 'std': 0.0008775418900631363}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.5474452554744526, 'std': 0.0}","{'mean': 0.5484406104844062, 'std': 0.007924654687868944}","{'mean': 0.5268745852687459, 'std': 0.0}","{'mean': 0.8846494138464941, 'std': 0.0}","{'mean': 0.8913735899137359, 'std': 0.0008078735840632448}","{'mean': 0.8847600088476002, 'std': 1.1102230246251565e-16}","{'mean': 0.9491428571428571, 'std': 0.041419703484388844}","{'mean': 0.06457142857142857, 'std': 0.03661604421394467}","{'mean': 0.8154285714285715, 'std': 0.05774087082184774}","{'mean': 0.25828571428571434, 'std': 0.007362342129557214}",11.4,0.0,1687,reduced_llama3.1,reduced_deepseek-v3
"{'mean': 0.9970414201183433, 'std': 1.1102230246251565e-16}","{'mean': 0.9994082840236687, 'std': 0.0007247011073322777}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8977438619774386, 'std': 0.0009135977185606202}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.4664897146648971, 'std': 5.551115123125783e-17}","{'mean': 0.15660252156602522, 'std': 0.013091944558815936}","{'mean': 0.20625967706259676, 'std': 0.0}","{'mean': 0.88940499889405, 'std': 0.0}","{'mean': 0.8982968369829682, 'std': 0.0009347731302417873}","{'mean': 0.8885202388852024, 'std': 0.0}","{'mean': 0.99, 'std': 0.020000000000000018}","{'mean': 0.8299999999999998, 'std': 0.06782329983125265}","{'mean': 0.7600000000000001, 'std': 0.13682105101189654}","{'mean': 0.9199999999999999, 'std': 0.03999999999999998}",94.16,19.08,1687,reduced_llama3.1,promptrefine_llama3.1
"{'mean': 0.9482248520710058, 'std': 1.1102230246251565e-16}","{'mean': 0.905621301775148, 'std': 0.002174103321996918}","{'mean': 0.9393491124260354, 'std': 1.1102230246251565e-16}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8975005529750055, 'std': 0.0006073669638463143}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.5673523556735236, 'std': 0.0}","{'mean': 0.5920371599203715, 'std': 0.015548005222071214}","{'mean': 0.5558504755585048, 'std': 0.0}","{'mean': 0.8714886087148861, 'std': 0.0}","{'mean': 0.8813315638133157, 'std': 0.00211349333078365}","{'mean': 0.867175403671754, 'std': 0.0}","{'mean': 0.7994285714285715, 'std': 0.03363186050185634}","{'mean': 0.909142857142857, 'std': 0.022814245460202404}","{'mean': 0.49622857142857146, 'std': 0.03923946368395063}","{'mean': 0.5428571428571429, 'std': 0.03087829962538584}",0.0,0.0,1687,reduced_llama3.1,promptrefine_gpt4o-mini
"{'mean': 0.8994082840236686, 'std': 1.1102230246251565e-16}","{'mean': 0.8585798816568048, 'std': 0.0050034125814460845}","{'mean': 0.8786982248520709, 'std': 1.1102230246251565e-16}","{'mean': 0.8932758239327583, 'std': 0.0}","{'mean': 0.8990267639902676, 'std': 0.000523431080123831}","{'mean': 0.8925016589250166, 'std': 1.1102230246251565e-16}","{'mean': 0.85390400353904, 'std': 1.1102230246251565e-16}","{'mean': 0.8699181596991815, 'std': 0.002935583844520054}","{'mean': 0.8526874585268744, 'std': 1.1102230246251565e-16}","{'mean': 0.8920592789205928, 'std': 0.0}","{'mean': 0.8966821499668214, 'std': 0.0006831871360973559}","{'mean': 0.8888520238885202, 'std': 0.0}","{'mean': 0.9457142857142857, 'std': 0.014342743312012707}","{'mean': 0.8274285714285716, 'std': 0.022175551899351168}","{'mean': 0.9675428571428573, 'std': 0.07984834605266998}","{'mean': 0.8588571428571429, 'std': 0.0203319392853225}",2.88,1.44,1687,reduced_llama3.1,promptrefine_deepseek-v3
