detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9983801020408164, 'std': 0.0}","{'mean': 0.9984719387755103, 'std': 0.0004169299286324438}","{'mean': 0.9989923469387756, 'std': 0.0}","{'mean': 0.8983572642078151, 'std': 1.1102230246251565e-16}","{'mean': 0.8913209346872415, 'std': 0.000951752498753804}","{'mean': 0.8967315566551057, 'std': 0.0}","{'mean': 0.7488355554859638, 'std': 0.0}","{'mean': 0.7575790932364617, 'std': 0.0040941686646285246}","{'mean': 0.750243223282627, 'std': 0.0}","{'mean': 0.8845457961778453, 'std': 0.0}","{'mean': 0.8826398338148215, 'std': 0.0008693644790026789}","{'mean': 0.881048091401848, 'std': 1.1102230246251565e-16}","{'mean': 0.8368715083798882, 'std': 0.12185432036208403}","{'mean': 0.5284916201117318, 'std': 0.028398357602544888}","{'mean': 0.8531843575418996, 'std': 0.06123312794805949}","{'mean': 0.6849162011173184, 'std': 0.018895569301997494}",91.64,44.080000000000005,1398,info-full,info-full
"{'mean': 0.9941964285714284, 'std': 1.1102230246251565e-16}","{'mean': 0.9961249999999999, 'std': 0.0013134695998115924}","{'mean': 0.9972959183673469, 'std': 0.0}","{'mean': 0.8983572642078151, 'std': 1.1102230246251565e-16}","{'mean': 0.8921223580131894, 'std': 0.0017410429645235946}","{'mean': 0.8967315566551057, 'std': 0.0}","{'mean': 0.7278602222935537, 'std': 0.0}","{'mean': 0.7707432924394617, 'std': 0.006358410240672524}","{'mean': 0.7147232943706336, 'std': 0.0}","{'mean': 0.8792153700412595, 'std': 1.1102230246251565e-16}","{'mean': 0.8856042350079726, 'std': 0.0008368081884577029}","{'mean': 0.8773668600448346, 'std': 0.0}","{'mean': 0.9037974683544304, 'std': 0.06726749496499455}","{'mean': 0.8632911392405063, 'std': 0.0419061907778401}","{'mean': 0.7711392405063291, 'std': 0.05776591674714593}","{'mean': 0.8886075949367088, 'std': 0.030379746835443037}",95.28,26.32,1398,info-full,info-weakness
"{'mean': 0.9979336734693878, 'std': 0.0}","{'mean': 0.998423469387755, 'std': 9.899799955064198e-05}","{'mean': 0.99875, 'std': 0.0}","{'mean': 0.8983572642078151, 'std': 1.1102230246251565e-16}","{'mean': 0.891380709679608, 'std': 0.001301750993094967}","{'mean': 0.8967315566551057, 'std': 0.0}","{'mean': 0.6669993371382641, 'std': 0.0}","{'mean': 0.6573340953633604, 'std': 0.0038062129575674813}","{'mean': 0.7412801713001747, 'std': 0.0}","{'mean': 0.8809020138992188, 'std': 0.0}","{'mean': 0.8814476091307899, 'std': 0.0010450031482767852}","{'mean': 0.8761266039818679, 'std': 0.0}","{'mean': 0.9657142857142856, 'std': 0.03734013543475325}","{'mean': 0.10400000000000001, 'std': 0.03525302129185641}","{'mean': 0.9795428571428573, 'std': 0.08103364884353881}","{'mean': 0.3022857142857143, 'std': 0.03902484818048887}",67.0,0.0,1398,info-full,noInfo-full
"{'mean': 0.9996683673469388, 'std': 1.1102230246251565e-16}","{'mean': 0.9982984693877551, 'std': 0.0005502965530828433}","{'mean': 0.9989668367346939, 'std': 0.0}","{'mean': 0.8983572642078151, 'std': 1.1102230246251565e-16}","{'mean': 0.8907412438313408, 'std': 0.0009855519911758427}","{'mean': 0.8967315566551057, 'std': 0.0}","{'mean': 0.6776510554898784, 'std': 0.0}","{'mean': 0.7636722279200494, 'std': 0.0033448062214298338}","{'mean': 0.7533937737971278, 'std': 0.0}","{'mean': 0.884107759396848, 'std': 0.0}","{'mean': 0.8824064099251802, 'std': 0.0009956652059469673}","{'mean': 0.8787464084115587, 'std': 1.1102230246251565e-16}","{'mean': 0.9177142857142858, 'std': 0.035382458469514814}","{'mean': 0.3931428571428571, 'std': 0.0376709707973703}","{'mean': 1.132342857142857, 'std': 0.08644382864151769}","{'mean': 0.3954285714285714, 'std': 0.015815260003540634}",80.80000000000001,14.12,1398,info-full,noInfo-weakness
