detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8152242378432855, 'std': 0.0}","{'mean': 0.7183071145124716, 'std': 0.0046767256028794075}","{'mean': 0.8047524565381708, 'std': 0.0}","{'mean': 0.9086222262237499, 'std': 1.1102230246251565e-16}","{'mean': 0.8971342712565928, 'std': 0.0003545675552278936}","{'mean': 0.9046110645716061, 'std': 0.0}","{'mean': 0.8940215221288824, 'std': 1.1102230246251565e-16}","{'mean': 0.889736342830002, 'std': 0.0004826958093293349}","{'mean': 0.8895815881018926, 'std': 1.1102230246251565e-16}","{'mean': 0.9011380213838154, 'std': 1.1102230246251565e-16}","{'mean': 0.8940765996758764, 'std': 0.0009809562608943203}","{'mean': 0.8975915806120772, 'std': 0.0}","{'mean': 0.9125714285714286, 'std': 0.010317411477295894}","{'mean': 0.9234285714285715, 'std': 0.016202796432866092}","{'mean': 0.938857142857143, 'std': 0.026091205805944696}","{'mean': 0.9405714285714286, 'std': 0.01924280941769458}",0.0,0.02693965517241379,2520,iter_2,iter_0
"{'mean': 0.9310594608213659, 'std': 1.1102230246251565e-16}","{'mean': 0.8953184051398336, 'std': 0.0008998597840977885}","{'mean': 0.9408068783068784, 'std': 0.0}","{'mean': 0.9086222262237499, 'std': 1.1102230246251565e-16}","{'mean': 0.8966615647190537, 'std': 0.0005545544302432529}","{'mean': 0.9046110645716061, 'std': 0.0}","{'mean': 0.8768357877485403, 'std': 1.1102230246251565e-16}","{'mean': 0.8740046243740002, 'std': 0.00127297764284193}","{'mean': 0.869067517948156, 'std': 1.1102230246251565e-16}","{'mean': 0.8987448034510568, 'std': 1.1102230246251565e-16}","{'mean': 0.8896387273054669, 'std': 0.0003891839217907589}","{'mean': 0.8919492962965861, 'std': 1.1102230246251565e-16}","{'mean': 0.8268571428571428, 'std': 0.023463388763026064}","{'mean': 0.8445714285714285, 'std': 0.026716959377282207}","{'mean': 0.7214857142857144, 'std': 0.03869647455333811}","{'mean': 0.8222857142857143, 'std': 0.030527338032441304}",0.0,0.0,2520,iter_2,iter_1
"{'mean': 0.9567940602166793, 'std': 1.1102230246251565e-16}","{'mean': 0.9176752645502646, 'std': 0.0016417787847854985}","{'mean': 0.9639077853363567, 'std': 0.0}","{'mean': 0.9086222262237499, 'std': 1.1102230246251565e-16}","{'mean': 0.8969412323486965, 'std': 0.0009364092824651047}","{'mean': 0.9046110645716061, 'std': 0.0}","{'mean': 0.8728545723106473, 'std': 0.0}","{'mean': 0.869507146641196, 'std': 0.0016701093652915357}","{'mean': 0.8647676591324862, 'std': 1.1102230246251565e-16}","{'mean': 0.8965004684396913, 'std': 0.0}","{'mean': 0.8873627628285929, 'std': 0.0006016326205259243}","{'mean': 0.8935949027498322, 'std': 1.1102230246251565e-16}","{'mean': 0.8017142857142858, 'std': 0.013229527888903095}","{'mean': 0.86, 'std': 0.03471164011082844}","{'mean': 0.6204571428571428, 'std': 0.04969313178839482}","{'mean': 0.7697142857142858, 'std': 0.025272393585709683}",0.0,0.0,2520,iter_2,iter_2
