detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9988582416922058, 'std': 1.1102230246251565e-16}","{'mean': 0.9976744186046511, 'std': 0.0006784338935114185}","{'mean': 0.9997596298299382, 'std': 1.1102230246251565e-16}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8897688073969107, 'std': 0.0011235208970530024}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.7195822796702394, 'std': 0.0}","{'mean': 0.7675643093319972, 'std': 0.005948934697237332}","{'mean': 0.6980899012753563, 'std': 0.0}","{'mean': 0.8763601061622655, 'std': 0.0}","{'mean': 0.8739116280040815, 'std': 0.0006361107494324625}","{'mean': 0.8723445732762333, 'std': 0.0}","{'mean': 0.8368715083798882, 'std': 0.12185432036208403}","{'mean': 0.5284916201117318, 'std': 0.028398357602544888}","{'mean': 0.8531843575418996, 'std': 0.06123312794805949}","{'mean': 0.6849162011173184, 'std': 0.018895569301997494}",91.64,44.080000000000005,644,30 shots,baseline
"{'mean': 1.0, 'std': 0.0}","{'mean': 0.9999759629829938, 'std': 2.9439213301890257e-05}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8891583352253599, 'std': 0.0007992630777797487}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.5367378068671432, 'std': 0.0}","{'mean': 0.5043645922225963, 'std': 0.011595476171040817}","{'mean': 0.5177295941668167, 'std': 0.0}","{'mean': 0.8693748091662815, 'std': 1.1102230246251565e-16}","{'mean': 0.8791755461432669, 'std': 0.0025321993665070397}","{'mean': 0.8710535587063235, 'std': 0.0}","{'mean': 0.6274285714285714, 'std': 0.08317377922771339}","{'mean': 0.10228571428571429, 'std': 0.03713846127833582}","{'mean': 0.2412571428571429, 'std': 0.045646235063915234}","{'mean': 0.148, 'std': 0.023169297065958046}",0.0,0.0,644,30 shots,temp. 0.9
"{'mean': 0.9930292650682052, 'std': 1.1102230246251565e-16}","{'mean': 0.9913887386575325, 'std': 0.0013520955604305485}","{'mean': 0.9944113935460608, 'std': 1.1102230246251565e-16}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.89027931532124, 'std': 0.0009372292673660727}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.6453140372716193, 'std': 0.0}","{'mean': 0.7008878563208043, 'std': 0.011545616621414043}","{'mean': 0.6605744714721533, 'std': 0.0}","{'mean': 0.8685638474165355, 'std': 1.1102230246251565e-16}","{'mean': 0.8685642649672353, 'std': 0.0013761224390299901}","{'mean': 0.8664437989806542, 'std': 1.1102230246251565e-16}","{'mean': 0.9071428571428571, 'std': 0.05911766199016731}","{'mean': 0.8357142857142857, 'std': 0.03813242232868327}","{'mean': 0.9350000000000002, 'std': 0.06989058504227177}","{'mean': 0.9571428571428571, 'std': 0.02422260708259021}",95.39999999999999,74.24,644,30 shots,30 shots
"{'mean': 0.9944714860885764, 'std': 0.0}","{'mean': 0.9937623940868938, 'std': 0.0006162343005008514}","{'mean': 0.9944714860885764, 'std': 0.0}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8895187989154121, 'std': 0.0008845233932021718}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.7574101548330189, 'std': 0.0}","{'mean': 0.7925232327819054, 'std': 0.005748690628328701}","{'mean': 0.7549803359717318, 'std': 0.0}","{'mean': 0.8702610605265836, 'std': 0.0}","{'mean': 0.8779153520343854, 'std': 0.0015906055175132253}","{'mean': 0.868451304454483, 'std': 1.1102230246251565e-16}","{'mean': 0.5359999999999999, 'std': 0.06067914949695216}","{'mean': 0.5988571428571429, 'std': 0.06660514167809557}","{'mean': 0.45760000000000006, 'std': 0.06915881752037357}","{'mean': 0.42057142857142854, 'std': 0.012308948130593154}",83.16,9.76,644,30 shots,cat first
"{'mean': 0.9922480620155036, 'std': 1.1102230246251565e-16}","{'mean': 0.9957634757526591, 'std': 0.0021643328412011094}","{'mean': 0.9942311159185145, 'std': 1.1102230246251565e-16}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8895680046556903, 'std': 0.0011913115722134433}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.6049185515166223, 'std': 0.0}","{'mean': 0.8030379162132327, 'std': 0.005039878177036349}","{'mean': 0.7756695164501926, 'std': 0.0}","{'mean': 0.8702251772633204, 'std': 1.1102230246251565e-16}","{'mean': 0.8764390493414442, 'std': 0.0014167030119242629}","{'mean': 0.8671543528355607, 'std': 0.0}","{'mean': 0.8491228070175438, 'std': 0.051568205111224785}","{'mean': 0.9052631578947368, 'std': 0.0527484083451681}","{'mean': 0.7101754385964913, 'std': 0.06733186142490374}","{'mean': 0.8210526315789473, 'std': 0.040616971588737616}",96.12,6.5600000000000005,644,30 shots,num first
"{'mean': 0.9885223243795445, 'std': 0.0}","{'mean': 0.9889609999399074, 'std': 0.0010168965086911677}","{'mean': 0.985036956913647, 'std': 0.0}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8896270358858729, 'std': 0.0006006132236278951}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.7921865825302006, 'std': 0.0}","{'mean': 0.8225406133297841, 'std': 0.0010009480516260628}","{'mean': 0.8208680096141048, 'std': 1.1102230246251565e-16}","{'mean': 0.8715127339914975, 'std': 0.0}","{'mean': 0.878074621529436, 'std': 0.0011219896922254004}","{'mean': 0.8718211995709668, 'std': 1.1102230246251565e-16}","{'mean': 0.8788571428571428, 'std': 0.02172931810495034}","{'mean': 0.556, 'std': 0.033786846855073105}","{'mean': 1.103314285714286, 'std': 0.11269487067986285}","{'mean': 0.5165714285714286, 'std': 0.0230279333481256}",74.83999999999999,9.56,644,30 shots,EPIC prompting
"{'mean': 1.0, 'std': 0.0}","{'mean': 0.9999038519319752, 'std': 2.9439213301872127e-05}","{'mean': 0.9996995372874226, 'std': 0.0}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8904322824104158, 'std': 0.0013729361397380817}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.8185310305412241, 'std': 1.1102230246251565e-16}","{'mean': 0.8279057353198308, 'std': 0.00231263335591172}","{'mean': 0.798766855347389, 'std': 0.0}","{'mean': 0.8753627471704416, 'std': 0.0}","{'mean': 0.8734687632931181, 'std': 0.0014917667051919103}","{'mean': 0.8725485206961613, 'std': 0.0}","{'mean': 0.3057142857142857, 'std': 0.05393874076303637}","{'mean': 0.46114285714285713, 'std': 0.15941320970537992}","{'mean': 0.22400000000000003, 'std': 0.03100283068050531}","{'mean': 0.18514285714285716, 'std': 0.015269016246728441}",65.2,0.0,644,30 shots,fshots feedback
"{'mean': 0.9965747250766179, 'std': 1.1102230246251565e-16}","{'mean': 0.9984255753860947, 'std': 9.033890017652257e-05}","{'mean': 0.997596298299381, 'std': 0.0}","{'mean': 0.8818970894106533, 'std': 0.0}","{'mean': 0.8890796530153684, 'std': 0.0005814880574669152}","{'mean': 0.8781940018841976, 'std': 0.0}","{'mean': 0.6554181117835417, 'std': 0.0}","{'mean': 0.6716484771143071, 'std': 0.005205497256105283}","{'mean': 0.6838656452332672, 'std': 0.0}","{'mean': 0.8729664628497315, 'std': 1.1102230246251565e-16}","{'mean': 0.8674335507206663, 'std': 0.0026340099114694616}","{'mean': 0.8630824506050571, 'std': 0.0}","{'mean': 0.7165714285714285, 'std': 0.02063482295459176}","{'mean': 0.4234285714285714, 'std': 0.06083500603422073}","{'mean': 0.8461714285714287, 'std': 0.10657496738666819}","{'mean': 0.43999999999999995, 'std': 0.03747107728172571}",78.2,0.0,644,30 shots,sentence
