detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8961164842172389, 'std': 0.0}","{'mean': 0.8651452864278882, 'std': 0.0005568804910576592}","{'mean': 0.882907854182166, 'std': 0.0}","{'mean': 0.9095262887310895, 'std': 0.0}","{'mean': 0.8958979558283554, 'std': 0.0013462141864536317}","{'mean': 0.9038029734829209, 'std': 1.1102230246251565e-16}","{'mean': 0.8572161894845076, 'std': 0.0}","{'mean': 0.8691114129654711, 'std': 0.000747115570258507}","{'mean': 0.8447241164235738, 'std': 0.0}","{'mean': 0.8959526288731089, 'std': 0.0}","{'mean': 0.8895867552918026, 'std': 0.001028522282272976}","{'mean': 0.8904024014384622, 'std': 0.0}","{'mean': 0.9394285714285713, 'std': 0.0033319725113401624}","{'mean': 0.8565714285714285, 'std': 0.023518989288293327}","{'mean': 1.2452571428571428, 'std': 0.09880156984624096}","{'mean': 0.8085714285714285, 'std': 0.032726448144631645}",0.0,3.16,2421,info-full,info-full
"{'mean': 0.9771452864278881, 'std': 0.0}","{'mean': 0.9797797853119354, 'std': 0.0009753828678030149}","{'mean': 0.9813710277393985, 'std': 0.0}","{'mean': 0.9095262887310895, 'std': 0.0}","{'mean': 0.8959363704927359, 'std': 0.0011429022966580266}","{'mean': 0.9038029734829209, 'std': 1.1102230246251565e-16}","{'mean': 0.7210601481783045, 'std': 0.0}","{'mean': 0.7843797153870042, 'std': 0.007437600036050514}","{'mean': 0.7170904806269524, 'std': 0.0}","{'mean': 0.8843073355828878, 'std': 0.0}","{'mean': 0.8825234546057146, 'std': 0.0009127096039054097}","{'mean': 0.8804399679529837, 'std': 0.0}","{'mean': 0.9959999999999999, 'std': 0.0022857142857142633}","{'mean': 0.49657142857142855, 'std': 0.03025874810256849}","{'mean': 1.3733714285714287, 'std': 0.12033346863391496}","{'mean': 0.6217142857142857, 'std': 0.045592695440728435}",46.52,0.0,2421,info-full,info-weakness
"{'mean': 0.9583335104687002, 'std': 0.0}","{'mean': 0.9557338718248486, 'std': 0.0010353715506373645}","{'mean': 0.9575427781910937, 'std': 0.0}","{'mean': 0.9095262887310895, 'std': 0.0}","{'mean': 0.8964407847865402, 'std': 0.00034611781995220147}","{'mean': 0.9038029734829209, 'std': 1.1102230246251565e-16}","{'mean': 0.8148622604629072, 'std': 0.0}","{'mean': 0.7982110953659701, 'std': 0.00135303153890365}","{'mean': 0.8040917358887436, 'std': 1.1102230246251565e-16}","{'mean': 0.8861236158846724, 'std': 1.1102230246251565e-16}","{'mean': 0.873919822436565, 'std': 0.0015392658034385743}","{'mean': 0.8802551365260303, 'std': 0.0}","{'mean': 0.9102857142857144, 'std': 0.018481099004338565}","{'mean': 0.788, 'std': 0.02859427657873553}","{'mean': 1.0494857142857144, 'std': 0.06001534497653964}","{'mean': 0.6937142857142857, 'std': 0.02760656532384266}",30.680000000000003,1.76,2421,info-full,noInfo-full
"{'mean': 0.9787267509831012, 'std': 1.1102230246251565e-16}","{'mean': 0.9812579445212031, 'std': 0.0005591877492800094}","{'mean': 0.9786247210117972, 'std': 0.0}","{'mean': 0.9095262887310895, 'std': 0.0}","{'mean': 0.8962752128856147, 'std': 0.0011883609987914043}","{'mean': 0.9038029734829209, 'std': 1.1102230246251565e-16}","{'mean': 0.7339875830860652, 'std': 0.0}","{'mean': 0.7715337811564589, 'std': 0.006891015231449157}","{'mean': 0.7423958798184698, 'std': 0.0}","{'mean': 0.8898286606800335, 'std': 0.0}","{'mean': 0.8831271546268532, 'std': 0.0015986475097136644}","{'mean': 0.8831842546850494, 'std': 0.0}","{'mean': 0.7451428571428572, 'std': 0.026023537226824454}","{'mean': 0.6582857142857141, 'std': 0.05767183728932631}","{'mean': 0.528, 'std': 0.04937486760509246}","{'mean': 0.5239999999999999, 'std': 0.02488176120808827}",40.760000000000005,0.48,2421,info-full,noInfo-weakness
