detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9991406250000001, 'std': 1.1102230246251565e-16}","{'mean': 0.99798046875, 'std': 0.00037438915092201873}","{'mean': 0.9986328125, 'std': 1.1102230246251565e-16}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7634404761904763, 'std': 0.005150154655010062}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5793452380952381, 'std': 0.0}","{'mean': 0.6891547619047618, 'std': 0.017822362955433053}","{'mean': 0.6241071428571427, 'std': 0.0}","{'mean': 0.7547619047619047, 'std': 0.0}","{'mean': 0.7441071428571429, 'std': 0.009803844287410468}","{'mean': 0.7377380952380953, 'std': 0.0}","{'mean': 0.8331428571428571, 'std': 0.01700900121844254}","{'mean': 0.4062857142857143, 'std': 0.039647425734175214}","{'mean': 1.0389714285714287, 'std': 0.11086621465090439}","{'mean': 0.27999999999999997, 'std': 0.016162440712835364}",24.64864864864865,0.0,800,real,iter_0
"{'mean': 0.9991796875000001, 'std': 0.0}","{'mean': 0.99905078125, 'std': 0.00010669140846681979}","{'mean': 0.999296875, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7588095238095239, 'std': 0.007087783715981678}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.6645238095238095, 'std': 0.0}","{'mean': 0.631654761904762, 'std': 0.018555105769393513}","{'mean': 0.6911904761904762, 'std': 0.0}","{'mean': 0.7746428571428571, 'std': 0.0}","{'mean': 0.7429642857142857, 'std': 0.009502834044393468}","{'mean': 0.751547619047619, 'std': 0.0}","{'mean': 0.9102857142857144, 'std': 0.031433765804514444}","{'mean': 0.35200000000000004, 'std': 0.06940916836457}","{'mean': 0.6445714285714287, 'std': 0.06997888894487525}","{'mean': 0.31885714285714284, 'std': 0.029058702023065427}",51.16666666666667,0.4583333333333333,800,real,iter_1
"{'mean': 0.9952734375000001, 'std': 0.0}","{'mean': 0.99678125, 'std': 0.0010795252455868605}","{'mean': 0.9971875000000001, 'std': 1.1102230246251565e-16}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7578571428571428, 'std': 0.007639388769461532}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5962500000000001, 'std': 0.0}","{'mean': 0.6074285714285714, 'std': 0.01581772413545635}","{'mean': 0.5977976190476191, 'std': 0.0}","{'mean': 0.7498809523809524, 'std': 0.0}","{'mean': 0.7459642857142856, 'std': 0.008466403525826774}","{'mean': 0.775952380952381, 'std': 0.0}","{'mean': 0.7028571428571428, 'std': 0.2394347084109502}","{'mean': 0.41714285714285715, 'std': 0.07672904885879603}","{'mean': 0.2557714285714286, 'std': 0.08856855294871073}","{'mean': 0.1662857142857143, 'std': 0.03147528995181808}",67.04158145875937,0.27266530334015,800,real,iter_2
