detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9128125, 'std': 0.0}","{'mean': 0.8767734375, 'std': 0.0031111852848959504}","{'mean': 0.9086328125000002, 'std': 1.1102230246251565e-16}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7634047619047619, 'std': 0.006856295417211262}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5532142857142858, 'std': 0.0}","{'mean': 0.5328690476190476, 'std': 0.010002083116364607}","{'mean': 0.521547619047619, 'std': 0.0}","{'mean': 0.7073809523809524, 'std': 0.0}","{'mean': 0.7186071428571428, 'std': 0.008592203659063291}","{'mean': 0.7303571428571429, 'std': 0.0}","{'mean': 0.9034285714285716, 'std': 0.014835148555139637}","{'mean': 0.7051428571428571, 'std': 0.025771365220067843}","{'mean': 0.7726857142857143, 'std': 0.01625671603758065}","{'mean': 0.6622857142857141, 'std': 0.03031265647971393}",0.048426150121065374,0.0,800,real,iter_0
"{'mean': 0.9449609374999998, 'std': 1.1102230246251565e-16}","{'mean': 0.9299453124999999, 'std': 0.0024965002358771095}","{'mean': 0.9454687500000001, 'std': 1.1102230246251565e-16}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7602738095238095, 'std': 0.004966240907651824}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5611904761904762, 'std': 0.0}","{'mean': 0.5102857142857143, 'std': 0.01333223847545638}","{'mean': 0.5245238095238096, 'std': 0.0}","{'mean': 0.7210714285714286, 'std': 0.0}","{'mean': 0.6932619047619047, 'std': 0.013526785386872039}","{'mean': 0.6579761904761905, 'std': 0.0}","{'mean': 0.8617142857142858, 'std': 0.022101805263787116}","{'mean': 0.692, 'std': 0.027900698550248466}","{'mean': 0.5906285714285715, 'std': 0.019977456682726227}","{'mean': 0.6234285714285714, 'std': 0.023863557734652673}",0.8252601363473269,0.0,800,real,iter_1
"{'mean': 0.938671875, 'std': 0.0}","{'mean': 0.9283203125, 'std': 0.0021270239671971856}","{'mean': 0.9274609375, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7529999999999999, 'std': 0.004104053358358525}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5016666666666667, 'std': 0.0}","{'mean': 0.5169642857142858, 'std': 0.007933163978070007}","{'mean': 0.4364285714285715, 'std': 5.551115123125783e-17}","{'mean': 0.7033333333333334, 'std': 0.0}","{'mean': 0.7306785714285714, 'std': 0.006807358963241332}","{'mean': 0.6986904761904762, 'std': 0.0}","{'mean': 0.8622857142857143, 'std': 0.023588305646343177}","{'mean': 0.6862857142857143, 'std': 0.020555549426977106}","{'mean': 0.5836571428571429, 'std': 0.03988325821336923}","{'mean': 0.5765714285714285, 'std': 0.03348590931196252}",2.300674335581119,0.0,800,real,iter_2
