detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9999609375, 'std': 0.0}","{'mean': 0.9996289062499999, 'std': 0.00012837247441525114}","{'mean': 0.999609375, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7538571428571429, 'std': 0.011203664973727896}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5460714285714285, 'std': 0.0}","{'mean': 0.6497380952380952, 'std': 0.01902970139406795}","{'mean': 0.5587500000000001, 'std': 0.0}","{'mean': 0.7595238095238096, 'std': 0.0}","{'mean': 0.7453095238095238, 'std': 0.006321686390581336}","{'mean': 0.7745238095238095, 'std': 0.0}","{'mean': 0.7091428571428571, 'std': 0.22660151124376726}","{'mean': 0.5011428571428571, 'std': 0.06596474011754697}","{'mean': 0.2653714285714286, 'std': 0.08687187844927796}","{'mean': 0.21257142857142855, 'std': 0.02744047360809821}",66.67999999999999,0.24,800,real,synthloop_llama3.1
"{'mean': 0.940703125, 'std': 0.0}","{'mean': 0.9176796875000001, 'std': 0.0021128588129075707}","{'mean': 0.9440625, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7603095238095239, 'std': 0.007350686795931505}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5588095238095238, 'std': 0.0}","{'mean': 0.5374880952380953, 'std': 0.01543007782181609}","{'mean': 0.5404761904761906, 'std': 0.0}","{'mean': 0.7229761904761905, 'std': 0.0}","{'mean': 0.7147857142857144, 'std': 0.008487569275095513}","{'mean': 0.7214285714285714, 'std': 0.0}","{'mean': 0.8634285714285713, 'std': 0.02281424546020243}","{'mean': 0.6662857142857144, 'std': 0.026148711288337283}","{'mean': 0.6070857142857143, 'std': 0.03524486936174587}","{'mean': 0.6057142857142856, 'std': 0.02503874548595045}",2.2800000000000002,0.0,800,real,synthloop_gpt4o-mini
"{'mean': 0.9645703125, 'std': 0.0}","{'mean': 0.95212109375, 'std': 0.0016681379817544797}","{'mean': 0.9642968749999999, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7618690476190476, 'std': 0.0040738992781852315}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5213095238095239, 'std': 0.0}","{'mean': 0.5511309523809523, 'std': 0.009724157565712932}","{'mean': 0.5314285714285715, 'std': 0.0}","{'mean': 0.7303571428571428, 'std': 0.0}","{'mean': 0.7187738095238095, 'std': 0.011674475035175625}","{'mean': 0.7226190476190476, 'std': 0.0}","{'mean': 0.8702857142857143, 'std': 0.030804187364442414}","{'mean': 0.6154285714285714, 'std': 0.02950475575640136}","{'mean': 0.7232000000000001, 'std': 0.04466451817352862}","{'mean': 0.6285714285714286, 'std': 0.020364033921377672}",8.68,2.1999999999999997,800,real,synthloop_deepseek-v3
"{'mean': 0.996875, 'std': 1.1102230246251565e-16}","{'mean': 0.99678515625, 'std': 0.0013822054635109014}","{'mean': 0.9973046875, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7687261904761905, 'std': 0.006509368793221599}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5055357142857143, 'std': 0.0}","{'mean': 0.5110595238095238, 'std': 0.010098887480543123}","{'mean': 0.4510714285714286, 'std': 5.551115123125783e-17}","{'mean': 0.7255952380952381, 'std': 0.0}","{'mean': 0.7261547619047619, 'std': 0.010499743545081071}","{'mean': 0.7604761904761904, 'std': 0.0}","{'mean': 0.4565714285714286, 'std': 0.035336285334263536}","{'mean': 0.5714285714285714, 'std': 0.09634970319685708}","{'mean': 0.4242285714285714, 'std': 0.07717764295071838}","{'mean': 0.12857142857142856, 'std': 0.023836175559559098}",23.0,0.0,800,real,reduced_llama3.1
"{'mean': 0.987109375, 'std': 1.1102230246251565e-16}","{'mean': 0.9794804687499999, 'std': 0.000706005384905541}","{'mean': 0.9869140625, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7623452380952382, 'std': 0.008694519607305206}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.433452380952381, 'std': 0.0}","{'mean': 0.44985714285714284, 'std': 0.014048658153658909}","{'mean': 0.39142857142857146, 'std': 0.0}","{'mean': 0.7036904761904763, 'std': 0.0}","{'mean': 0.7062261904761904, 'std': 0.012647015278904807}","{'mean': 0.7098809523809524, 'std': 0.0}","{'mean': 0.8742857142857143, 'std': 0.021150577740939126}","{'mean': 0.5160000000000001, 'std': 0.02732121848658726}","{'mean': 0.691657142857143, 'std': 0.04066644808684426}","{'mean': 0.5891428571428572, 'std': 0.023379740051975767}",2.64,0.0,800,real,reduced_gpt4o-mini
"{'mean': 0.9860156250000001, 'std': 0.0}","{'mean': 0.97353515625, 'std': 0.0013556995030530158}","{'mean': 0.98046875, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7583690476190477, 'std': 0.009696982138017715}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.5341666666666667, 'std': 0.0}","{'mean': 0.5270357142857143, 'std': 0.015337168627116265}","{'mean': 0.46880952380952384, 'std': 5.551115123125783e-17}","{'mean': 0.7303571428571428, 'std': 0.0}","{'mean': 0.700202380952381, 'std': 0.008678775554461424}","{'mean': 0.7158333333333333, 'std': 0.0}","{'mean': 0.9274285714285714, 'std': 0.012335447511384509}","{'mean': 0.49714285714285716, 'std': 0.01543914981269293}","{'mean': 0.9121142857142859, 'std': 0.017524886095294883}","{'mean': 0.6142857142857143, 'std': 0.028052429048305332}",20.599999999999998,0.0,800,real,reduced_deepseek-v3
"{'mean': 0.9980859375, 'std': 0.0}","{'mean': 0.9977499999999999, 'std': 0.00039167826750328836}","{'mean': 0.997265625, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7602976190476189, 'std': 0.004994327848429212}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.44761904761904764, 'std': 5.551115123125783e-17}","{'mean': 0.5391785714285715, 'std': 0.005105658014807959}","{'mean': 0.4668452380952381, 'std': 0.0}","{'mean': 0.7029761904761905, 'std': 0.0}","{'mean': 0.7189761904761907, 'std': 0.012458286408120427}","{'mean': 0.6910714285714287, 'std': 0.0}","{'mean': 0.6834285714285715, 'std': 0.028249616215561785}","{'mean': 0.40628571428571425, 'std': 0.12122369270678643}","{'mean': 0.6864, 'std': 0.08114076456054246}","{'mean': 0.2982857142857143, 'std': 0.019926395170471654}",38.800000000000004,0.0,800,real,promptrefine_llama3.1
"{'mean': 0.9487109374999999, 'std': 0.0}","{'mean': 0.9440703125000001, 'std': 0.0017495290940082264}","{'mean': 0.950390625, 'std': 1.1102230246251565e-16}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.758547619047619, 'std': 0.0044970385821194074}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.6126190476190476, 'std': 0.0}","{'mean': 0.5461190476190476, 'std': 0.006599727713753922}","{'mean': 0.6021428571428571, 'std': 0.0}","{'mean': 0.7282142857142857, 'std': 0.0}","{'mean': 0.6953690476190476, 'std': 0.008590042619192686}","{'mean': 0.7272619047619048, 'std': 0.0}","{'mean': 0.7337142857142857, 'std': 0.019827830369025665}","{'mean': 0.7531428571428571, 'std': 0.03275636719535203}","{'mean': 0.44205714285714287, 'std': 0.022437868864570755}","{'mean': 0.5497142857142856, 'std': 0.014297138289367784}",0.0,0.0,800,real,promptrefine_gpt4o-mini
"{'mean': 0.9603906250000002, 'std': 1.1102230246251565e-16}","{'mean': 0.9421328124999999, 'std': 0.0026436511875741527}","{'mean': 0.9535546874999999, 'std': 0.0}","{'mean': 0.791547619047619, 'std': 0.0}","{'mean': 0.7611785714285715, 'std': 0.0046931645667708756}","{'mean': 0.7877380952380952, 'std': 0.0}","{'mean': 0.526547619047619, 'std': 0.0}","{'mean': 0.5480595238095238, 'std': 0.00765001148606727}","{'mean': 0.553452380952381, 'std': 0.0}","{'mean': 0.720952380952381, 'std': 0.0}","{'mean': 0.692404761904762, 'std': 0.006518180574710656}","{'mean': 0.7135714285714286, 'std': 0.0}","{'mean': 0.8491428571428571, 'std': 0.042815217588409574}","{'mean': 0.6154285714285714, 'std': 0.038101904178673485}","{'mean': 0.6657142857142858, 'std': 0.02719903959889101}","{'mean': 0.5799999999999998, 'std': 0.024578072191550365}",5.0,2.4,800,real,promptrefine_deepseek-v3
