detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9928104575163399, 'std': 0.0013071895424836553}","{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.0071019162126966465}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5392670157068062, 'std': 0.0}","{'mean': 0.5727748691099477, 'std': 0.025988845331918028}","{'mean': 0.4345549738219895, 'std': 5.551115123125783e-17}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.8952879581151831, 'std': 0.004682864874345064}","{'mean': 0.9109947643979057, 'std': 0.0}","{'mean': 0.9103448275862069, 'std': 0.08333135154203154}","{'mean': 0.993103448275862, 'std': 0.013793103448275846}","{'mean': 0.5572413793103448, 'std': 0.08280458493684763}","{'mean': 0.7586206896551724, 'std': 0.0844651635442475}",97.88,22.0,763,real,baseline
"{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9193717277486911, 'std': 0.004188481675392669}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5340314136125655, 'std': 0.0}","{'mean': 0.5570680628272251, 'std': 0.03186413414597474}","{'mean': 0.4659685863874346, 'std': 5.551115123125783e-17}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.8890052356020941, 'std': 0.00391796585002508}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.6909090909090909, 'std': 0.033634998607300876}","{'mean': 0.5781818181818182, 'std': 0.01939393939393939}","{'mean': 0.38133333333333336, 'std': 0.04166312932643072}","{'mean': 0.38909090909090904, 'std': 0.03076018797684732}",92.88,0.84,763,real,temp. 0.9
"{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9225130890052355, 'std': 0.006105708790413918}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3036649214659686, 'std': 0.0}","{'mean': 0.5738219895287958, 'std': 0.012652404160832003}","{'mean': 0.4659685863874346, 'std': 5.551115123125783e-17}","{'mean': 0.9109947643979057, 'std': 0.0}","{'mean': 0.8973821989528796, 'std': 0.002564910725427387}","{'mean': 0.8848167539267016, 'std': 0.0}","{'mean': 0.769811320754717, 'std': 0.06334429339378202}","{'mean': 0.8842767295597487, 'std': 0.021272370472060074}","{'mean': 0.3979874213836479, 'std': 0.07093090572055011}","{'mean': 0.34716981132075475, 'std': 0.028238923673765612}",92.72,15.920000000000002,763,real,30 shots
"{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9836601307189543, 'std': 0.002922964676470353}","{'mean': 0.9836601307189541, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.002564910725427387}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5863874345549738, 'std': 0.0}","{'mean': 0.5738219895287958, 'std': 0.0071019162126966335}","{'mean': 0.5654450261780105, 'std': 0.0}","{'mean': 0.8429319371727748, 'std': 0.0}","{'mean': 0.8764397905759163, 'std': 0.005339287448788253}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.85, 'std': 0.1195762074484515}","{'mean': 0.9142857142857143, 'std': 0.012111303541295122}","{'mean': 0.4875, 'std': 0.07459926957020532}","{'mean': 0.5625, 'std': 0.04922874554317938}",94.28,14.48,763,real,cat first
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9225130890052355, 'std': 0.008376963350785341}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.28272251308900526, 'std': 0.0}","{'mean': 0.2680628272251309, 'std': 0.006945811079278332}","{'mean': 0.3403141361256545, 'std': 0.0}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.881675392670157, 'std': 0.00850684649700102}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.7015384615384616, 'std': 0.10139850494328666}","{'mean': 0.8569230769230769, 'std': 0.02098181799536287}","{'mean': 0.33169230769230773, 'std': 0.08298342316818497}","{'mean': 0.3769230769230769, 'std': 0.05148677086363542}",94.48,1.4000000000000001,763,real,num first
"{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9816993464052286, 'std': 0.0016009736880935746}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9204188481675393, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5078534031413613, 'std': 0.0}","{'mean': 0.5193717277486911, 'std': 0.022311283510641374}","{'mean': 0.47120418848167545, 'std': 5.551115123125783e-17}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.9005235602094241, 'std': 0.004682864874345114}","{'mean': 0.905759162303665, 'std': 1.1102230246251565e-16}","{'mean': 0.43954372623574145, 'std': 0.034228980790652154}","{'mean': 0.9901140684410648, 'std': 0.003041825095057016}","{'mean': 0.26950570342205327, 'std': 0.02204326508747893}","{'mean': 0.314828897338403, 'std': 0.020319983598307827}",88.48,5.2,763,real,fshots feedback
"{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9172774869109948, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.2617801047120419, 'std': 0.0}","{'mean': 0.3968586387434555, 'std': 0.047687110101510784}","{'mean': 0.2617801047120419, 'std': 0.0}","{'mean': 0.8481675392670157, 'std': 0.0}","{'mean': 0.831413612565445, 'std': 0.006105708790413919}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.5805714285714286, 'std': 0.019072364878032728}","{'mean': 0.9782857142857143, 'std': 0.004981598792617919}","{'mean': 0.32582857142857147, 'std': 0.028702328711611335}","{'mean': 0.35657142857142854, 'std': 0.038688710582424596}",81.04,3.04,763,real,sentence
