detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8166666666666667, 'std': 0.0}","{'mean': 0.7466666666666667, 'std': 0.01247219128924651}","{'mean': 0.8833333333333332, 'std': 1.1102230246251565e-16}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.869109947643979, 'std': 0.008110959887345384}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.5759162303664922, 'std': 0.0}","{'mean': 0.6115183246073299, 'std': 0.026365818454479915}","{'mean': 0.46073298429319365, 'std': 5.551115123125783e-17}","{'mean': 0.8115183246073299, 'std': 0.0}","{'mean': 0.8198952879581152, 'std': 0.014280818530875216}","{'mean': 0.8062827225130891, 'std': 1.1102230246251565e-16}","{'mean': 0.7156462585034015, 'std': 0.0762875960210949}","{'mean': 0.9918367346938775, 'std': 0.006665278211654913}","{'mean': 0.4571428571428572, 'std': 0.06024615156411922}","{'mean': 0.7047619047619047, 'std': 0.05813839624277957}",44.84,22.48,147,epic,statgen
"{'mean': 0.7833333333333333, 'std': 0.0}","{'mean': 0.8300000000000001, 'std': 0.006666666666666687}","{'mean': 0.85, 'std': 0.0}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8774869109947645, 'std': 0.0025649107254274417}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.581151832460733, 'std': 0.0}","{'mean': 0.5780104712041885, 'std': 0.012652404160832}","{'mean': 0.5916230366492147, 'std': 0.0}","{'mean': 0.8219895287958116, 'std': 0.0}","{'mean': 0.8041884816753928, 'std': 0.007835931700050145}","{'mean': 0.7853403141361257, 'std': 0.0}","{'mean': 0.6775510204081632, 'std': 0.06561717307095236}","{'mean': 0.9959183673469388, 'std': 0.008163265306122458}","{'mean': 0.3700680272108844, 'std': 0.012763036081152188}","{'mean': 0.5986394557823129, 'std': 0.0479097057460109}",48.68,26.56,147,epic,ctgan
"{'mean': 0.75, 'std': 0.0}","{'mean': 0.78, 'std': 0.012472191289246462}","{'mean': 0.8, 'std': 0.0}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8722513089005235, 'std': 0.002564910725427387}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.7591623036649214, 'std': 0.0}","{'mean': 0.7497382198952879, 'std': 0.012994422665959}","{'mean': 0.6701570680628273, 'std': 0.0}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.8303664921465967, 'std': 0.011277832056826186}","{'mean': 0.837696335078534, 'std': 0.0}","{'mean': 0.8721088435374149, 'std': 0.04374948351241773}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.5575510204081633, 'std': 0.06567018703155988}","{'mean': 0.7183673469387755, 'std': 0.05749808601119848}",53.32,47.52,147,epic,tabddpm
"{'mean': 0.7333333333333333, 'std': 0.0}","{'mean': 0.7933333333333333, 'std': 0.016996731711975938}","{'mean': 0.8166666666666667, 'std': 0.0}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8722513089005236, 'std': 0.005339287448788271}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.5287958115183246, 'std': 0.0}","{'mean': 0.40314136125654454, 'std': 0.010982291603875923}","{'mean': 0.418848167539267, 'std': 0.0}","{'mean': 0.8167539267015707, 'std': 0.0}","{'mean': 0.7968586387434555, 'std': 0.006105708790413918}","{'mean': 0.7853403141361257, 'std': 0.0}","{'mean': 0.8761904761904763, 'std': 0.037110698495199615}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.5951020408163266, 'std': 0.06018836029790216}","{'mean': 0.7891156462585034, 'std': 0.04450456390148604}",68.84,57.56,147,epic,great
"{'mean': 0.7, 'std': 0.0}","{'mean': 0.7433333333333334, 'std': 0.008164965809277286}","{'mean': 0.8333333333333334, 'std': 0.0}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8732984293193716, 'std': 0.0039179658500250675}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.6020942408376964, 'std': 0.0}","{'mean': 0.5968586387434556, 'std': 0.015174216488156466}","{'mean': 0.5759162303664922, 'std': 0.0}","{'mean': 0.8272251308900523, 'std': 0.0}","{'mean': 0.8219895287958116, 'std': 0.0057353147382740175}","{'mean': 0.8219895287958116, 'std': 0.0}","{'mean': 0.8585034013605443, 'std': 0.0409069289207426}","{'mean': 0.9959183673469386, 'std': 0.005442176870748305}","{'mean': 0.5956462585034015, 'std': 0.02583458166295057}","{'mean': 0.7904761904761906, 'std': 0.047012659981417675}",66.92030436523828,52.54305166199439,147,epic,tabula
"{'mean': 0.9666666666666666, 'std': 1.1102230246251565e-16}","{'mean': 0.9666666666666666, 'std': 1.1102230246251565e-16}","{'mean': 0.95, 'std': 0.0}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8722513089005236, 'std': 0.004188481675392669}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.774869109947644, 'std': 0.0}","{'mean': 0.7235602094240837, 'std': 0.03992811720405785}","{'mean': 0.774869109947644, 'std': 0.0}","{'mean': 0.8481675392670157, 'std': 0.0}","{'mean': 0.8607329842931936, 'std': 0.007101916212696614}","{'mean': 0.8795811518324609, 'std': 1.1102230246251565e-16}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.7999999999999999, 'std': 0.09428090415820636}","{'mean': 0.8986666666666668, 'std': 0.11014334094967139}","{'mean': 0.8800000000000001, 'std': 0.04988876515698588}",92.2323539344816,95.0354609929078,147,epic,epic
"{'mean': 0.9833333333333332, 'std': 1.1102230246251565e-16}","{'mean': 0.9833333333333332, 'std': 1.1102230246251565e-16}","{'mean': 0.9833333333333332, 'std': 1.1102230246251565e-16}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8691099476439792, 'std': 0.005735314738273977}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.3089005235602094, 'std': 0.0}","{'mean': 0.3298429319371728, 'std': 0.020412134753526625}","{'mean': 0.4869109947643979, 'std': 0.0}","{'mean': 0.837696335078534, 'std': 0.0}","{'mean': 0.8460732984293193, 'std': 0.010780764545536104}","{'mean': 0.8272251308900523, 'std': 0.0}","{'mean': 0.9103448275862069, 'std': 0.08333135154203154}","{'mean': 0.993103448275862, 'std': 0.013793103448275846}","{'mean': 0.5572413793103448, 'std': 0.08280458493684763}","{'mean': 0.7586206896551724, 'std': 0.0844651635442475}",97.88,22.0,147,epic,synthloop
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9666666666666666, 'std': 1.1102230246251565e-16}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8722513089005236, 'std': 0.005339287448788271}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.2094240837696335, 'std': 0.0}","{'mean': 0.20732984293193718, 'std': 0.0025649107254274144}","{'mean': 0.2094240837696335, 'std': 0.0}","{'mean': 0.837696335078534, 'std': 0.0}","{'mean': 0.8209424083769633, 'std': 0.013409684266875076}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.8027210884353743, 'std': 0.08014517809536402}","{'mean': 0.8353741496598639, 'std': 0.11056462396685739}","{'mean': 0.3918367346938776, 'std': 0.06257911832438069}","{'mean': 0.35374149659863946, 'std': 0.05304377874725968}",89.8,1.16,147,epic,reduced
"{'mean': 1.0, 'std': 0.0}","{'mean': 0.9799999999999999, 'std': 0.006666666666666643}","{'mean': 0.9666666666666666, 'std': 1.1102230246251565e-16}","{'mean': 0.8638743455497382, 'std': 0.0}","{'mean': 0.8743455497382199, 'std': 0.00331128550802972}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.6649214659685864, 'std': 0.0}","{'mean': 0.46073298429319376, 'std': 0.00331128550802972}","{'mean': 0.5026178010471204, 'std': 0.0}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.8670157068062826, 'std': 0.010259642901709637}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.8040816326530612, 'std': 0.05649126392388216}","{'mean': 0.6517006802721088, 'std': 0.05794704609264451}","{'mean': 0.48190476190476195, 'std': 0.044374603832771024}","{'mean': 0.31020408163265306, 'std': 0.029993751952447068}",86.76,2.52,147,epic,promptrefine
