detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9836601307189541, 'std': 1.1102230246251565e-16}","{'mean': 0.9816993464052286, 'std': 0.0016009736880935746}","{'mean': 0.9836601307189541, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9141361256544501, 'std': 0.00418848167539268}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.19895287958115182, 'std': 0.0}","{'mean': 0.3518324607329843, 'std': 0.02636581845447995}","{'mean': 0.40314136125654454, 'std': 5.551115123125783e-17}","{'mean': 0.905759162303665, 'std': 1.1102230246251565e-16}","{'mean': 0.8858638743455497, 'std': 0.00391796585002508}","{'mean': 0.8848167539267016, 'std': 0.0}","{'mean': 0.6317991631799164, 'std': 0.0559481661939641}","{'mean': 0.8694560669456066, 'std': 0.02431102769260911}","{'mean': 0.3184937238493724, 'std': 0.06235876358130217}","{'mean': 0.3238493723849373, 'std': 0.023609599965968016}",89.8,1.16,763,real,baseline
"{'mean': 0.9183006535947712, 'std': 0.0}","{'mean': 0.9143790849673202, 'std': 0.007278123350104578}","{'mean': 0.934640522875817, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863875, 'std': 0.004682864874345114}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3036649214659686, 'std': 0.0}","{'mean': 0.25759162303664923, 'std': 0.01997778432286797}","{'mean': 0.25654450261780104, 'std': 0.0}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.8356020942408376, 'std': 0.0071019162126966144}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.7628571428571429, 'std': 0.027523644751525227}","{'mean': 0.9508571428571428, 'std': 0.005540205551332936}","{'mean': 0.4993142857142857, 'std': 0.03149064000879094}","{'mean': 0.47771428571428576, 'std': 0.038815103309123855}",44.76,16.16,763,real,temp. 0.9
"{'mean': 0.934640522875817, 'std': 0.0}","{'mean': 0.9183006535947712, 'std': 0.0035798859967657785}","{'mean': 0.9281045751633987, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9225130890052355, 'std': 0.0020942408376963596}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.41361256544502617, 'std': 0.0}","{'mean': 0.41989528795811515, 'std': 0.014203832425393246}","{'mean': 0.4083769633507853, 'std': 0.0}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.832460732984293, 'std': 0.012824553627137044}","{'mean': 0.8429319371727748, 'std': 0.0}","{'mean': 0.5811428571428572, 'std': 0.030644771834952983}","{'mean': 0.9771428571428572, 'std': 0.022785602328430726}","{'mean': 0.34320000000000006, 'std': 0.03334441176446764}","{'mean': 0.44057142857142856, 'std': 0.036067963058421706}",43.96,15.120000000000001,763,real,30 shots
"{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.005339287448788271}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.32460732984293195, 'std': 0.0}","{'mean': 0.4157068062827225, 'std': 0.011277832056826198}","{'mean': 0.38219895287958117, 'std': 0.0}","{'mean': 0.8795811518324609, 'std': 1.1102230246251565e-16}","{'mean': 0.881675392670157, 'std': 0.00912858417495431}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.9315789473684211, 'std': 0.033700653881225534}","{'mean': 0.8078947368421053, 'std': 0.03588995183417333}","{'mean': 0.7305263157894738, 'std': 0.07140458639645464}","{'mean': 0.6973684210526315, 'std': 0.04707511531578505}",95.8,37.0,763,real,cat first
"{'mean': 0.9640522875816993, 'std': 1.1102230246251565e-16}","{'mean': 0.9705882352941175, 'std': 0.0020668481439008943}","{'mean': 0.9673202614379084, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9204188481675392, 'std': 0.0020942408376963153}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3769633507853403, 'std': 0.0}","{'mean': 0.33612565445026177, 'std': 0.008376963350785324}","{'mean': 0.4450261780104713, 'std': 5.551115123125783e-17}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.8837696335078535, 'std': 0.0039179658500250675}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.7194285714285715, 'std': 0.04189004070425427}","{'mean': 0.9948571428571429, 'std': 0.004915614438310046}","{'mean': 0.4684571428571428, 'std': 0.029516705750597342}","{'mean': 0.5314285714285715, 'std': 0.03618546331197157}",77.68,5.4,763,real,num first
"{'mean': 0.9477124183006536, 'std': 0.0}","{'mean': 0.9437908496732026, 'std': 0.002445527703773809}","{'mean': 0.934640522875817, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9120418848167539, 'std': 0.00391796585002508}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3298429319371728, 'std': 0.0}","{'mean': 0.3549738219895288, 'std': 0.012121295186167762}","{'mean': 0.36649214659685864, 'std': 0.0}","{'mean': 0.8952879581151831, 'std': 1.1102230246251565e-16}","{'mean': 0.8921465968586387, 'std': 0.002564910725427387}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.6462857142857142, 'std': 0.02960419165025968}","{'mean': 0.9480000000000001, 'std': 0.012571428571428574}","{'mean': 0.39748571428571433, 'std': 0.018287857017313832}","{'mean': 0.4188571428571429, 'std': 0.03714725248718859}",68.16,6.32,763,real,fshots feedback
"{'mean': 0.9084967320261438, 'std': 0.0}","{'mean': 0.8973856209150327, 'std': 0.006729170026788894}","{'mean': 0.9117647058823529, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9151832460732983, 'std': 0.005129821450854829}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.25654450261780104, 'std': 0.0}","{'mean': 0.2544502617801047, 'std': 0.018317126371241787}","{'mean': 0.2513089005235602, 'std': 0.0}","{'mean': 0.8272251308900523, 'std': 0.0}","{'mean': 0.8188481675392669, 'std': 0.005339287448788254}","{'mean': 0.8429319371727748, 'std': 0.0}","{'mean': 0.5725714285714285, 'std': 0.022899959896587278}","{'mean': 0.9868571428571429, 'std': 0.011794152823171589}","{'mean': 0.3137142857142857, 'std': 0.004585692033768891}","{'mean': 0.35828571428571426, 'std': 0.016422980415085622}",41.760000000000005,9.32,763,real,sentence
