detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.8790849673202615, 'std': 1.1102230246251565e-16}","{'mean': 0.9084967320261438, 'std': 0.0046216129489316665}","{'mean': 0.9215686274509803, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863875, 'std': 0.00331128550802972}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.4659685863874346, 'std': 5.551115123125783e-17}","{'mean': 0.450261780104712, 'std': 0.011939009686901958}","{'mean': 0.41361256544502617, 'std': 0.0}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.8104712041884816, 'std': 0.011660239503308963}","{'mean': 0.8429319371727748, 'std': 0.0}","{'mean': 0.6348571428571429, 'std': 0.025129866774052597}","{'mean': 0.9937142857142858, 'std': 0.00419912527334259}","{'mean': 0.43051428571428574, 'std': 0.006410195959945221}","{'mean': 0.5302857142857142, 'std': 0.04178076893812778}",42.142857142857146,23.83116883116883,763,real,iter_0
"{'mean': 0.8758169934640524, 'std': 1.1102230246251565e-16}","{'mean': 0.8777777777777779, 'std': 0.007897415669016071}","{'mean': 0.8921568627450981, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9172774869109948, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.36649214659685864, 'std': 0.0}","{'mean': 0.38743455497382195, 'std': 0.007404259488864365}","{'mean': 0.34554973821989526, 'std': 0.0}","{'mean': 0.8324607329842932, 'std': 0.0}","{'mean': 0.8052356020942408, 'std': 0.008376963350785359}","{'mean': 0.8062827225130891, 'std': 1.1102230246251565e-16}","{'mean': 0.6234285714285714, 'std': 0.02344946803278077}","{'mean': 0.9908571428571429, 'std': 0.01012574008381106}","{'mean': 0.4147428571428572, 'std': 0.02202010213325959}","{'mean': 0.49714285714285716, 'std': 0.0392999974035415}",32.51695553880934,18.08590806330068,763,real,iter_1
"{'mean': 0.8856209150326798, 'std': 1.1102230246251565e-16}","{'mean': 0.8790849673202615, 'std': 0.0041336962878017885}","{'mean': 0.9117647058823529, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.002564910725427387}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.4293193717277487, 'std': 0.0}","{'mean': 0.4146596858638743, 'std': 0.014584699766684956}","{'mean': 0.3298429319371728, 'std': 0.0}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.8167539267015707, 'std': 0.009365729748690241}","{'mean': 0.8115183246073299, 'std': 0.0}","{'mean': 0.6108571428571429, 'std': 0.020870836991713913}","{'mean': 0.9948571428571429, 'std': 0.0027994168488950535}","{'mean': 0.37394285714285713, 'std': 0.020359543718073927}","{'mean': 0.5142857142857142, 'std': 0.017888543819998305}",28.66799204771372,16.69980119284294,763,real,iter_2
